metro_area,period_group,archetype_name,labeled_n,share_of_metro_period
Atlanta Metro,2024,Enterprise Application Support,203,0.3664259927797834
Atlanta Metro,2024,Java Dotnet Web Services,193,0.3483754512635379
Atlanta Metro,2024,Cloud DevOps Infrastructure,63,0.11371841155234658
Atlanta Metro,2024,Defense Clearance Systems,32,0.05776173285198556
Atlanta Metro,2024,Embedded Firmware Systems,24,0.04332129963898917
Atlanta Metro,2024,Product Backend Engineering,22,0.039711191335740074
Atlanta Metro,2024,Large Employer Data Platforms,9,0.016245487364620937
Atlanta Metro,2024,AI LLM Platforms,8,0.01444043321299639
Atlanta Metro,2026,Java Dotnet Web Services,89,0.2870967741935484
Atlanta Metro,2026,Enterprise Application Support,68,0.21935483870967742
Atlanta Metro,2026,Cloud DevOps Infrastructure,60,0.1935483870967742
Atlanta Metro,2026,AI LLM Platforms,51,0.16451612903225807
Atlanta Metro,2026,Product Backend Engineering,22,0.07096774193548387
Atlanta Metro,2026,Embedded Firmware Systems,15,0.04838709677419355
Atlanta Metro,2026,Defense Clearance Systems,3,0.00967741935483871
Atlanta Metro,2026,Large Employer Data Platforms,2,0.0064516129032258064
Austin Metro,2024,Java Dotnet Web Services,86,0.25443786982248523
Austin Metro,2024,Enterprise Application Support,85,0.2514792899408284
Austin Metro,2024,Product Backend Engineering,66,0.1952662721893491
Austin Metro,2024,Embedded Firmware Systems,41,0.12130177514792899
Austin Metro,2024,Cloud DevOps Infrastructure,32,0.09467455621301775
Austin Metro,2024,AI LLM Platforms,18,0.05325443786982249
Austin Metro,2024,Large Employer Data Platforms,8,0.023668639053254437
Austin Metro,2024,Defense Clearance Systems,2,0.005917159763313609
Austin Metro,2026,Enterprise Application Support,69,0.20474777448071216
Austin Metro,2026,Cloud DevOps Infrastructure,65,0.19287833827893175
Austin Metro,2026,Java Dotnet Web Services,57,0.16913946587537093
Austin Metro,2026,Product Backend Engineering,49,0.14540059347181009
Austin Metro,2026,Embedded Firmware Systems,47,0.1394658753709199
Austin Metro,2026,AI LLM Platforms,42,0.12462908011869436
Austin Metro,2026,Large Employer Data Platforms,5,0.01483679525222552
Austin Metro,2026,Defense Clearance Systems,3,0.008902077151335312
Boston Metro,2024,Enterprise Application Support,291,0.36329588014981273
Boston Metro,2024,Java Dotnet Web Services,151,0.18851435705368288
Boston Metro,2024,Embedded Firmware Systems,109,0.13607990012484394
Boston Metro,2024,Cloud DevOps Infrastructure,81,0.10112359550561797
Boston Metro,2024,Defense Clearance Systems,69,0.08614232209737828
Boston Metro,2024,Product Backend Engineering,54,0.06741573033707865
Boston Metro,2024,Large Employer Data Platforms,26,0.03245942571785269
Boston Metro,2024,AI LLM Platforms,20,0.024968789013732832
Boston Metro,2026,AI LLM Platforms,85,0.18888888888888888
Boston Metro,2026,Enterprise Application Support,84,0.18666666666666668
Boston Metro,2026,Java Dotnet Web Services,72,0.16
Boston Metro,2026,Product Backend Engineering,59,0.13111111111111112
Boston Metro,2026,Embedded Firmware Systems,58,0.1288888888888889
Boston Metro,2026,Cloud DevOps Infrastructure,56,0.12444444444444444
Boston Metro,2026,Defense Clearance Systems,27,0.06
Boston Metro,2026,Large Employer Data Platforms,9,0.02
Charlotte Metro,2024,Enterprise Application Support,122,0.4295774647887324
Charlotte Metro,2024,Java Dotnet Web Services,108,0.38028169014084506
Charlotte Metro,2024,Cloud DevOps Infrastructure,39,0.13732394366197184
Charlotte Metro,2024,Product Backend Engineering,5,0.017605633802816902
Charlotte Metro,2024,Large Employer Data Platforms,5,0.017605633802816902
Charlotte Metro,2024,AI LLM Platforms,3,0.01056338028169014
Charlotte Metro,2024,Embedded Firmware Systems,1,0.0035211267605633804
Charlotte Metro,2024,Defense Clearance Systems,1,0.0035211267605633804
Charlotte Metro,2026,Java Dotnet Web Services,88,0.2972972972972973
Charlotte Metro,2026,Enterprise Application Support,80,0.2702702702702703
Charlotte Metro,2026,Cloud DevOps Infrastructure,63,0.21283783783783783
Charlotte Metro,2026,AI LLM Platforms,48,0.16216216216216217
Charlotte Metro,2026,Large Employer Data Platforms,7,0.02364864864864865
Charlotte Metro,2026,Product Backend Engineering,5,0.016891891891891893
Charlotte Metro,2026,Defense Clearance Systems,4,0.013513513513513514
Charlotte Metro,2026,Embedded Firmware Systems,1,0.0033783783783783786
Chicago Metro,2024,Enterprise Application Support,223,0.3313521545319465
Chicago Metro,2024,Java Dotnet Web Services,168,0.24962852897473997
Chicago Metro,2024,Cloud DevOps Infrastructure,100,0.1485884101040119
Chicago Metro,2024,Large Employer Data Platforms,62,0.09212481426448738
Chicago Metro,2024,Product Backend Engineering,55,0.08172362555720654
Chicago Metro,2024,Embedded Firmware Systems,29,0.04309063893016345
Chicago Metro,2024,Defense Clearance Systems,18,0.02674591381872214
Chicago Metro,2024,AI LLM Platforms,18,0.02674591381872214
Chicago Metro,2026,Enterprise Application Support,74,0.24342105263157895
Chicago Metro,2026,Cloud DevOps Infrastructure,65,0.2138157894736842
Chicago Metro,2026,Java Dotnet Web Services,62,0.20394736842105263
Chicago Metro,2026,Product Backend Engineering,40,0.13157894736842105
Chicago Metro,2026,AI LLM Platforms,39,0.12828947368421054
Chicago Metro,2026,Embedded Firmware Systems,13,0.04276315789473684
Chicago Metro,2026,Large Employer Data Platforms,9,0.029605263157894735
Chicago Metro,2026,Defense Clearance Systems,2,0.006578947368421052
Columbus Metro,2024,Enterprise Application Support,68,0.53125
Columbus Metro,2024,Java Dotnet Web Services,38,0.296875
Columbus Metro,2024,Cloud DevOps Infrastructure,12,0.09375
Columbus Metro,2024,Large Employer Data Platforms,4,0.03125
Columbus Metro,2024,Embedded Firmware Systems,3,0.0234375
Columbus Metro,2024,Defense Clearance Systems,2,0.015625
Columbus Metro,2024,AI LLM Platforms,1,0.0078125
Columbus Metro,2026,Enterprise Application Support,62,0.41333333333333333
Columbus Metro,2026,Cloud DevOps Infrastructure,36,0.24
Columbus Metro,2026,Java Dotnet Web Services,31,0.20666666666666667
Columbus Metro,2026,AI LLM Platforms,13,0.08666666666666667
Columbus Metro,2026,Product Backend Engineering,4,0.02666666666666667
Columbus Metro,2026,Large Employer Data Platforms,2,0.013333333333333334
Columbus Metro,2026,Embedded Firmware Systems,1,0.006666666666666667
Columbus Metro,2026,Defense Clearance Systems,1,0.006666666666666667
Dallas-Fort Worth Metro,2024,Enterprise Application Support,277,0.34711779448621555
Dallas-Fort Worth Metro,2024,Java Dotnet Web Services,255,0.31954887218045114
Dallas-Fort Worth Metro,2024,Cloud DevOps Infrastructure,101,0.12656641604010024
Dallas-Fort Worth Metro,2024,Defense Clearance Systems,49,0.06140350877192982
Dallas-Fort Worth Metro,2024,Large Employer Data Platforms,44,0.05513784461152882
Dallas-Fort Worth Metro,2024,Embedded Firmware Systems,35,0.043859649122807015
Dallas-Fort Worth Metro,2024,Product Backend Engineering,19,0.023809523809523808
