spec,metro_area,postings_2024,postings_2026,companies_2024,companies_2026,llm_text_n_2024,llm_text_n_2026,archetype_labeled_n_2024,archetype_labeled_n_2026,is_tech_hub_heuristic,j1_entry_share_2024,j1_entry_share_2026,delta_j1_entry_share,j2_entry_associate_share_2024,j2_entry_associate_share_2026,delta_j2_entry_associate_share,j3_low_yoe_share_2024,j3_low_yoe_share_2026,delta_j3_low_yoe_share,j4_low_yoe_share_2024,j4_low_yoe_share_2026,delta_j4_low_yoe_share,broad_ai_share_2024,broad_ai_share_2026,delta_broad_ai_share,ai_tool_strict_share_2024,ai_tool_strict_share_2026,delta_ai_tool_strict_share,org_scope_count_mean_llm_2024,org_scope_count_mean_llm_2026,delta_org_scope_count_mean_llm,requirement_breadth_mean_llm_2024,requirement_breadth_mean_llm_2026,delta_requirement_breadth_mean_llm,median_raw_description_length_2024,median_raw_description_length_2026,delta_median_raw_description_length,median_cleaned_length_llm_2024,median_cleaned_length_llm_2026,delta_median_cleaned_length_llm,tech_count_mean_2024,tech_count_mean_2026,delta_tech_count_mean,platform_tech_count_mean_2024,platform_tech_count_mean_2026,delta_platform_tech_count_mean,tech_diversity_cols_2024,tech_diversity_cols_2026,delta_tech_diversity_cols
company_cap20,Tampa Bay Metro,214,288,132,143,205,71,204,70,False,0.014018691588785047,0.020833333333333332,0.006814641744548286,0.014018691588785047,0.020833333333333332,0.006814641744548286,0.10828025477707007,0.10050251256281408,-0.007777742214255992,0.31210191082802546,0.31155778894472363,-0.0005441218833018291,0.018691588785046728,0.2951388888888889,0.27644730010384216,0.014018691588785047,0.2569444444444444,0.24292575285565937,0.5317073170731708,0.8169014084507042,0.2851940913775335,7.795121951219512,11.267605633802816,3.472483682583304,3195.0,4117.0,922.0,949.0,954.0,5.0,5.799065420560748,8.427083333333334,2.6280179127725862,1.9299065420560748,2.857638888888889,0.927732346832814,87,114,27
company_cap20,New York City Metro,70,1845,52,932,68,539,67,534,True,0.07142857142857142,0.01842818428184282,-0.053000387146728604,0.07142857142857142,0.018970189701897018,-0.052458381726674407,0.08695652173913043,0.13128729752770674,0.044330775788576304,0.2826086956521739,0.30008525149190113,0.017476555839727237,0.02857142857142857,0.2932249322493225,0.2646535036778939,0.014285714285714285,0.25691056910569104,0.24262485481997675,0.4264705882352941,0.9128014842300557,0.4863308959947616,6.132352941176471,9.426716141001855,3.2943631998253835,3328.0,4121.0,793.0,746.5,936.0,189.5,4.385714285714286,7.275880758807588,2.890166473093302,1.4857142857142858,2.2688346883468835,0.7831204026325977,60,137,77
company_cap20,Salt Lake City Metro,307,1585,163,826,300,498,297,489,False,0.013029315960912053,0.022082018927444796,0.009052702966532744,0.016286644951140065,0.02334384858044164,0.007057203629301574,0.12608695652173912,0.1383399209486166,0.012252964426877483,0.24347826086956523,0.2845849802371542,0.041106719367588945,0.035830618892508145,0.29274447949526816,0.25691386060276,0.019543973941368076,0.2630914826498423,0.2435475087084742,0.62,0.9116465863453815,0.29164658634538154,7.516666666666667,9.142570281124499,1.6259036144578323,4005.0,3881.0,-124.0,972.5,896.0,-76.5,5.140065146579804,7.206940063091483,2.0668749165116784,1.8794788273615635,2.3451104100946374,0.4656315827330739,103,132,29
company_cap20,San Francisco Bay Area,1613,3779,825,1306,1516,1210,1486,1191,True,0.02045877247365158,0.037046837787774546,0.016588065314122966,0.02045877247365158,0.03731145805768722,0.016852685584035642,0.12909260991580918,0.17872161480235493,0.04962900488654576,0.2656688493919551,0.3494533221194281,0.08378447272747297,0.09671419714817112,0.3323630590103202,0.2356488618621491,0.05579665220086795,0.28552527123577665,0.2297286190349087,0.6068601583113457,0.9082644628099174,0.3014043044985717,6.8654353562005275,8.46694214876033,1.6015067925598023,3650.0,4484.0,834.0,752.0,919.0,167.0,4.849969001859888,6.488224397988886,1.638255396128998,1.4934903905765653,1.9444297433183382,0.4509393527417729,127,139,12
company_cap20,Seattle Metro,616,1274,283,412,587,393,571,385,True,0.01461038961038961,0.033751962323390894,0.019141572713001286,0.01461038961038961,0.03610675039246468,0.02149636078207507,0.14482758620689656,0.19763313609467456,0.052805549887778,0.335632183908046,0.34437869822485206,0.008746514316806064,0.05844155844155844,0.27237048665620095,0.21392892821464252,0.030844155844155844,0.23312401883830455,0.2022798629941487,0.5843270868824532,0.9567430025445293,0.3724159156620761,6.584327086882453,8.791348600508906,2.2070215136264526,3826.5,5201.5,1375.0,779.0,1012.0,233.0,4.517857142857143,6.56436420722135,2.0465070643642065,1.4594155844155845,1.9952904238618525,0.535874839446268,105,135,30
company_cap20,Miami Metro,218,321,146,204,207,69,202,68,False,0.0,0.037383177570093455,0.037383177570093455,0.0,0.037383177570093455,0.037383177570093455,0.10062893081761007,0.15270935960591134,0.05208042878830127,0.22012578616352202,0.37438423645320196,0.15425845028967994,0.03211009174311927,0.2398753894080997,0.20776529766498042,0.013761467889908258,0.20249221183800623,0.18873074394809797,0.7294685990338164,0.7101449275362319,-0.019323671497584516,8.246376811594203,9.753623188405797,1.5072463768115938,3191.5,3540.0,348.5,888.0,968.0,80.0,6.0,8.015576323987538,2.0155763239875384,1.6743119266055047,2.7320872274143304,1.0577753008088258,97,120,23
company_cap20,Charlotte Metro,305,845,174,356,290,229,284,227,False,0.01639344262295082,0.014201183431952662,-0.0021922591909981585,0.01639344262295082,0.015384615384615385,-0.001008827238335435,0.1262135922330097,0.12373225152129817,-0.0024813407117115355,0.2621359223300971,0.2332657200811359,-0.02887020224896117,0.013114754098360656,0.22011834319526627,0.2070035890969056,0.006557377049180328,0.20473372781065088,0.19817635076147055,0.4586206896551724,0.6244541484716157,0.16583345881644335,7.279310344827586,9.436681222707424,2.1573708778798384,2644.0,3019.0,375.0,689.0,694.0,5.0,5.465573770491804,7.764497041420118,2.2989232709283147,1.8098360655737704,2.8295857988165682,1.0197497332427978,99,126,27
company_cap20,Atlanta Metro,581,1037,308,508,563,295,554,292,False,0.01549053356282272,0.01832208293153327,0.002831549368710551,0.0189328743545611,0.021215043394406944,0.0022821690398458425,0.10991957104557641,0.13975155279503104,0.02983198174945463,0.23324396782841822,0.2888198757763975,0.055575907947979286,0.03614457831325301,0.24300867888138863,0.20686410056813562,0.0189328743545611,0.2227579556412729,0.2038250812867118,0.5470692717584369,0.9220338983050848,0.37496462654664786,8.012433392539965,10.884745762711864,2.8723123701718993,2975.0,3969.0,994.0,868.0,1017.0,149.0,6.120481927710843,8.366441658630665,2.2459597309198216,2.2358003442340793,3.0752169720347156,0.8394166278006363,114,134,20
company_cap20,Dallas-Fort Worth Metro,839,1787,443,724,808,495,788,484,False,0.021454112038140644,0.01566871852266368,-0.005785393515476963,0.02264600715137068,0.019026301063234472,-0.003619706088136207,0.12255772646536411,0.09965337954939342,-0.022904346915970694,0.23801065719360567,0.24090121317157712,0.002890555977971443,0.027413587604290822,0.23167319529938443,0.2042596076950936,0.017878426698450536,0.20481253497481813,0.18693410827636758,0.6051980198019802,0.8666666666666667,0.2614686468646865,8.233910891089108,11.456565656565656,3.2226547654765483,2804.0,3489.0,685.0,820.5,989.0,168.5,6.195470798569726,8.735310576385002,2.539839777815276,2.256257449344458,3.148852825965305,0.892595376620847,111,134,23
company_cap20,Nashville Metro,102,214,65,124,97,66,97,66,False,0.0,0.037383177570093455,0.037383177570093455,0.00980392156862745,0.04205607476635514,0.03225215319772769,0.056338028169014086,0.1259259259259259,0.06958789775691182,0.323943661971831,0.3111111111111111,-0.012832550860719882,0.00980392156862745,0.205607476635514,0.19580355506688657,0.0,0.19158878504672897,0.19158878504672897,0.8762886597938144,0.9393939393939394,0.06310527960012502,8.185567010309278,10.954545454545455,2.7689784442361773,3365.0,4528.5,1163.5,904.0,1043.5,139.5,5.833333333333333,7.855140186915888,2.0218068535825546,1.803921568627451,2.574766355140187,0.7708447865127359,80,113,33
