metro_area,scraped_2026_postings,remote_inferred_share,remote_inferred_n
San Francisco Bay Area,5012,0.0,0
Washington DC Metro,3036,0.0,0
Seattle Metro,2201,0.0,0
Dallas-Fort Worth Metro,2058,0.0,0
New York City Metro,2043,0.0,0
Salt Lake City Metro,1724,0.0,0
Los Angeles Metro,1660,0.0,0
Boston Metro,1541,0.0,0
Austin Metro,1129,0.0,0
Atlanta Metro,1087,0.0,0
Charlotte Metro,1061,0.0,0
Chicago Metro,1032,0.0,0
Philadelphia Metro,831,0.0,0
Denver Metro,741,0.0,0
Phoenix Metro,706,0.0,0
Detroit Metro,622,0.0,0
Raleigh-Durham-Chapel Hill,558,0.0,0
Minneapolis-Saint Paul,558,0.0,0
Houston Metro,526,0.0,0
Columbus Metro,507,0.0,0
San Diego Metro,492,0.0,0
Pittsburgh Metro,455,0.0,0
Miami Metro,321,0.0,0
Tampa Bay Metro,290,0.0,0
Nashville Metro,214,0.0,0
Portland Metro,155,0.0,0
