occ_group,definition_code,side,definition,denominator,share_2024,share_2026,change,denominator_2024,denominator_2026
control,J1,junior,seniority_final = entry,eligible rows,0.025615374489930235,0.03529552524527399,0.009680150755343755,113955,41790
control,J2,junior,seniority_final in entry/associate,eligible rows,0.026413935325347724,0.03620483369227088,0.009790898366923154,113955,41790
control,J3,junior,yoe_extracted <= 2,YOE-known rows,0.6139303666469544,0.47446873234540005,-0.1394616343015544,54112,23011
control,J4,junior,yoe_extracted <= 3,YOE-known rows,0.7777018036664696,0.6465168832297596,-0.13118492043670993,54112,23011
control,S1,senior,seniority_final in mid-senior/director,eligible rows,0.2424465797902681,0.31620004785833933,0.07375346806807123,113955,41790
control,S2,senior,seniority_final = director,eligible rows,0.007125619762186828,0.011677434793012682,0.004551815030825854,113955,41790
control,S3,senior,raw title senior regex,eligible rows,0.1359308498968891,0.2295285953577411,0.09359774546085198,113955,41790
control,S4,senior,yoe_extracted >= 5,YOE-known rows,0.18851641040804257,0.2920342444917648,0.10351783408372223,54112,23011
swe,J1,junior,seniority_final = entry,eligible rows,0.01660823838737949,0.031188082483305204,0.014579844095925713,22820,40881
swe,J2,junior,seniority_final in entry/associate,eligible rows,0.01831726555652936,0.03246006702380079,0.01414280146727143,22820,40881
swe,J3,junior,yoe_extracted <= 2,YOE-known rows,0.11216259129882503,0.17192995177839818,0.05976736047957315,15745,27581
swe,J4,junior,yoe_extracted <= 3,YOE-known rows,0.2562718323277231,0.33744244226097675,0.08117060993325365,15745,27581
swe,S1,senior,seniority_final in mid-senior/director,eligible rows,0.595749342681858,0.43328196472689023,-0.16246737795496774,22820,40881
swe,S2,senior,seniority_final = director,eligible rows,0.004601226993865031,0.007216066143196106,0.002614839149331075,22820,40881
swe,S3,senior,raw title senior regex,eligible rows,0.5670902716914987,0.42291039847361855,-0.14417987321788017,22820,40881
swe,S4,senior,yoe_extracted >= 5,YOE-known rows,0.6528421721181328,0.5778615713715964,-0.07498060074653634,15745,27581
swe_adjacent,J1,junior,seniority_final = entry,eligible rows,0.02064996614759648,0.04399585921325052,0.02334589306565404,11816,11592
swe_adjacent,J2,junior,seniority_final in entry/associate,eligible rows,0.022935003385240352,0.05037957211870255,0.0274445687334622,11816,11592
swe_adjacent,J3,junior,yoe_extracted <= 2,YOE-known rows,0.13527662105889351,0.17345631565462466,0.038179694595731145,8405,7806
swe_adjacent,J4,junior,yoe_extracted <= 3,YOE-known rows,0.29684711481261156,0.3410197284140405,0.044172613601428934,8405,7806
swe_adjacent,S1,senior,seniority_final in mid-senior/director,eligible rows,0.5848849018280298,0.4840407177363699,-0.10084418409165985,11816,11592
swe_adjacent,S2,senior,seniority_final = director,eligible rows,0.006093432633716994,0.012422360248447204,0.00632892761473021,11816,11592
swe_adjacent,S3,senior,raw title senior regex,eligible rows,0.5641503046716316,0.4360766045548654,-0.12807370011676622,11816,11592
swe_adjacent,S4,senior,yoe_extracted >= 5,YOE-known rows,0.623081499107674,0.5828849602869588,-0.040196538820715166,8405,7806
