metric,label,denominator,within_2024_swe_change_asaniczka_minus_arshkon,within_2024_adjacent_change,within_2024_control_change,within_2024_did_swe_minus_control,cross_period_did_swe_minus_control,cross_to_within_did_ratio
broad_ai_share_raw,"Broad AI prevalence, raw description binary",eligible rows,-0.0018127623440616358,-0.02645509678196853,0.00048181005855480255,-0.0022945724026164384,0.24537229285027637,-106.93595572337793
ai_tool_share_raw,"AI-tool-specific prevalence, raw description binary",eligible rows,-0.01465870162671206,-0.021737928394457855,-0.00015623633228266007,-0.0145024652944294,0.20982564024348047,-14.468273909545395
ai_domain_share_raw,"AI-domain prevalence, raw description binary",eligible rows,0.0016469288604222393,-0.02271336870722257,0.0005219563049307999,0.0011249725554914394,0.14932684252815076,132.73820930050863
mcp_share_raw,"MCP prevalence, raw description binary, excluded from primary AI",eligible rows,0.000353361839101447,0.0025623030599477544,-3.0653266434663116e-05,0.00038401510553611015,0.02062427361151077,53.70693317576125
raw_tech_count_mean,"Mean technology indicator count, raw description binary",eligible rows,-0.3017820285302495,-0.45770640380818683,-0.015300794767400677,-0.28648123376284884,2.220523105590293,-7.751024653253404
raw_char_len_mean,Mean raw description length,eligible rows,575.8043237797233,351.9121976117308,543.329974056393,32.474349723330306,423.4449006803825,13.039365046197371
clean_char_len_mean_labeled,Mean cleaned description length,LLM-labeled rows,346.6541258693742,232.13222695420836,303.01615170658283,43.63797416279135,138.62965137434958,3.176812261201494
org_scope_share_labeled,Org-scope language prevalence,LLM-labeled rows,0.0014024496865899239,-0.018086839486246675,-0.03088169476185651,0.032284144448446433,0.040777392057112255,1.2630779831328172
org_scope_count_mean_labeled,Mean org-scope indicator count,LLM-labeled rows,0.003908923535553721,-0.06471048325738182,-0.041669277031187224,0.045578200566740945,0.16072466104524996,3.5263494180709936
requirement_breadth_mean_labeled,Mean regex-derived requirement breadth,LLM-labeled rows,-0.07938998065919556,-0.3088150770124036,0.14285130195510565,-0.2222412826143012,1.8579504431087241,-8.360059936898354
clean_tech_count_mean_labeled,"Mean technology indicator count, cleaned text",LLM-labeled rows,-0.3157726254980453,-0.4826910528180175,0.0012389590601478984,-0.3170115845581932,1.941167423198483,-6.123332766857126
clean_ai_count_mean_labeled,"Mean AI indicator count, cleaned text",LLM-labeled rows,-0.04929783028864784,-0.10506357995591176,0.00016459391320275255,-0.0494624242018506,0.7585790586752067,-15.33647149156157
