pattern,uid,period,match,context,auto_label
aspiration_v2,asaniczka_efc6c41e4879200e,2024-01,familiarity with,"ervices and develops and abstractions of systems (load balancing, auto-scaling) familiarity with shell commands/programming | strong test-driven and desire to write and code de",TP
aspiration_v2,arshkon_3884855863,2024-04,working knowledge of,aries like flexbox or styled-components.experience with redux or state solution.working knowledge of for ios and android would be a advantage.exposure to user experience conceptsex,TP
aspiration_v2,asaniczka_fbebff674a0143de,2024-01,familiarity with,"ossess a and ability to procedures and in their of expertise. office, and staff familiarity with dodi 5000.75 for business systems – desirable working knowledge of the agile – ",TP
aspiration_v2,asaniczka_b01d2d21ce65707c,2024-01,is a plus,th a team of and scientists. desired skills | master's degree in or engineering is a plus. solid c/c++ experience/abilities | vhdl / fpga design and tools working knowle,TP
aspiration_v2,asaniczka_030ebb57d86ac033,2024-01,ideally,"| 3+ years back-end engineering / data engineering / ml engineering experience, ideally in a “start-up” like where you have full for projects. bonus (but not you have ",TP
aspiration_v2,arshkon_3886820920,2024-04,familiarity with,"ravel. - experience with databases like mysql, postgresql, mongodb, or redis. - familiarity with systems like git. - excellent problem-solving skills and to detail. - ability t",TP
aspiration_v2,asaniczka_a6c395e65f019ce1,2024-01,familiarity with,"g knowledge of relational databases, and other data experience with sql (ms sql familiarity with front-end libraries/frameworks (reactjs with redux of the api with http, rest a",TP
aspiration_v2,asaniczka_133920c2b7ac5513,2024-01,working knowledge of,ing and migrating servers from a to environments. excellent written and skills. working knowledge of cloud service technologies to include office and azure. experience with vcenter,TP
aspiration_v2,asaniczka_63b51c0b05ae70d2,2024-01,working knowledge of,"test frameworks specifically in java, java spring selenium , spock and cucumber working knowledge of java and java spring experience will be additional experience in applying busin",TP
aspiration_v2,arshkon_3904367149,2024-04,familiarity with,"r field.proven experience as a full stack software engineer with a on solutions.familiarity with cloud technologies, such as aws, azure, or gcp.experience applying devops to so",TP
aspiration_v2,arshkon_3885825905,2024-04,familiarity with, of the and procedures used in programming. experience with python and/or java. familiarity with software such as 10.9.1. and debugs software components and units. troubleshoot,TP
aspiration_v2,asaniczka_8fd7523620352f4a,2024-01,familiarity with,"cal engineering. other engineering/science will be considered with experiences. familiarity with requirements tools such as cplm, and tools such as windchill quality agile soft",TP
aspiration_v2,asaniczka_0a689cb915e6ea5e,2024-01,preferred,"’s degree in engineering, technology, or in a experience in of these domains is preferred. an in and is desired. minimum years of work experience: | 2 skills: | in and o",TP
aspiration_v2,asaniczka_e515d4eb4361c99a,2024-01,familiarity with,"tc) knowledge of linux containers. experience in configuration of applications, familiarity with and application",TP
aspiration_v2,arshkon_3906263103,2024-04,familiarity with,e - with office software applications (desired) - experience web applications - familiarity with especially user authentication skills(required) | - strong desire to with role ,TP
aspiration_v2,asaniczka_255e27c92792ecf5,2024-01,familiarity with,"-field, etc. at design and ship of a product. bs/ms in ee, or similar. to have: familiarity with state of the algorithms leveraging deep approaches.",TP
aspiration_v2,asaniczka_0169c98ea880f699,2024-01,preferred,p of o notation and algorithm complexity analysis. experience in the or with is preferred. your superpowers: | php/laravel/python is a plus. ability to work in cross-fun,TP
aspiration_v2,asaniczka_257e9dee656234c7,2024-01,ideally," gcp, terraform, ansible, we currently have an for a engineer (sre) on a remote ideally situated on the coast. you will be joining a team of sres that are both onsite ",TP
aspiration_v2,asaniczka_8b01fdc10d81eff7,2024-01,familiarity with,"azure) and cloud design, and - devsecops or devops experience experience and/or familiarity with software and system methodologies, (e.g itil, etc.) experience and/or familiari",TP
aspiration_v2,asaniczka_8032154769893b77,2024-01,is a plus,"pabilities and ootb features e.g. web service tasks, config - concur and concur is a plus. demonstratable knowledge of pi and capabilities with concur. demonstrate capab",TP
aspiration_v2,arshkon_3904720158,2024-04,preferred,"well-designed, efficient code.revin system and data architecture. what are some preferred/nice to have skills the manager is for? experience will be a to have skill.expe",TP
aspiration_v2,asaniczka_ff52a92dff3989b7,2024-01,ideally,"ts; 5+ years engineering teams. experience in systems and engineering gases….), ideally in of high-volume or engineer (p.e.) or the ability to it. experience in (engin",TP
aspiration_v2,asaniczka_acb13795385a7870,2024-01,familiarity with,"g with kafka and data tools like dbt, snowflake, and snowplow is a strong plus. familiarity with systems like git for code and maintenance. willingness to to requirements and t",TP
aspiration_v2,arshkon_3889780399,2024-04,familiarity with,"teractions and ampscript, ssjs, and sql - in html, css, and javascript/jquery - familiarity with systems, and and",TP
aspiration_v2,asaniczka_014c12a779a86bd7,2024-01,ideally,ce in designing applications full stack experience using a typescript framework ideally react.js additional requirements | knowledge of excel/vba would be an knowledge,TP
aspiration_v2,linkedin_li-4357356240,2026-04,familiarity with,"ch, or data * experience in business domains such as systems, or blockchains. * familiarity with data governance, and * strong of open-source data technologies and cloud-native",TP
aspiration_v2,linkedin_li-4387539380,2026-03,familiarity with,"sable, high-performance components using the component framework (pcf). * solid familiarity with ui/ux and ui design principles. * demonstrated end-to-end ideally technology or",TP
aspiration_v2,linkedin_li-4386662293,2026-03,familiarity with,"line-driven environment. * foundational of website web and design principles. * familiarity with web technologies, design tools, and/or used in website and maintenance. * effec",TP
aspiration_v2,linkedin_li-4375796239,2026-03,familiarity with," ml on targets, including operator/kernel tuning and end-to-end optimization. * familiarity with vision (transformer-based such as deim/dfine/rt-detr and cnn-based such as or s",TP
aspiration_v2,linkedin_li-4372996311,2026-03,preferred,"ms, build and software are required. in-depth knowledge of ml frameworks and is preferred. qualifications** | * 3+ years of non-internship software experience * 2+ years",TP
aspiration_v2,linkedin_li-4344875235,2026-04,familiarity with,"or a phd degree, or experience) is required. * experience with systems and/or * familiarity with posix and time systems (rtos) * experience with a code is a",TP
aspiration_v2,linkedin_li-4389820248,2026-03,working knowledge of,"decisions. qualifications:** | * experience with openshift templates, or s2i. * working knowledge of aws/azure/gcp cloud services. * to security (oauth2, jwt, sso, sast/dast). * fa",TP
aspiration_v2,linkedin_li-4398849830,2026-04,familiarity with, experience * 5+ years of engineering experience * 2+ years sigint experience * familiarity with customer and user and * experience with producing powerpoint presentations with,TP
aspiration_v2,linkedin_li-4381308673,2026-03,familiarity with,"nce with systems such as git * of software methodologies, data and algorithms * familiarity with restful microservices, or systems * ability to work collaboratively in a team *",TP
aspiration_v2,linkedin_li-4392496519,2026-04,working knowledge of,"(rdbms). api design: of restful (graphql is a strong plus). ai & conversational working knowledge of dialogflow cx or similar conversational frameworks. to llms engineering, and ar",TP
aspiration_v2,linkedin_li-4398798847,2026-04,familiarity with,"ving postgresql, mysql, redis, nginx, tls, systemd, log or similar technologies familiarity with workflows such as git, requests, and tracking qualifications** | experience wit",TP
aspiration_v2,linkedin_li-4387688113,2026-04,familiarity with,"d html5 and third-party libraries such as react js, angular, jquery and less. * familiarity with dbms technology, including postgresql, oracle, mongodb and mysql. * design abil",TP
aspiration_v2,linkedin_li-4296640147,2026-04,familiarity with,"hon, or similar). * strong problem-solving skills and ability to initiatives. * familiarity with the squish qt framework. * python skills for tools and test development. * expe",TP
aspiration_v2,linkedin_li-4350442872,2026-03,familiarity with,s. * in-depth of rfic impairments and effective methodologies for mitigation. * familiarity with rfic system design including impairment and system strategies. * knowledge of e,TP
aspiration_v2,linkedin_li-4374546073,2026-03,familiarity with,"ands-on experience with kyc, or systems * experience integrating into systems * familiarity with event-driven architectures (e.g., kafka or similar) * knowledge of and framewor",TP
aspiration_v2,linkedin_li-4388661663,2026-03,familiarity with,"oftware. * excellent and skills. * experience with systems for or automation. * familiarity with technologies, particularly high-order ambisonics (hoa). * experience integratin",TP
aspiration_v2,linkedin_li-4396764382,2026-04,familiarity with,"), including secure-by-design zero-trust vulnerability scanning, and security * familiarity with code quality and security tools (e.g., sonarqube, iq, cloud) * experience with ",TP
aspiration_v2,linkedin_li-4378016935,2026-04,familiarity with,"strong in qa methodologies regression, uat) and test case/script development. * familiarity with ci/cd test and jira or similar defect-tracking tools. * proficiency with github",TP
aspiration_v2,linkedin_li-4395293961,2026-04,familiarity with,"nd * experience orchestrating workflows using airflow and databricks lakeflow * familiarity with devops, ci/cd and systems (git, * strong and stakeholder skills * knowledge of ",TP
aspiration_v2,linkedin_li-4394408749,2026-04,familiarity with, | * to **tableau** for data | * knowledge of **docker** and | **kubernetes** * familiarity with data technologies** * experience with / / trino** * of **s3 or systems** * work,TP
aspiration_v2,linkedin_li-4397316774,2026-04,preferred,"edge in 8bit/16bit/32bit microcontrollers in c. + experience with architectures preferred. + experience with is a plus. * of microcontroller peripherals such as: timers,",TP
aspiration_v2,linkedin_li-4392800140,2026-04,preferred,"278a, do-254, arp-4754, mil-std-498, etc.) - experience with customers projects preferred. - experience with projects preferred. - must demonstrate of techniques. - must",TP
aspiration_v2,linkedin_li-4388669455,2026-03,familiarity with,"ality inspection. * strong proficiency with (g-code) and knowledge of software. familiarity with lathe such as tsugami, and star. * experience and of tool servo systems and con",TP
aspiration_v2,linkedin_li-4397054805,2026-04,preferred,"years working with cloud and containerized in engineering or roles. * to and is preferred. * (e.g., azure ckna/cka/ckad for kubernetes, terraform / ansible). * proven ex",AMB
aspiration_v2,linkedin_li-4381561941,2026-03,familiarity with,"t * experience with kubernetes, openshift, or other cloud-native technologies * familiarity with frameworks such as cypress, jest, or react library * experience with git and li",TP
firm_requirement_v2,asaniczka_48c7a3549e4a7028,2024-01,requirements,"5 years of experience. job duties | contribute and to client projects in the of requirements decomposition, traceability, and system and design / system system and qualific",TP
firm_requirement_v2,arshkon_3904942173,2024-04,requirements,cludes the of the systems that will effectively as a on the of the entire team. requirements:at 5+ years of python on systemsat 5+ years of work experienceexperience workin,TP
firm_requirement_v2,asaniczka_023820d08ced6936,2024-01,requirements, by data consumers. the data engineer to with data governance and data security requirements while and operationalizing and reusable data pipelines. the data engineer will ,TP
firm_requirement_v2,asaniczka_04c98a8d3f27e92e,2024-01,requirements,led for and software and tools for the most efficient to business including and requirements. integrating network with and software. conducts of network and software tools.,TP
firm_requirement_v2,asaniczka_bff354123d89a834,2024-01,requirements,ce android and the libraries available for tasks ability to understand business requirements and translate them into requirements a for benchmarking and | of code versionin,TP
firm_requirement_v2,asaniczka_b41e22fabf24df74,2024-01,minimum of,nd systemic frameworks. code quality and rigorous protocols. qualifications | a minimum of years immersed in full-stack you are currently using php7.4 and up. experience ,TP
firm_requirement_v2,asaniczka_1b9db4cf0c31caab,2024-01,required,duties and responsibilities | .net and/or c# experience required. performs code reviews. performs system and enhancements. and develops systems ,TP
firm_requirement_v2,asaniczka_ce6da378fdcf6e3e,2024-01,requirements,"d available, systems in a cloud-native microservice architecture. ability to to requirements and timelines; agile experience (including tools like git, scrum/agile tools). ",TP
firm_requirement_v2,arshkon_3891076924,2024-04,requirement,"rience in unix/linux engineering/administration.knowledge of linux rhel or is a requirement.experience using ansible, terraform, and/or other scripting tools.experience wi",TP
firm_requirement_v2,asaniczka_c5a68f5cbba781b8,2024-01,requirements,"job requirements | design, and to for & research and identify that and technology for the with b",TP
firm_requirement_v2,asaniczka_0fc51657cf9a6eb3,2024-01,requirements,"tion. you will with and a broader of systems engineering to develop products to requirements, design, and of systems through the systems lifecycle. you will need to use str",TP
