uid,period,title,company,industry,yoe_extracted,seniority_final,ghost_assessment_llm,ghost_job_risk,kitchen_sink,tech_count,org_scope_count,aspiration_count,firm_count,aspiration_ratio,ai_strict_bin,ai_broad_bin,yoe_mismatch,credential_contradiction,desc_length
arshkon_3901943712,2024-04,Software Engineer Intern,"University of Tennessee, Knoxville",Higher Education,5.0,entry,ghost_likely,high,2,2,1,0,0,0.0,0,1,1,0,2762
linkedin_li-4385760136,2026-03,Software Engineer II,Applied Materials,"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing",,entry,ghost_likely,low,0,0,0,0,3,0.0,0,1,0,0,7296
linkedin_li-4388991705,2026-03,Software Engineer II,Cadence,Software Development,,entry,ghost_likely,low,0,1,0,0,0,0.0,0,0,0,0,1610
linkedin_li-4291199050,2026-04,Software Engineer,Fashion Nova,Retail Apparel and Fashion,3.0,entry,inflated,low,18,9,2,1,3,0.3333333333333333,0,0,0,0,4817
linkedin_li-4393056614,2026-04,Software Engineer -Dallas-Associate- Engineering,Goldman Sachs,Financial Services,3.0,associate,inflated,low,12,6,2,2,3,0.6666666666666666,0,0,0,0,3764
asaniczka_cf15a916e1e5c81d,2024-01,Junior AWS DevOps Engineer,Tech Consulting,,3.0,entry,inflated,medium,10,10,1,6,3,2.0,0,0,0,0,8067
asaniczka_fdb95574a4d962a8,2024-01,jr Data Engineer,"Princeton IT Services, Inc",,4.0,entry,inflated,medium,10,5,2,0,0,0.0,0,0,0,0,1319
linkedin_li-4376226309,2026-03,Jr. Front End Developer,Horizontal Talent,Staffing and Recruiting,4.0,entry,inflated,medium,10,5,2,2,0,inf,0,0,0,0,2351
linkedin_li-4400379106,2026-04,Remote Software Engineer – AI Research & Evaluation (US-based),Turing,"Technology, Information and Internet",,entry,inflated,low,10,5,2,0,1,0.0,0,1,0,0,4017
arshkon_3906250437,2024-04,Machine Learning Engineer I,MRI Software,Software Development,2.0,entry,inflated,low,9,9,1,3,0,inf,1,1,0,0,6658
linkedin_li-4400581503,2026-04,Cloud Engineer,Truist,Financial Services,5.0,entry,inflated,low,9,9,1,2,1,2.0,0,0,1,0,6988
asaniczka_6311d432fca54296,2024-01,Software Engineer II - Drupal,Jewelers Mutual Group,,2.0,entry,inflated,low,8,4,2,0,0,0.0,0,0,0,0,4146
linkedin_li-4394998049,2026-04,Junior Software Engineer (Python),"Visionist, Inc.",Software Development and Defense and Space Manufacturing,3.0,entry,inflated,medium,8,4,2,0,1,0.0,0,1,0,0,5390
linkedin_li-4386167109,2026-03,Full-Stack Software Engineer (Associate/Experienced),Boeing,"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Defense and Space Manufacturing",1.0,associate,inflated,low,7,7,1,3,7,0.42857142857142855,0,0,0,0,7036
linkedin_li-4391645671,2026-03,junior dot net full stack developer,NexTurn,Software Development,5.0,entry,inflated,high,7,7,1,1,1,1.0,0,0,1,0,2093
linkedin_li-4392261770,2026-03,Software Engineer Junior/Mid-Level,Boeing,"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Defense and Space Manufacturing",7.0,entry,inflated,high,7,7,1,0,1,0.0,0,0,1,0,6321
arshkon_3884429660,2024-04,W2 only _ Java Developer,"Computer Data Concepts, Inc",IT Services and IT Consulting,4.0,entry,inflated,low,6,6,1,0,2,0.0,0,0,0,0,1217
arshkon_3899528149,2024-04,Middleware Web Engineer : : ONLY LOCALS TO GEORGIA APPLY,Merican Inc,IT Services and IT Consulting,5.0,associate,inflated,low,6,3,2,0,1,0.0,0,0,0,0,1936
linkedin_li-4401322121,2026-04,Automation Engineer,COGENT Infotech,"Pharmaceutical Manufacturing, Medical Equipment Manufacturing, and Retail Health and Personal Care Products",3.0,entry,inflated,low,6,2,3,1,2,0.5,0,1,1,0,6180
arshkon_3904953614,2024-04,Junior Full-Stack Software Engineer,"KBR, Inc.",IT Services and IT Consulting,3.0,entry,inflated,medium,5,5,1,0,1,0.0,0,0,0,0,3993
