period,panel,n,scale,requirement_rate_pct,usage_low_pct,usage_central_pct,usage_high_pct,gap_central_pp,gap_low_pp,gap_high_pp,direction_central
2024,ALL,22820,specific (ai_tool),0.82,44,62,73,-61.18,-43.18,-72.18,requirement BELOW usage
2024,ALL,22820,strict,0.82,44,62,73,-61.18,-43.18,-72.18,requirement BELOW usage
2024,ALL,22820,broad,7.15,44,62,73,-54.85,-36.85,-65.85,requirement BELOW usage
2024,J2,418,specific (ai_tool),0.72,44,62,73,-61.28,-43.28,-72.28,requirement BELOW usage
2024,J2,418,strict,0.72,44,62,73,-61.28,-43.28,-72.28,requirement BELOW usage
2024,J2,418,broad,6.94,44,62,73,-55.06,-37.06,-66.06,requirement BELOW usage
2024,J3,1766,specific (ai_tool),0.85,44,62,73,-61.15,-43.15,-72.15,requirement BELOW usage
2024,J3,1766,strict,0.85,44,62,73,-61.15,-43.15,-72.15,requirement BELOW usage
2024,J3,1766,broad,8.95,44,62,73,-53.05,-35.05,-64.05,requirement BELOW usage
2024,S1,13595,specific (ai_tool),0.88,44,62,73,-61.12,-43.12,-72.12,requirement BELOW usage
2024,S1,13595,strict,0.88,44,62,73,-61.12,-43.12,-72.12,requirement BELOW usage
2024,S1,13595,broad,7.5,44,62,73,-54.5,-36.5,-65.5,requirement BELOW usage
2024,S4,10279,specific (ai_tool),0.7,44,62,73,-61.3,-43.3,-72.3,requirement BELOW usage
2024,S4,10279,strict,0.7,44,62,73,-61.3,-43.3,-72.3,requirement BELOW usage
2024,S4,10279,broad,6.58,44,62,73,-55.42,-37.42,-66.42,requirement BELOW usage
2026,ALL,40881,specific (ai_tool),13.93,62,75,85,-61.07,-48.07,-71.07,requirement BELOW usage
2026,ALL,40881,strict,13.96,62,75,85,-61.04,-48.04,-71.04,requirement BELOW usage
2026,ALL,40881,broad,46.81,62,75,85,-28.19,-15.19,-38.19,requirement BELOW usage
2026,J2,1327,specific (ai_tool),11.91,62,75,85,-63.09,-50.09,-73.09,requirement BELOW usage
2026,J2,1327,strict,11.91,62,75,85,-63.09,-50.09,-73.09,requirement BELOW usage
2026,J2,1327,broad,43.48,62,75,85,-31.52,-18.52,-41.52,requirement BELOW usage
2026,J3,4742,specific (ai_tool),12.74,62,75,85,-62.26,-49.26,-72.26,requirement BELOW usage
2026,J3,4742,strict,12.76,62,75,85,-62.24,-49.24,-72.24,requirement BELOW usage
2026,J3,4742,broad,47.32,62,75,85,-27.68,-14.68,-37.68,requirement BELOW usage
2026,S1,17713,specific (ai_tool),15.29,62,75,85,-59.71,-46.71,-69.71,requirement BELOW usage
2026,S1,17713,strict,15.31,62,75,85,-59.69,-46.69,-69.69,requirement BELOW usage
2026,S1,17713,broad,51.4,62,75,85,-23.6,-10.6,-33.6,requirement BELOW usage
2026,S4,15938,specific (ai_tool),13.99,62,75,85,-61.01,-48.01,-71.01,requirement BELOW usage
2026,S4,15938,strict,14.01,62,75,85,-60.99,-47.99,-70.99,requirement BELOW usage
2026,S4,15938,broad,46.19,62,75,85,-28.81,-15.81,-38.81,requirement BELOW usage
