uid,seniority_final,window
linkedin_li-4398330253,mid-senior,"fects, research root causes, debug issues, and propose regression tests to discover reoccurrences
* Coach, lead and mentor junior/new team members and coordinate internal knowledge sharing sessions
* Ensur"
linkedin_li-4395357502,mid-senior,"aintain architectural diagrams and other system documentation.
* Provide architectural guidance and mentoring to other technical staff on topics such as microservices, micro-frontends, high-volume data streami"
linkedin_li-4321384025,mid-senior," to ensure high-quality deliverables and adherence to standards.
* Provide technical leadership and mentorship to data engineers, serving as the first escalation point for complex issues.
* Collaborate with cro"
linkedin_li-4388863519,mid-senior,".
* You have prior experience working in cloud platform engineering teams.
* Emerging experience in mentoring team members, helping to enhance their problem-solving, critical thinking, and planning skills."
linkedin_li-4372959022,mid-senior," users
* Support ad-hoc data investigations and exploratory analysis as needed
**Team Leadership \& Mentorship**
* Act as a technical mentor and go-to resource for junior and mid-level engineers on the team
* L"
linkedin_li-4318509055,mid-senior,"icates effectively: Ensures that the right information gets to the right people at the right time
* Mentors effectively: Educates and empowers others
* Takes ownership: Takes accountability, prioritizes team"
linkedin_li-4391389553,mid-senior," tools, and systems across functions and business units.
* Build technical depth within the team by mentoring junior engineers, coordinating technician and student work, and serving as a recognized subject mat"
linkedin_li-4398943811,mid-senior,"nagers and designers to ensure we are building the right solution for our customers.
You also enjoy mentoring other engineers, and love to be a hands-on teacher helping to up level the engineers around you.
**"
linkedin_li-4380297897,mid-senior," Engineer, or Data Engineer.
* Experience fostering innovation, driving continuous improvement, and mentoring engineering talent."
linkedin_li-4384404419,mid-senior,"plex initiatives end-to-end, and raise the technical bar through strong design, implementation, and mentorship.
Your work will directly influence how PitchBook teams use Generative AI, LLMs, and automation to c"
linkedin_li-4393978943,mid-senior,you will orchestrate the implementation of vertical features and horizontal capabilities to include mentoring other engineers on defining requirements with stakeholders and communication tradeoffs of technical
linkedin_li-4389740426,mid-senior,"g.
* Fosters a culture that promotes transparency and innovation for increased team productivity.
* Coaching members of the team and outside the immediate reporting line about the best practices and recognise"
linkedin_li-4389433682,mid-senior,"ate unit and end-to-end testing to ensure software quality, reliability, and ease of maintenance.
* Mentor and guide fellow software developers to elevate the team's overall capability.
* Optimize system pe"
