subset,source,column,rows,non_null,non_null_rate,distinct
all,kaggle_arshkon,uid,110360,110360,1.0,110360
all,kaggle_arshkon,job_id,110360,110360,1.0,110360
all,kaggle_arshkon,source,110360,110360,1.0,1
all,kaggle_arshkon,source_platform,110360,110360,1.0,1
all,kaggle_arshkon,site,110360,110360,1.0,1
all,kaggle_arshkon,title,110360,110360,1.0,71565
all,kaggle_arshkon,title_normalized,110360,110349,0.9999003262051468,67646
all,kaggle_arshkon,company_name,110360,108692,0.9848858281986227,24368
all,kaggle_arshkon,company_name_normalized,110360,108692,0.9848858281986227,24368
all,kaggle_arshkon,location,110360,110360,1.0,7996
all,kaggle_arshkon,date_posted,110360,110360,1.0,12
all,kaggle_arshkon,scrape_date,110360,0,0.0,0
all,kaggle_arshkon,description,110360,110360,1.0,107363
all,kaggle_arshkon,description_raw,110360,110360,1.0,107427
all,kaggle_arshkon,description_length,110360,110360,1.0,10403
all,kaggle_arshkon,seniority_native,110360,82811,0.7503715114171802,6
all,kaggle_arshkon,company_industry,110360,108866,0.9864624864081188,374
all,kaggle_arshkon,company_size,110360,108693,0.9848948894527002,5090
all,kaggle_arshkon,company_size_raw,110360,108693,0.9848948894527002,5090
all,kaggle_arshkon,company_size_category,110360,104351,0.9455509242479159,7
all,kaggle_arshkon,search_query,110360,0,0.0,0
all,kaggle_arshkon,query_tier,110360,0,0.0,0
all,kaggle_arshkon,search_metro_id,110360,0,0.0,0
all,kaggle_arshkon,search_metro_name,110360,0,0.0,0
all,kaggle_arshkon,search_metro_region,110360,0,0.0,0
all,kaggle_arshkon,search_location,110360,0,0.0,0
all,kaggle_arshkon,work_type,110360,110360,1.0,7
all,kaggle_arshkon,is_remote,110360,110360,1.0,1
all,kaggle_arshkon,job_url,110360,110360,1.0,110360
all,kaggle_arshkon,skills_raw,110360,2097,0.01900144980065241,1956
all,kaggle_arshkon,asaniczka_skills,110360,0,0.0,0
all,kaggle_arshkon,company_id_kaggle,110360,108694,0.9849039507067778,24419
