source,seniority_final,seniority_final_source,n
kaggle_arshkon,associate,llm,15
kaggle_arshkon,director,title_keyword,12
kaggle_arshkon,director,llm,1
kaggle_arshkon,entry,title_keyword,92
kaggle_arshkon,entry,llm,83
kaggle_arshkon,mid-senior,title_keyword,1667
kaggle_arshkon,mid-senior,llm,397
kaggle_arshkon,unknown,llm,2421
kaggle_arshkon,unknown,unknown,3
kaggle_asaniczka,associate,llm,24
kaggle_asaniczka,director,title_keyword,78
kaggle_asaniczka,director,llm,14
kaggle_asaniczka,entry,title_keyword,112
kaggle_asaniczka,entry,llm,92
kaggle_asaniczka,mid-senior,title_keyword,10464
kaggle_asaniczka,mid-senior,llm,962
kaggle_asaniczka,unknown,llm,4098
kaggle_asaniczka,unknown,unknown,2285
scraped,associate,llm,52
scraped,director,title_keyword,270
scraped,director,llm,25
scraped,entry,title_keyword,1002
scraped,entry,llm,273
scraped,mid-senior,title_keyword,16525
scraped,mid-senior,llm,892
scraped,mid-senior,title_manager,1
scraped,unknown,unknown,16165
scraped,unknown,llm,5676
