title_pattern,source,n_match,n_swe,n_adjacent,n_control,n_other,swe_rate,adjacent_rate
ML Engineer,kaggle_arshkon,90,90,0,0,0,1.0,0.0
ML Engineer,scraped,1594,1594,0,0,0,1.0,0.0
ML Engineer,kaggle_asaniczka,204,204,0,0,0,1.0,0.0
Data Engineer,scraped,3024,3023,1,0,0,0.9996693121693122,0.00033068783068783067
Data Engineer,kaggle_asaniczka,953,953,0,0,0,1.0,0.0
Data Engineer,kaggle_arshkon,333,333,0,0,0,1.0,0.0
DevOps Engineer,scraped,1391,1367,22,0,2,0.98274622573688,0.015815959741193385
DevOps Engineer,kaggle_arshkon,174,171,3,0,0,0.9827586206896551,0.017241379310344827
DevOps Engineer,kaggle_asaniczka,282,274,7,0,1,0.9716312056737588,0.024822695035460994
AI Engineer,kaggle_arshkon,27,27,0,0,0,1.0,0.0
AI Engineer,scraped,1227,1226,1,0,0,0.9991850040749797,0.0008149959250203749
AI Engineer,kaggle_asaniczka,29,29,0,0,0,1.0,0.0
Data Scientist,scraped,2559,43,2515,1,0,0.016803438843298164,0.9828057835091832
Data Scientist,kaggle_asaniczka,611,10,601,0,0,0.016366612111292964,0.983633387888707
Data Scientist,kaggle_arshkon,220,6,214,0,0,0.02727272727272727,0.9727272727272728
ML Scientist,scraped,90,3,16,0,71,0.03333333333333333,0.17777777777777778
ML Scientist,kaggle_arshkon,2,0,0,0,2,0.0,0.0
ML Scientist,kaggle_asaniczka,22,1,1,0,20,0.045454545454545456,0.045454545454545456
