company_industry,kaggle_arshkon,scraped
Software Development,0.16689429117727397,0.3645790413404752
IT Services and IT Consulting,0.3283255940999727,0.1753879961543744
Financial Services,0.10680142037694619,0.10056997665155885
"Technology, Information and Internet",0.02895383774924884,0.06867188572998215
Defense and Space Manufacturing,0.03332422835290904,0.05469715698393078
Staffing and Recruiting,0.07402349084949468,0.037048482351325365
Business Consulting and Services,0.017208413001912046,0.024893558577118526
"Information Services and Technology, Information and Internet",0.0,0.025889300920203268
Hospitals and Health Care,0.02185195301830101,0.02022387034747974
Semiconductor Manufacturing,0.010652827096421742,0.019228128004395002
Retail,0.018847309478284623,0.016240900975140776
Aviation and Aerospace Component Manufacturing,0.0068287353182190655,0.0169276198324406
Information Technology & Services,0.03441682600382409,0.010438126630957285
Entertainment Providers,0.013657470636438131,0.012978986402966625
Insurance,0.017208413001912046,0.012360939431396786
"Technology, Information and Media",0.022944550669216062,0.011330861145447055
Information Services,0.040972411909314395,0.005837110287048483
Banking,0.025129745971046162,0.006832852630133224
Computer and Network Security,0.014750068287353183,0.008103282516137893
Motor Vehicle Manufacturing,0.017208413001912046,0.007759923087487982
