company,posting_count,distinct_hash,max_rows_per_hash,max_dup_ratio,source
ClearanceJobs,898,898,1,1.0,kaggle_asaniczka
Capital One,658,658,1,1.0,kaggle_asaniczka
Northrop Grumman,294,294,2,1.0,kaggle_asaniczka
Jobs for Humanity,185,185,1,1.0,kaggle_asaniczka
Walmart,170,170,1,1.0,kaggle_asaniczka
ClickJobs.io,165,165,1,1.0,kaggle_asaniczka
Raytheon,143,143,1,1.0,kaggle_asaniczka
Amazon,142,142,1,1.0,kaggle_asaniczka
Syrinx Consulting,131,131,2,1.0,kaggle_asaniczka
"Syms Strategic Group, LLC (SSG)",118,118,1,1.0,kaggle_asaniczka
