bucket,bin,n
arshkon,0.0,226
arshkon,500.0,405
arshkon,1000.0,510
arshkon,1500.0,451
arshkon,2000.0,393
arshkon,2500.0,381
arshkon,3000.0,370
arshkon,3500.0,353
arshkon,4000.0,291
arshkon,4500.0,281
arshkon,5000.0,255
arshkon,5500.0,234
arshkon,6000.0,146
arshkon,6500.0,110
arshkon,7000.0,97
arshkon,7500.0,71
arshkon,8000.0,36
arshkon,8500.0,28
arshkon,9000.0,21
arshkon,9500.0,12
arshkon,10000.0,7
arshkon,10500.0,2
arshkon,11000.0,3
arshkon,11500.0,1
arshkon,12000.0,1
arshkon,12500.0,2
arshkon,13000.0,1
arshkon,13500.0,1
arshkon,14500.0,1
arshkon,15500.0,1
asaniczka,0.0,342
asaniczka,500.0,884
asaniczka,1000.0,1179
asaniczka,1500.0,1319
asaniczka,2000.0,1402
asaniczka,2500.0,1565
asaniczka,3000.0,1603
asaniczka,3500.0,1650
asaniczka,4000.0,1534
asaniczka,4500.0,1503
asaniczka,5000.0,1281
asaniczka,5500.0,1059
asaniczka,6000.0,881
asaniczka,6500.0,601
asaniczka,7000.0,462
asaniczka,7500.0,301
asaniczka,8000.0,185
asaniczka,8500.0,113
asaniczka,9000.0,81
asaniczka,9500.0,69
asaniczka,10000.0,43
asaniczka,10500.0,27
asaniczka,11000.0,13
asaniczka,11500.0,5
asaniczka,12000.0,8
asaniczka,12500.0,3
asaniczka,13000.0,3
asaniczka,13500.0,2
asaniczka,14000.0,2
asaniczka,14500.0,1
asaniczka,15000.0,4
asaniczka,17000.0,1
asaniczka,18000.0,1
asaniczka,18500.0,2
scraped_2026,0.0,238
scraped_2026,500.0,959
scraped_2026,1000.0,1521
scraped_2026,1500.0,2129
scraped_2026,2000.0,2252
scraped_2026,2500.0,2314
scraped_2026,3000.0,2545
scraped_2026,3500.0,2903
scraped_2026,4000.0,3118
scraped_2026,4500.0,3343
scraped_2026,5000.0,3395
scraped_2026,5500.0,3380
scraped_2026,6000.0,2791
scraped_2026,6500.0,2472
scraped_2026,7000.0,2035
scraped_2026,7500.0,1595
scraped_2026,8000.0,1246
scraped_2026,8500.0,878
scraped_2026,9000.0,569
scraped_2026,9500.0,417
scraped_2026,10000.0,240
scraped_2026,10500.0,179
scraped_2026,11000.0,112
scraped_2026,11500.0,91
scraped_2026,12000.0,43
scraped_2026,12500.0,32
scraped_2026,13000.0,21
scraped_2026,13500.0,22
scraped_2026,14000.0,12
scraped_2026,14500.0,1
scraped_2026,15000.0,7
scraped_2026,15500.0,2
scraped_2026,16000.0,1
scraped_2026,17000.0,2
scraped_2026,17500.0,2
scraped_2026,18000.0,2
scraped_2026,19000.0,2
scraped_2026,19500.0,2
scraped_2026,20000.0,2
scraped_2026,21000.0,3
scraped_2026,21500.0,1
scraped_2026,23000.0,1
scraped_2026,23500.0,1
