bucket,yoe_extracted,n
arshkon,1.0,105
arshkon,2.0,331
arshkon,3.0,471
arshkon,4.0,253
arshkon,5.0,788
arshkon,6.0,178
arshkon,7.0,189
arshkon,8.0,261
arshkon,9.0,38
arshkon,10.0,219
arshkon,11.0,4
arshkon,12.0,36
arshkon,13.0,2
arshkon,14.0,6
arshkon,15.0,23
arshkon,16.0,1
arshkon,17.0,1
arshkon,18.0,3
arshkon,20.0,2
asaniczka,1.0,291
asaniczka,2.0,1039
asaniczka,3.0,1798
asaniczka,4.0,1178
asaniczka,5.0,3528
asaniczka,6.0,883
asaniczka,7.0,943
asaniczka,8.0,1146
asaniczka,9.0,235
asaniczka,10.0,1097
asaniczka,11.0,45
asaniczka,12.0,200
asaniczka,13.0,13
asaniczka,14.0,128
asaniczka,15.0,164
asaniczka,16.0,10
asaniczka,17.0,11
asaniczka,18.0,10
asaniczka,20.0,115
scraped_2026,1.0,1303
scraped_2026,2.0,3439
scraped_2026,3.0,4565
scraped_2026,4.0,2336
scraped_2026,5.0,7461
scraped_2026,6.0,1656
scraped_2026,7.0,1845
scraped_2026,8.0,2295
scraped_2026,9.0,175
scraped_2026,10.0,1720
scraped_2026,11.0,28
scraped_2026,12.0,383
scraped_2026,13.0,34
scraped_2026,14.0,73
scraped_2026,15.0,163
scraped_2026,16.0,46
scraped_2026,17.0,1
scraped_2026,18.0,7
scraped_2026,20.0,51
