bucket,seniority_final,n,mean_len,q25,median,q75,var_len
arshkon,associate,15,4297.466666666666,2037,3764,6828,6900849.582222223
arshkon,director,13,5385.2307692307695,3174,5551,6781,6250326.331360944
arshkon,entry,175,3508.1714285714284,2169,3309,4685,3262013.1134693883
arshkon,mid-senior,2064,3719.720445736434,1909,3485,5220,4769795.928147862
arshkon,unknown,2424,2921.148102310231,1292,2488,4183,4183326.797785178
asaniczka,associate,24,3736.5833333333335,1946,4155,5143,3294546.493055554
asaniczka,director,92,4888.369565217391,3570,5089,5842,3242445.0373345986
asaniczka,entry,204,3291.348039215686,1896,3209,4528,2723000.0112216473
asaniczka,mid-senior,11426,4198.377559950989,2667,4103,5528,4313689.246561032
asaniczka,unknown,6383,3319.008773304089,1778,3028,4601,3879708.619380962
scraped_2026,associate,52,5766.615384615385,4116,6001,6866,3632104.1982248537
scraped_2026,director,295,6479.850847457627,5183,6245,7596,4612347.903177246
scraped_2026,entry,1275,4970.082352941176,3445,4854,6508,4467512.783021916
scraped_2026,mid-senior,17418,5454.185382937191,3883,5428,6880,5265207.608588733
scraped_2026,unknown,21841,4453.042122613433,2635,4334,5983,5267964.406448755
