bucket,company_industry,n,share
arshkon,IT Services and IT Consulting,1202,0.25832796045562
arshkon,Software Development,611,0.13131313131313133
arshkon,Financial Services,391,0.08403180743606276
arshkon,Staffing and Recruiting,271,0.058241994412207176
arshkon,Information Services,150,0.032237266279819474
arshkon,Information Technology & Services,126,0.027079303675048357
arshkon,Defense and Space Manufacturing,122,0.026219643240919837
arshkon,"Technology, Information and Internet",106,0.02278100150440576
arshkon,Banking,92,0.019772189984955942
arshkon,"Technology, Information and Media",84,0.018052869116698903
arshkon,Hospitals and Health Care,80,0.017193208682570384
arshkon,Retail,69,0.014829142488716958
arshkon,Business Consulting and Services,63,0.013539651837524178
arshkon,Insurance,63,0.013539651837524178
arshkon,Motor Vehicle Manufacturing,63,0.013539651837524178
scraped_2026,Software Development,10618,0.2597930072667662
scraped_2026,IT Services and IT Consulting,5108,0.12497859117711825
scraped_2026,Financial Services,2929,0.07166450539502336
scraped_2026,"Technology, Information and Internet",2000,0.04893445230114262
scraped_2026,Defense and Space Manufacturing,1593,0.0389762912578601
scraped_2026,Staffing and Recruiting,1079,0.026400137016466443
scraped_2026,"Information Services and Technology, Information and Internet",754,0.01844828851753077
scraped_2026,Business Consulting and Services,725,0.0177387389591642
scraped_2026,Hospitals and Health Care,589,0.0144111962026865
scraped_2026,Semiconductor Manufacturing,560,0.013701646644319934
scraped_2026,Aviation and Aerospace Component Manufacturing,493,0.012062342492231655
scraped_2026,Retail,473,0.01157299796922023
scraped_2026,Entertainment Providers,378,0.009248611484915955
scraped_2026,Insurance,360,0.008808201414205671
scraped_2026,"Technology, Information and Media",330,0.008074184629688532
