domain,w_arshkon,w_scraped,j2_arshkon,j2_scraped,within_contrib,between_contrib
backend,0.06459177147729696,0.07289449866686236,0.036303630363036306,0.019798657718120807,-0.001134603563890406,0.00023290099632412704
data,0.07908761458111277,0.08108901445659353,0.016172506738544475,0.02594268476621418,0.0007824770907851996,4.214466951673613e-05
devops,0.08995949690897463,0.07480247547760574,0.0071090047393364926,0.022563767168083716,0.0012731785702632047,-0.00022487541986444446
frontend,0.04412705180132168,0.03588464078667351,0.033816425120772944,0.01772324471710975,-0.000643821301610524,-0.00021240557118154717
fullstack,0.07098699637603922,0.08581003400112522,0.02702702702702703,0.019954389965792473,-0.0005544842440685268,0.000348203655882209
ml_ai,0.031123427840545725,0.07817812675815171,0.08904109589041095,0.05475594493116395,-0.00187371014974836,0.0033831632305509523
mobile,0.0257940737582605,0.029989481666299746,0.04132231404958678,0.01957585644371941,-0.000606547361572376,0.00012774633303636954
other,0.5659774035386911,0.5128054597490277,0.050094161958568736,0.03734974241556955,-0.006874230702768312,-0.0023247811840651908
qa,0.02771264122788318,0.027103055209021305,0.023076923076923078,0.027978339350180504,0.00013433727327289135,-1.5561287082443198e-05
security,0.0006395224898742272,0.001443213228639221,0.0,0.06779661016949153,7.060121079706605e-05,2.724375385644047e-05
TOTAL,1.0,1.0,0.04050309102536773,0.0324600670238008,-0.009426803178540142,0.001383779176973209
