bucket,sp,ag,n,j2,s1,len_mean,ai_share
arshkon,nonspec,agg,426,0.025821596244131457,0.3732394366197183,2769.288732394366,0.12206572769953052
arshkon,nonspec,nonagg,4032,0.039186507936507936,0.45610119047619047,3328.49751984127,0.1505456349206349
arshkon,spec,agg,4,0.25,0.5,3968.75,0.25
arshkon,spec,nonagg,229,0.08733624454148471,0.33624454148471616,3889.397379912664,0.25327510917030566
asaniczka,nonspec,agg,2938,0.005445881552076242,0.773995915588836,4276.206603131382,0.15656909462219196
asaniczka,nonspec,nonagg,14200,0.013521126760563381,0.6151408450704225,3742.068309859155,0.12971830985915492
asaniczka,spec,agg,5,0.0,0.6,4311.0,0.2
asaniczka,spec,nonagg,986,0.02028397565922921,0.513184584178499,4710.2616632860045,0.2434077079107505
scraped_2026,nonspec,agg,6660,0.026276276276276277,0.3132132132132132,3905.881981981982,0.4208708708708709
scraped_2026,nonspec,nonagg,30279,0.03018593744839658,0.46675913999801844,5048.760989464646,0.5055979391657585
scraped_2026,spec,agg,140,0.15714285714285714,0.3142857142857143,3864.5714285714284,0.4785714285714286
scraped_2026,spec,nonagg,3802,0.05681220410310363,0.38137822198842714,5624.019200420831,0.6036296685954761
