archetype,2024-01,2024-04,2026,n_known_2024_01,n_known_2024_04,n_known_2026
ai_ml_engineering,0.078,0.149,0.27,51,87,370
angular_frontend,0.067,0.0,0.083,15,21,12
aws_cloud_services,0.038,0.023,0.152,79,43,33
azure_dotnet_web,0.048,0.029,0.267,21,35,15
backend_platform,0.125,0.0,0.188,16,19,48
cloud_devops,0.052,0.027,0.199,134,186,156
customer_project_engineer,0.267,0.342,0.457,75,38,35
data_engineering,0.202,0.051,0.231,183,177,199
dotnet_web_sql,0.122,0.051,0.263,74,78,19
frontend_react,0.034,0.116,0.338,118,164,148
generic_software_engineer,0.151,0.171,0.362,491,299,456
golang_cloud,0.0,0.0,0.0,7,12,6
internship_new_grad,1.0,1.0,1.0,5,15,31
java_spring_backend,0.174,0.128,0.233,121,148,103
mobile_android_ios,0.098,0.167,0.339,41,54,62
network_security_linux,0.12,0.091,0.312,83,55,48
python_backend_developer,0.125,0.16,0.333,16,25,9
qa_test_automation,0.045,0.0,0.3,22,31,20
recommendation_ecommerce,0.0,0.167,0.947,2,6,57
systems_engineering,0.04,0.108,0.213,278,65,47
technology_leadership,0.0,0.03,0.0,65,67,76
test_engineering,0.122,0.136,0.385,49,22,26
