topic,rank,term,weight
-1,0,software,0.02213674690217777
-1,1,systems,0.016392862565034978
-1,2,design,0.015422017421774856
-1,3,engineering,0.01419513891132048
-1,4,applications,0.012062934082970024
-1,5,code,0.011204828655999746
-1,6,services,0.01083374951664545
-1,7,tools,0.01079344320590394
-1,8,cloud,0.010618890412146151
-1,9,test,0.010313969526179237
0,0,software,0.04684677911731786
0,1,design,0.021260057018073774
0,2,systems,0.018594291655254346
0,3,engineering,0.016670718656519968
0,4,code,0.014488416221584572
0,5,degree,0.013877199899813071
0,6,software engineer,0.012575719479848452
0,7,develop,0.012160557815438488
0,8,engineer,0.011942781660180944
0,9,test,0.010926168084556246
1,0,data,0.10254746374198913
1,1,data data,0.026244034605495747
1,2,sql,0.01829887698636312
1,3,data engineering,0.017606816925422205
1,4,data engineer,0.017555259116663193
1,5,cloud,0.01584272078916287
1,6,engineering,0.01546211826749815
1,7,azure,0.015231015731990304
1,8,etl,0.01484657896161243
1,9,spark,0.014379754211877822
2,0,ai,0.05870262901464006
2,1,ml,0.026144356339560353
2,2,data,0.020630995767509458
2,3,engineering,0.017109334862019997
2,4,systems,0.017033779315992734
2,5,build,0.013671413087160937
2,6,design,0.01300862645034943
2,7,workflows,0.012128717363729702
2,8,frameworks,0.011906559514051701
2,9,youll,0.011804002780108003
3,0,cloud,0.043067594998989614
3,1,devops,0.029066383689494588
3,2,azure,0.02582082638493344
3,3,aws,0.02305297402118574
3,4,security,0.021738429972431157
3,5,cicd,0.019035290584505014
3,6,tools,0.017467999433111395
3,7,terraform,0.017235474408981852
3,8,kubernetes,0.0169030661077008
3,9,services,0.01555838192167697
4,0,systems,0.055001328763122824
4,1,engineering,0.044939645706098263
4,2,systems engineering,0.03626264004988491
4,3,design,0.023196791366272028
4,4,systems engineer,0.02182052504737745
4,5,test,0.02083885984742019
4,6,engineer,0.018494348034419274
4,7,degree,0.01839416882524985
4,8,customer,0.01317762789179026
4,9,project,0.013077748595001614
5,0,frontend,0.035211703693715214
5,1,web,0.030614091289197207
5,2,react,0.02598841276165533
5,3,javascript,0.01870975742447483
5,4,design,0.018463698078182125
5,5,backend,0.01817147428380992
5,6,code,0.017216712592112094
