bertopic_topic,best_nmf_topic,best_jaccard,bertopic_name,nmf_name
-1,0,0.2,"software,systems,design,engineering,applications","software,software engineer,design,software design,software engineering"
0,0,0.42857142857142855,"software,design,systems,engineering,code","software,software engineer,design,software design,software engineering"
1,1,0.30434782608695654,"data,data data,sql,data engineering,data engineer","data,data data,data engineering,data engineer,etl"
2,20,0.2,"ai,ml,data,engineering,systems","ll,platform,build,scale,systems"
3,15,0.2,"cloud,devops,azure,aws,security","cloud,aws,services,security,aws cloud"
4,7,0.30434782608695654,"systems,engineering,systems engineering,design,systems engineer","systems,engineering,systems engineering,systems engineer,engineering engineering"
5,2,0.36363636363636365,"frontend,web,react,javascript,design","web,applications,javascript,front-end,web applications"
6,9,0.25,"java,spring,design,applications,services","java,spring,java spring,microservices,developer"
7,11,0.42857142857142855,"mobile,android,ios,applications,kotlin","mobile,android,ios,mobile applications,kotlin"
8,12,0.42857142857142855,"network,security,systems,linux,windows","network,security,systems,linux,windows"
9,16,0.30434782608695654,"customer,engineering,design,customers,project","project,customer,design,projects,quality"
10,16,0.2,"lead,software,technology,design,applications","project,customer,design,projects,quality"
11,5,0.25,"aws,cloud,software,azure cloud,technologies","azure cloud,aws,typescript sql,cloud-based millions,technologies"
12,8,0.25,"net,web,sql,applications,aspnet","net,sql,developer,asp.net,framework"
13,6,0.30434782608695654,"test,qa,selenium,quality,manual","test,test test,qa,test engineer,quality"
14,0,0.1111111111111111,"python,backend,python developer,data,design","software,software engineer,design,software design,software engineering"
15,6,0.2,"test,test test,te,software,test engineer","test,test test,qa,test engineer,quality"
16,8,0.2,"azure,net,web,sql,applications","net,sql,developer,asp.net,framework"
17,13,0.1111111111111111,"recommendation,ecommerce,data,algorithms,largescale","ml,data ml,data,pytorch,research"
18,2,0.25,"angular,frontend,web,applications,backend","web,applications,javascript,front-end,web applications"
19,20,0.30434782608695654,"backend,engineering,systems,platform,design","ll,platform,build,scale,systems"
20,0,0.1111111111111111,"internship,interns,software,currently,pursuing","software,software engineer,design,software design,software engineering"
21,0,0.1111111111111111,"golang,design,cloud,aws,software","software,software engineer,design,software design,software engineering"
