cluster_method,axis,nmi
bertopic_raw,seniority_final,0.0272
bertopic_raw,period_4bucket,0.0338
bertopic_raw,period_2bucket,0.035
bertopic_raw,derived_domain,0.2441
bertopic_raw,source,0.035
bertopic_raw,is_aggregator,0.0072
bertopic_reduced,seniority_final,0.0332
bertopic_reduced,period_4bucket,0.0373
bertopic_reduced,period_2bucket,0.0388
bertopic_reduced,derived_domain,0.2605
bertopic_reduced,source,0.0388
bertopic_reduced,is_aggregator,0.0077
nmf,seniority_final,0.0162
nmf,period_4bucket,0.0363
nmf,period_2bucket,0.038
nmf,derived_domain,0.2309
nmf,source,0.038
nmf,is_aggregator,0.0101
