source_bucket,marker,share_all,share_j2,share_s1,n_all,n_j2,n_s1
arshkon,senior,0.2806621519939804,0.0,0.6124794745484401,3987,153,1827
arshkon,lead,0.06571356909957361,0.006535947712418301,0.1417624521072797,3987,153,1827
arshkon,principal,0.030599448206671685,0.0,0.06677613574165299,3987,153,1827
arshkon,staff,0.025583145221971408,0.0,0.05582922824302135,3987,153,1827
arshkon,junior,0.008778530223225483,0.22875816993464052,0.0,3987,153,1827
arshkon,associate,0.007775269626285428,0.09803921568627451,0.004378762999452655,3987,153,1827
arshkon,intern,0.010283421118635566,0.2679738562091503,0.0,3987,153,1827
arshkon,entry,0.0015048908954100827,0.0392156862745098,0.0,3987,153,1827
asaniczka,senior,0.4472535211267606,0.0,0.726960503720664,14200,192,8735
asaniczka,lead,0.08140845070422535,0.005208333333333333,0.11276473955352032,14200,192,8735
asaniczka,principal,0.05859154929577465,0.0,0.09502003434459072,14200,192,8735
asaniczka,staff,0.02852112676056338,0.0,0.04636519748139668,14200,192,8735
asaniczka,junior,0.005140845070422535,0.375,0.00011448196908986835,14200,192,8735
asaniczka,associate,0.004647887323943662,0.11458333333333333,0.0019461934745277618,14200,192,8735
asaniczka,intern,0.0014788732394366197,0.109375,0.0,14200,192,8735
asaniczka,entry,0.0007042253521126761,0.041666666666666664,0.00011448196908986835,14200,192,8735
scraped,senior,0.3091581624228013,0.0010940919037199124,0.6622797707493101,30279,914,14133
scraped,lead,0.06714224379933287,0.0,0.1178801386825161,30279,914,14133
scraped,principal,0.043759701443244495,0.0,0.09339842920823604,30279,914,14133
scraped,staff,0.06258462961128175,0.0,0.13408335102242977,30279,914,14133
scraped,junior,0.00799233792397371,0.2636761487964989,7.075638576381519e-05,30279,914,14133
scraped,associate,0.008487730770501007,0.04266958424507659,0.004882190617703248,30279,914,14133
scraped,intern,0.011460087849664784,0.3796498905908096,0.0,30279,914,14133
scraped,entry,0.005251164173189339,0.12363238512035012,7.075638576381519e-05,30279,914,14133
