title_lc,source_bucket,n,j2_share,mid_senior_share,s1_share,senior_unknown
software engineer,arshkon,117,0.07692307692307693,0.05982905982905983,0.05982905982905983,0.8632478632478633
software engineer,asaniczka,204,0.0196078431372549,0.07352941176470588,0.07352941176470588,0.9068627450980392
software engineer,scraped,981,0.014271151885830785,0.034658511722731905,0.03567787971457696,0.9500509683995922
senior software engineer,arshkon,137,0.0,1.0,1.0,0.0
senior software engineer,asaniczka,549,0.0,1.0,1.0,0.0
senior software engineer,scraped,944,0.0,1.0,1.0,0.0
data engineer,arshkon,73,0.0,0.0958904109589041,0.0958904109589041,0.9041095890410958
data engineer,asaniczka,95,0.0,0.06315789473684211,0.06315789473684211,0.9368421052631579
data engineer,scraped,456,0.0043859649122807015,0.02412280701754386,0.02631578947368421,0.9692982456140351
senior data engineer,arshkon,33,0.0,1.0,1.0,0.0
senior data engineer,asaniczka,133,0.0,1.0,1.0,0.0
senior data engineer,scraped,297,0.0,1.0,1.0,0.0
devops engineer,arshkon,47,0.0,0.10638297872340426,0.10638297872340426,0.8936170212765957
devops engineer,asaniczka,36,0.0,0.05555555555555555,0.05555555555555555,0.9444444444444444
devops engineer,scraped,280,0.0035714285714285713,0.03214285714285714,0.03214285714285714,0.9642857142857143
principal software engineer,arshkon,19,0.0,1.0,1.0,0.0
principal software engineer,asaniczka,55,0.0,1.0,1.0,0.0
principal software engineer,scraped,262,0.0,1.0,1.0,0.0
full stack engineer,arshkon,50,0.0,0.08,0.08,0.92
full stack engineer,asaniczka,34,0.0,0.14705882352941177,0.14705882352941177,0.8529411764705882
full stack engineer,scraped,250,0.0,0.044,0.056,0.944
software engineer ii,arshkon,15,0.0,0.0,0.0,1.0
software engineer ii,asaniczka,11,0.0,0.0,0.0,1.0
software engineer ii,scraped,196,0.015306122448979591,0.025510204081632654,0.025510204081632654,0.9591836734693877
staff software engineer,arshkon,16,0.0,1.0,1.0,0.0
staff software engineer,asaniczka,36,0.0,1.0,1.0,0.0
staff software engineer,scraped,190,0.0,1.0,1.0,0.0
lead software engineer,arshkon,17,0.0,1.0,1.0,0.0
lead software engineer,asaniczka,106,0.0,1.0,1.0,0.0
lead software engineer,scraped,164,0.0,1.0,1.0,0.0
machine learning engineer,arshkon,20,0.0,0.0,0.0,1.0
machine learning engineer,asaniczka,30,0.0,0.0,0.0,1.0
machine learning engineer,scraped,158,0.006329113924050633,0.04430379746835443,0.04430379746835443,0.9493670886075949
ai engineer,arshkon,2,0.0,0.0,0.0,1.0
ai engineer,asaniczka,3,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
ai engineer,scraped,145,0.006896551724137931,0.041379310344827586,0.04827586206896552,0.9448275862068966
test engineer,arshkon,14,0.07142857142857142,0.0,0.0,0.9285714285714286
test engineer,asaniczka,69,0.014492753623188406,0.043478260869565216,0.043478260869565216,0.9420289855072463
test engineer,scraped,133,0.015037593984962405,0.007518796992481203,0.007518796992481203,0.9774436090225563
software developer,arshkon,18,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.7777777777777778
software developer,asaniczka,52,0.0,0.0,0.0,1.0
software developer,scraped,127,0.015748031496062992,0.007874015748031496,0.007874015748031496,0.9763779527559056
cloud engineer,arshkon,28,0.0,0.17857142857142858,0.17857142857142858,0.8214285714285714
cloud engineer,asaniczka,9,0.0,0.0,0.0,1.0
cloud engineer,scraped,123,0.008130081300813009,0.032520325203252036,0.04065040650406504,0.9512195121951219
embedded software engineer,arshkon,30,0.03333333333333333,0.1,0.1,0.8666666666666667
embedded software engineer,asaniczka,53,0.018867924528301886,0.07547169811320754,0.07547169811320754,0.9056603773584906
embedded software engineer,scraped,122,0.0,0.00819672131147541,0.00819672131147541,0.9918032786885246
full stack developer,arshkon,15,0.0,0.0,0.0,1.0
full stack developer,asaniczka,36,0.0,0.08333333333333333,0.08333333333333333,0.9166666666666666
full stack developer,scraped,121,0.008264462809917356,0.05785123966942149,0.05785123966942149,0.9338842975206612
senior devops engineer,arshkon,17,0.0,1.0,1.0,0.0
senior devops engineer,asaniczka,32,0.0,1.0,1.0,0.0
senior devops engineer,scraped,116,0.0,1.0,1.0,0.0
artificial intelligence engineer,arshkon,7,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571
artificial intelligence engineer,asaniczka,6,0.0,0.16666666666666666,0.16666666666666666,0.8333333333333334
artificial intelligence engineer,scraped,116,0.008620689655172414,0.06896551724137931,0.06896551724137931,0.9224137931034483
site reliability engineer,arshkon,23,0.0,0.13043478260869565,0.13043478260869565,0.8695652173913043
site reliability engineer,asaniczka,29,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.896551724137931
site reliability engineer,scraped,100,0.0,0.02,0.03,0.97
systems engineer,arshkon,16,0.0,0.0,0.0,1.0
systems engineer,asaniczka,94,0.0,0.06382978723404255,0.06382978723404255,0.9361702127659575
systems engineer,scraped,93,0.0,0.03225806451612903,0.03225806451612903,0.967741935483871
sr. software engineer,arshkon,7,0.0,1.0,1.0,0.0
sr. software engineer,asaniczka,118,0.0,1.0,1.0,0.0
sr. software engineer,scraped,89,0.0,1.0,1.0,0.0
senior site reliability engineer,arshkon,15,0.0,1.0,1.0,0.0
senior site reliability engineer,asaniczka,40,0.0,1.0,1.0,0.0
senior site reliability engineer,scraped,89,0.0,1.0,1.0,0.0
senior machine learning engineer,arshkon,13,0.0,1.0,1.0,0.0
senior machine learning engineer,asaniczka,22,0.0,1.0,1.0,0.0
senior machine learning engineer,scraped,85,0.0,1.0,1.0,0.0
quality assurance engineer,arshkon,17,0.0,0.0,0.0,1.0
quality assurance engineer,asaniczka,38,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.8947368421052632
quality assurance engineer,scraped,85,0.0,0.011764705882352941,0.011764705882352941,0.9882352941176471
application engineer,arshkon,19,0.05263157894736842,0.0,0.0,0.9473684210526315
application engineer,asaniczka,84,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.9761904761904762
application engineer,scraped,85,0.047058823529411764,0.0,0.0,0.9529411764705882
system engineer,arshkon,36,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.8888888888888888
system engineer,asaniczka,80,0.0,0.05,0.05,0.95
system engineer,scraped,80,0.0,0.0375,0.0375,0.9625
java developer,arshkon,33,0.030303030303030304,0.12121212121212122,0.12121212121212122,0.8484848484848485
java developer,asaniczka,65,0.015384615384615385,0.07692307692307693,0.07692307692307693,0.9076923076923077
java developer,scraped,77,0.0,0.012987012987012988,0.012987012987012988,0.987012987012987
lead data engineer,arshkon,11,0.0,1.0,1.0,0.0
lead data engineer,asaniczka,41,0.0,1.0,1.0,0.0
lead data engineer,scraped,76,0.0,1.0,1.0,0.0
android developer,arshkon,16,0.0,0.375,0.375,0.625
android developer,asaniczka,21,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
android developer,scraped,71,0.0,0.056338028169014086,0.056338028169014086,0.9436619718309859
