title_lc,arshkon_n,scraped_n,asaniczka_n
software engineer,117,981,204
senior software engineer,137,944,549
data engineer,73,456,95
senior data engineer,33,297,133
devops engineer,47,280,36
principal software engineer,19,262,55
full stack engineer,50,250,34
software engineer ii,15,196,11
staff software engineer,16,190,36
lead software engineer,17,164,106
machine learning engineer,20,158,30
ai engineer,2,145,3
test engineer,14,133,69
software developer,18,127,52
cloud engineer,28,123,9
embedded software engineer,30,122,53
full stack developer,15,121,36
senior devops engineer,17,116,32
artificial intelligence engineer,7,116,6
site reliability engineer,23,100,29
systems engineer,16,93,94
sr. software engineer,7,89,118
senior site reliability engineer,15,89,40
senior machine learning engineer,13,85,22
quality assurance engineer,17,85,38
application engineer,19,85,84
system engineer,36,80,80
java developer,33,77,65
lead data engineer,11,76,41
android developer,16,71,21
software development engineer,10,70,10
senior ai engineer,3,69,4
sr software engineer,6,69,46
software engineer iii,7,69,63
developer,7,69,9
senior embedded software engineer,4,68,63
java software engineer,14,61,14
full stack software engineer,3,55,5
software engineer in test,18,55,4
senior full stack engineer,4,53,21
founding engineer,3,51,0
frontend developer,17,50,17
senior backend engineer,4,48,22
reliability engineer,11,47,53
devsecops engineer,8,47,15
ios developer,18,45,13
servicenow developer,14,44,39
junior software engineer,2,44,8
senior software development engineer,5,44,11
automation engineer,23,43,82
sr. data engineer,6,42,32
software engineer i,5,42,1
senior systems engineer,9,42,233
software engineer intern,8,41,3
senior java software engineer,9,41,10
web developer,10,40,17
associate software engineer,2,38,4
senior cloud engineer,4,38,26
senior software developer,7,37,75
mobile engineer,3,36,4
senior salesforce developer,21,35,20
java full stack developer,8,34,12
generative ai engineer,3,34,5
product engineer,8,33,36
senior test engineer,4,32,68
senior system engineer,3,32,55
lead ai engineer,1,31,1
qa engineer,1,31,14
ai software engineer,1,30,0
staff machine learning engineer,2,29,4
senior full stack developer,3,28,30
backend engineer,3,27,1
staff data engineer,1,27,10
platform engineer,4,26,5
senior staff software engineer,4,25,4
qa automation engineer,4,24,2
field application engineer,3,24,6
software test engineer,3,24,13
back end developer,11,23,9
data engineer ii,4,23,3
"senior software engineer, backend",3,22,9
senior quality assurance engineer,2,22,23
java backend developer,6,22,0
software development engineer in test,2,21,1
senior developer,6,21,40
mobile application developer,4,21,6
test automation engineer,2,21,10
quality assurance automation engineer,6,21,10
senior reliability engineer,1,21,17
senior software test engineer,2,21,17
cloud infrastructure engineer,2,20,3
data engineer iii,2,20,8
full stack java developer,6,20,14
infrastructure engineer,7,20,6
angular developer,8,20,12
senior full stack software engineer,4,20,8
principal data engineer,2,19,14
sr data engineer,1,19,16
backend software engineer,2,19,3
senior software engineer - backend,3,19,5
azure cloud engineer,9,18,7
senior frontend engineer,3,18,12
react developer,5,18,8
senior infrastructure engineer,10,18,17
"software engineer, senior",1,18,3
aws devops engineer,2,18,1
software engineer 3,2,18,9
senior lead software engineer,1,17,0
data platform engineer,3,17,1
senior platform engineer,1,17,14
sr machine learning engineer,1,17,0
front end developer,4,17,6
.net full stack developer,3,17,7
full stack software developer,1,17,3
database engineer,3,16,9
aws data engineer,2,16,6
software engineer lead,1,16,4
software development engineer iii,2,16,4
senior android engineer,2,15,6
frontend engineer,5,15,3
lead devops engineer,6,15,6
sr. devops engineer,1,15,12
principal embedded software engineer,2,15,8
senior ios engineer,1,14,3
sr. full stack engineer,2,14,3
software engineer - backend,1,14,2
aws cloud engineer,3,14,0
software engineer 2,1,14,7
principal systems engineer,2,14,37
mlops engineer,3,14,1
java fullstack developer,4,14,6
systems integration engineer,1,13,6
software engineering manager,9,13,23
agentic ai engineer,1,13,0
senior qa engineer,4,13,15
python developer,33,13,31
software development engineer ii,1,13,0
flight software engineer,1,12,2
databricks data engineer,1,12,0
software developer 3,1,12,5
lead machine learning engineer,4,12,3
golang developer,5,12,7
senior frontend developer,5,12,11
azure devops engineer,9,11,2
automation test lead,1,11,3
sr. salesforce developer,1,11,11
data engineer intern,2,11,1
site reliability engineer ii,2,11,1
senior firmware engineer,4,11,35
senior web developer,3,11,16
cloud devops engineer,3,10,4
software quality engineer,3,10,0
cloud software engineer,3,10,4
"software engineer, full stack",2,10,0
devops engineer ii,1,10,1
firmware engineer,6,10,27
"software engineer, machine learning",1,10,0
c++ developer,5,10,12
senior quality assurance automation engineer,4,10,6
ml engineer,1,10,2
python software engineer,2,10,0
azure data engineer,5,10,8
staff devops engineer,1,10,3
"lead software engineer, full stack",3,9,0
advanced software engineer,1,9,0
principal site reliability engineer,1,9,2
principal devops engineer,1,9,3
senior fullstack engineer,1,9,4
senior product engineer,6,9,30
junior data engineer,1,9,11
lead infrastructure engineer,1,9,3
java full stack engineer,1,9,4
big data engineer,5,9,3
big data developer,4,9,4
sr. ios developer,1,8,1
staff site reliability engineer,1,8,1
javascript developer,7,8,7
lead full stack developer,1,8,7
senior database engineer,1,8,11
senior backend software engineer,1,8,9
ai product engineer,1,8,0
full-stack engineer,2,8,1
senior software development engineer in test,1,8,2
staff software development engineer,1,7,0
system test engineer,1,7,11
software quality assurance engineer,2,7,3
"software engineer, android",1,7,0
data engineer i,1,7,0
test engineer iii,2,7,3
senior automation engineer,8,7,59
senior principal software engineer,1,7,4
lead software development engineer,2,7,2
back-end engineer,1,7,0
full stack .net developer,3,7,9
integration and test engineer,1,7,0
lead database engineer,1,7,2
data infrastructure engineer,1,7,0
sr. systems engineer,4,7,58
sr. software developer,2,7,14
ui react developer,1,6,2
