uid,source_bucket,period_bucket,title_lc,requirement_breadth,tech_count,soft_skill_count,org_scope_count,management_STRICT_count,ai_count,desc_len_chars,snippet
linkedin_li-4389708542,scraped,2026,java full stack engineer,54,37,1,2,1,12,2839,"| **java full stack engineer java, react, spring our team as a full-stack ai engineer and be at the of the of ai-powered products that user and solve business challenges. this role you to own the entire stack—from front-end to robust back-end and cutting-edge ai systems. responsibilities** * full-stack ai application design, develop, and deploy end-to-end applications leveraging web frameworks (react, next.js), fastapi (python), and java, with (llms) at their core. * architect ai systems: lead the design and of of multi-step and execution using frameworks like langchain, langgraph, or autogen. * rag design: architect and optimize production-grade retrieval-augmented (rag) on efficient (pinecone, milvus, and retrieval performance. * build back-end & api develop asynchronous back-end service"
linkedin_li-4393030938,scraped,2026,java full stack engineer - react,54,37,1,2,1,12,3148,"java full stack engineer** java, react, spring our team as a full-stack ai engineer and be at the of the of ai-powered products that user and solve business challenges. this role you to own the entire stack—from front-end to robust back-end and cutting-edge ai systems. you will a role in designing, and high-impact ai-driven engineering and influencing our software architecture. * full-stack ai application design, develop, and deploy end-to-end applications leveraging web frameworks (react, next.js), fastapi (python), and java, with (llms) at their core. * architect ai systems: lead the design and of of multi-step and execution using frameworks like langchain, langgraph, or autogen. * rag design: architect and optimize production-grade retrieval-augmented (rag) on efficient (pinecone, milvu"
linkedin_li-4391861751,scraped,2026,full stack developer,50,29,4,4,2,9,4301,"**full stack developer** full-time** no **job is a full stack developer to design, build, and ship software a of and programs. you will own features end-to-end—from react front-ends and next.js applications through node.js/python and aws-hosted data stores—and llm and ai-assisted to and product capabilities. you will work closely with cross-functional teams including devops, ux/ui design, and in a security-conscious, compliance-driven environment. **responsibilities** | * design, develop, and maintain full-stack web applications from ui through api to data with of features the entire lifecycle. * build front-end and ui components using react and next.js; create reusable component libraries that consistent ux products. * llm and ai capabilities into product features using the anthropic api "
linkedin_li-4367640223,scraped,2026,senior software engineer (java),50,37,1,2,2,6,2670,"we are an senior java & python developer with expertise to our engineering team in tn. in this role, you will design, develop, and maintain backend services and microservices that our platform. you will work extensively with java & python for high-performance and data layers, lead mentor junior and collaborate closely with cross-functional teams including devops, data engineering, qa, and product management. * design, develop, and optimize high-performance, and systems * experience with microservices architectures * lead the design and of and event-driven architectures * develop and maintain data and manage data workflows for large-scale data * write maintainable, and testable code with and end-to-end * optimize application and * ai-assisted to & * lead projects through to * participate in"
linkedin_li-4371559617,scraped,2026,"ai lead engineer, client technology - svp",46,30,1,2,0,11,3853,"**job summary/position we are a and pragmatic ai lead to design, develop, and deploy ai solutions. this multifaceted role involves ai of actions, and executing tasks with minimal as as contributing to the and of generative ai solutions. the will possess a strong of ai agent-based systems, software engineering and best practices. responsibilities * agent and generative ai design, implement, and deploy including and execution modules. contribute to the and of generative ai ensuring they requirements and business objectives. * system & develop and robust architectures for systems and generative ai applications, ensuring high and security. * & llm (e.g., llms, reinforcement to agent capabilities and decision-making. implement llm using platforms like openai, anthropic, and apis. * & develop th"
linkedin_li-4389995521,scraped,2026,full stack software engineer,46,30,2,2,0,10,3059,"we are for a full stack software engineer to our team at in dc. as a full stack software engineer in you will help bring next-generation to through proof-of-concept and prototyping using technologies. the has software and problem-solving skills, is a self-starter, and can quickly grasp concepts. as a full stack software engineer, you possess the skills to architect, develop, and deploy applications and services, including both front-end and back-end components. you have experience with agile, end-to-end software and are comfortable and code windows and linux-based systems (including standalone bare-metal virtualized and cloud-hosted platforms). software experience is a plus. you are also in integrating code and systems, leveraging open-source technologies, and and utilizing apis. additiona"
linkedin_li-4358764091,scraped,2026,"ai-augmented full stack engineer, aladdin engineering, post trade accounting - vice president",45,28,1,2,1,11,3499,"at we are for software who like to and solve problems. the engineering & team provides technology for blackrock's including & platform to the scale at which operates. the team is for a of applications including and calculation client systems, platform for reconciliation, and management. **responsibilities** **ai-accelerated design & design, develop, deliver, and maintain web applications frontend and backend, leveraging ai-powered tools (e.g., code code refactoring) to dramatically solutioning and product build while maintaining consistent, high-quality output. engineering:** architect, build, and operationalize ai workflows—including multi-agent tool-use and execution pipelines—to automate business and engineering productivity. with ai fluency:** demonstrate of software design & incorpora"
linkedin_li-4377639342,scraped,2026,principal software engineer,44,29,2,4,2,5,2612,"**lead software engineer / **the role** as a lead engineer, you will a role in designing, and maintaining high-quality software applications using c# and react. you will collaborate with cross-functional teams to design, and ship features while ensuring the quality, and responsiveness of applications. this position requires a deep of software engineering and a passion for and efficient software solutions. **what you’ll do** | * build and maintain systems that may also into our products * ai tools like copilot and platforms to product capabilities and engineering efficiency. * develop and maintain web applications using .net (c#, asp.net core/framework). * develop and optimize using ms-sql sql postgresql, or nosql databases. * build and user with react.js * proficiency in using frameworks t"
asaniczka_5ec2bb67281018c0,asaniczka,2024,sr principal software engineer,42,31,6,3,0,0,6281,"summary as a senior principal software engineer at you are a full-stack engineer and a role in the of and maintainable systems. you will projects end-to-end, collaborating on product definitions with product architecting and implementing with teams, and ensuring after deployment. this position closely with to facilitate platform and when necessary participate in a of the applications using tools and methodologies. you will lead and participate in design discussions and other activities. you’re comfortable working independently as as other team members. you’re pragmatic, and comfortable with ambiguity. you’ll be to and with strong business judgment to make the about technology choices. you’ll for while bringing into how to refine and improve the system, ultimately ensuring and an user exper"
linkedin_li-4376194077,scraped,2026,senior consultant - genai full stack developer,42,24,1,4,1,10,3228,"**genai full stack developer - senior deloitte's & help business and opportunities-across technology (it), business, and areas-to build and performance. in this role, you'll design and deliver end-to-end generative ai (genai) including retrieval-augmented (rag) and ai that are production-ready, and to and governance expectations. * lead business and requirements elicitation with client stakeholders; own end-to-end translate into detailed specifications, and delivery-ready backlog artifacts. * design, build, test, and of full-stack generative ai (genai) applications (web user (ui), backend services, and data/model components); non-functional requirements (security, are met. * own end-to-end retrieval-augmented (rag) implementations (ingestion, chunking, indexing, retrieval, engineering and "
