term,z_score,count_arshkon_2024,count_scraped_2026,share_arshkon_2024,share_scraped_2026,ratio_a_over_b,category,direction
web,26.331941491535794,2066,3407,0.006612384939381137,0.003181079718399283,2.0786605570225962,other,arshkon_2024
application,26.1598710349629,2668,4888,0.008539130212134014,0.004563873690500644,1.8710268493862054,other,arshkon_2024
project,23.616612529130112,1734,2909,0.005549794523178554,0.0027161024070512223,2.0432935476846663,other,arshkon_2024
net,22.524832569633404,835,995,0.002672478908220353,0.0009290209333159045,2.876661668625289,other,arshkon_2024
sql,20.132685529559808,1771,3368,0.005668215744261372,0.0031446658325708205,1.802485874827439,tech_stack,arshkon_2024
knowledge,20.02780637682763,3369,7657,0.010782732265622,0.007149259584321488,1.508230627024484,other,arshkon_2024
azure,18.23753683248104,2257,4873,0.0072236944860519,0.004549868349797389,1.5876710996206251,tech_stack,arshkon_2024
agile,17.733382068016496,1745,3569,0.005585000832149121,0.003332337397994435,1.6760010062337776,method,arshkon_2024
technologies,17.34542881479381,2725,6290,0.00872156290407241,0.0058729062015648635,1.4850506043751401,other,arshkon_2024
business,17.010922331009695,3000,7119,0.009601720628336597,0.006646934697764747,1.4445336181150532,org_scope,arshkon_2024
java,16.91704804043945,2047,4476,0.0065515740420683385,0.004179193665851244,1.5676646180822236,tech_stack,arshkon_2024
remote,16.914387476523416,430,479,0.0013762466233949123,0.00044723721312393795,3.0772184939215426,boilerplate,arshkon_2024
javascript,16.16163093207805,1117,2107,0.003575040647283993,0.0019672835241171965,1.8172472871637886,tech_stack,arshkon_2024
developer,15.514635923834762,1347,2760,0.004311172562123132,0.0025769826893988906,1.67295363676997,other,arshkon_2024
technology,15.277712161785093,1983,4511,0.0063467373353304915,0.00421187279415884,1.5068682378376552,other,arshkon_2024
php,14.44261034409413,196,132,0.0006273124143846578,0.00012324699818864261,5.089879864047394,tech_stack,arshkon_2024
html,14.394356699714933,392,511,0.0012546248287693155,0.0004771152732908816,2.629605252658537,tech_stack,arshkon_2024
oracle,14.009627669671813,473,705,0.0015138712857344036,0.0006582510130529775,2.299838899925193,other,arshkon_2024
spring,13.70223492152258,722,1312,0.0023108140978863414,0.00122500046684469,1.8863781365230408,tech_stack,arshkon_2024
written,13.34043685493433,779,1480,0.0024932467898247366,0.0013818602827211444,1.8042683627284386,soft_skill,arshkon_2024
good,13.246924992304612,618,1087,0.001977954449437339,0.0010149203562958675,1.9488765174207716,other,arshkon_2024
like,13.2216674602011,1404,3152,0.004493605254061528,0.0029429889264439507,1.526884866499041,other,arshkon_2024
css,12.938030708271405,422,643,0.0013506420350526814,0.0006003622714795242,2.2497117144356498,tech_stack,arshkon_2024
existing,12.78428643417193,931,1916,0.0029797339683271242,0.0017889488524957518,1.6656339638610211,other,arshkon_2024
j2ee,12.672004569320274,162,121,0.0005184929139301763,0.00011297641500625572,4.589390749400805,other,arshkon_2024
problem-solving,12.559279544096434,881,1803,0.002819705291188181,0.001683441952531232,1.6749643710307074,other,arshkon_2024
client,12.447417894687709,665,1255,0.0021283814059479458,0.0011717801721723216,1.816365779600294,other,arshkon_2024
angular,12.30195055882279,596,1092,0.0019075418314962041,0.0010195888031969524,1.8708932714002424,tech_stack,arshkon_2024
location,12.119605365648962,292,392,0.0009345674744914289,0.00036600623704505984,2.5534195319638013,boilerplate,arshkon_2024
cloud,12.111285505585048,3730,10162,0.01193813931456517,0.009488151481765046,1.2582155056765978,tech_stack,arshkon_2024
degree,12.034330838501695,2580,6703,0.008257479740369474,0.00625851991559448,1.3193981726884252,credential,arshkon_2024
