direction,category,n,share
arshkon_2024,other,70,0.7
arshkon_2024,tech_stack,19,0.19
arshkon_2024,soft_skill,3,0.03
arshkon_2024,method,2,0.02
arshkon_2024,credential,2,0.02
arshkon_2024,boilerplate,2,0.02
arshkon_2024,org_scope,1,0.01
arshkon_2024,mgmt,1,0.01
scraped_2026,other,71,0.71
scraped_2026,ai_domain,9,0.09
scraped_2026,org_scope,5,0.05
scraped_2026,sys_design,5,0.05
scraped_2026,tech_stack,4,0.04
scraped_2026,ai_tool,3,0.03
scraped_2026,method,1,0.01
scraped_2026,mgmt,1,0.01
scraped_2026,soft_skill,1,0.01
