source,period,slice,n,raw_len_median,raw_len_mean,role_summary_median_chars,role_summary_mean_chars,role_summary_share_median,responsibilities_median_chars,responsibilities_mean_chars,responsibilities_share_median,requirements_median_chars,requirements_mean_chars,requirements_share_median,preferred_median_chars,preferred_mean_chars,preferred_share_median,benefits_median_chars,benefits_mean_chars,benefits_share_median,about_company_median_chars,about_company_mean_chars,about_company_share_median,legal_median_chars,legal_mean_chars,legal_share_median,unclassified_median_chars,unclassified_mean_chars,unclassified_share_median
kaggle_arshkon,2024-04,J2_entry_assoc,158,3295.5,3603.8291139240505,15.0,456.6518987341772,0.003653153121344152,326.5,600.006329113924,0.08421018688951887,697.5,902.2405063291139,0.20071155200366148,0.0,120.68354430379746,0.0,414.0,650.1962025316456,0.12304940886333568,0.0,178.75316455696202,0.0,0.0,311.746835443038,0.0,59.0,358.746835443038,0.0176640625
kaggle_asaniczka,2024-01,J2_entry_assoc,192,3168.0,3249.4895833333335,16.5,397.1458333333333,0.009264266755142667,390.0,492.2916666666667,0.12256845090155855,915.0,1071.1197916666667,0.3271937654188647,0.0,110.72395833333333,0.0,259.0,395.3072916666667,0.08567174522060406,0.0,150.5,0.0,0.0,270.0677083333333,0.0,96.5,329.640625,0.04800090503926044
scraped,2026-03,J2_entry_assoc,455,4696.0,4878.898901098901,352.0,595.6505494505494,0.07907817442385902,688.0,817.5362637362638,0.14415760869565217,716.0,891.0021978021978,0.1634007585335019,0.0,299.74725274725273,0.0,615.0,1003.9846153846154,0.14200890648193965,0.0,295.6131868131868,0.0,169.0,363.34725274725275,0.027434842249657063,182.0,487.92087912087914,0.040832795351839896
scraped,2026-04,J2_entry_assoc,459,4652.0,4713.954248366013,213.0,497.0893246187364,0.04228215205312373,738.0,834.677559912854,0.16397379912663756,779.0,915.9106753812637,0.18110387121502491,0.0,360.10021786492376,0.0,519.0,853.2440087145969,0.1128625472887768,0.0,220.33333333333334,0.0,0.0,348.57516339869284,0.0,362.0,566.5860566448802,0.09449732992802415
kaggle_arshkon,2024-04,all,4032,2983.5,3328.49751984127,0.0,378.1202876984127,0.0,203.0,633.3142361111111,0.048789125947203624,671.0,903.1654265873016,0.2441889981302109,0.0,139.6798115079365,0.0,0.0,457.0721726190476,0.0,0.0,147.26636904761904,0.0,0.0,245.93551587301587,0.0,83.0,405.6277281746032,0.038928551458098676
kaggle_asaniczka,2024-01,all,14200,3551.0,3742.068309859155,11.0,311.90823943661974,0.0021778443436075738,356.0,561.0757042253521,0.0970879975102517,1196.5,1423.5545774647887,0.3694325639233093,0.0,139.9712676056338,0.0,94.0,459.8945774647887,0.029964127808894337,0.0,145.69683098591548,0.0,0.0,280.8020422535211,0.0,142.0,383.01669014084507,0.05858879778875479
scraped,2026-03,all,14587,5073.0,5087.566326180846,299.0,570.5351340234455,0.06063284426374403,822.0,962.2127236580517,0.17354988399071924,858.0,1048.5991636388565,0.19458209448298647,13.0,359.75053129498866,0.0030511060259344014,636.0,882.9866319325427,0.12459906242289662,0.0,257.2140261877014,0.0,0.0,386.7287996160965,0.0,206.0,504.7724686364571,0.056261343012704176
scraped,2026-04,all,15692,5039.0,5012.688248789192,312.0,570.503696150905,0.06546588153792865,795.0,966.1354830486872,0.1751702899088653,869.0,1068.9156257965842,0.1996879875195008,0.0,346.171807290339,0.0,557.0,832.7744710680602,0.11653139450666233,0.0,242.87006117767015,0.0,0.0,367.7037343869488,0.0,218.0,503.11311496303847,0.06004727547515008
kaggle_arshkon,2024-04,director,11,4773.0,4932.272727272727,18.0,450.8181818181818,0.0031125713297596403,888.0,891.8181818181819,0.16422594142259414,1392.0,1446.1818181818182,0.30214146658014274,0.0,203.72727272727272,0.0,604.0,837.6363636363636,0.1337466784765279,0.0,278.09090909090907,0.0,408.0,419.90909090909093,0.08071827057182705,121.0,371.1818181818182,0.05031990316444752
kaggle_asaniczka,2024-01,director,63,5033.0,4791.650793650793,484.0,710.8571428571429,0.1157580283793876,602.0,694.6507936507936,0.12233581701611505,1664.0,1741.7619047619048,0.37465770475479215,0.0,235.31746031746033,0.0,0.0,365.73015873015873,0.0,0.0,142.12698412698413,0.0,274.0,437.3333333333333,0.05297757153905646,169.0,423.41269841269843,0.03498694516971279
scraped,2026-03,director,135,5851.0,6174.044444444445,883.0,1124.8962962962962,0.16135367880344462,1427.0,1585.562962962963,0.2538242618285308,957.0,1098.8370370370371,0.17350831680146497,0.0,265.0888888888889,0.0,814.0,979.9925925925926,0.15291333924874298,0.0,286.7037037037037,0.0,270.0,398.6740740740741,0.050955414012738856,0.0,299.55555555555554,0.0
scraped,2026-04,director,139,6617.0,6701.395683453237,558.0,992.3525179856115,0.08974987739087788,1326.0,1464.1870503597122,0.19900271985494106,1227.0,1348.5035971223022,0.20844803037494067,0.0,331.59712230215825,0.0,1104.0,1136.4028776978416,0.15810276679841898,0.0,208.4820143884892,0.0,520.0,592.8776978417267,0.08309364014062001,0.0,456.7841726618705,0.0
kaggle_arshkon,2024-04,mid_senior,1828,3536.5,3759.1154266958424,0.0,417.16247264770243,0.0,354.5,715.9737417943107,0.10629245951254065,789.5,998.0650984682713,0.23819884817790732,0.0,158.7582056892779,0.0,93.0,544.7959518599563,0.028370972965762693,0.0,161.02352297592998,0.0,0.0,297.27133479212256,0.0,108.5,444.91083150984684,0.04589472354797247
