period,community_id,size,members_top5_by_rate,members_all
2026,0,2,"kotlin, swift","kotlin, swift"
2026,1,22,"java, agile, sql, microservices, postgresql","agile, bigquery, cassandra, databricks, dbt, elasticsearch, java, junit, kafka, microservices, mongodb, mysql, oracle, php, postgresql, redis, scala, scrum, snowflake, spark, spring, sql"
2026,2,1,perl,perl
2026,3,1,shell,shell
2026,4,15,"javascript, typescript, react, csharp, nodejs","angular, csharp, css, dotnet, express, html, javascript, jest, jquery, nextjs, nodejs, react, redux, typescript, vue"
2026,5,3,"selenium, playwright, cypress","cypress, playwright, selenium"
2026,6,2,"ruby, rails","rails, ruby"
2026,7,3,"fastapi, django, flask","django, fastapi, flask"
2026,8,9,"python, cpp, go, pytorch, tensorflow","cpp, go, numpy, pandas, python, pytorch, rust, sklearn, tensorflow"
2026,9,13,"llm_token, rag, copilot, claude, langchain","agent_framework, anthropic, claude, copilot, cursor, fine_tuning, gemini, langchain, langgraph, llm_token, mcp, openai, rag"
2026,10,1,tdd,tdd
2026,11,17,"aws, cicd, azure, kubernetes, devops","ansible, argocd, aws, azure, bash, cicd, devops, docker, dynamodb, gcp, github_actions, gitlab, helm, jenkins, kubernetes, sre, terraform"
2024,0,2,"kotlin, swift","kotlin, swift"
2024,1,16,"sql, javascript, typescript, react, csharp","angular, csharp, css, dotnet, express, html, javascript, jquery, nextjs, nodejs, php, react, redux, sql, typescript, vue"
2024,2,7,"agile, java, microservices, scrum, spring","agile, java, junit, microservices, oracle, scrum, spring"
2024,3,5,"ruby, django, flask, rails, fastapi","django, fastapi, flask, rails, ruby"
2024,4,22,"python, aws, azure, devops, cpp","ansible, argocd, aws, azure, bash, bigquery, cicd, cpp, devops, docker, dynamodb, gcp, gitlab, go, helm, jenkins, kubernetes, perl, python, rust, sre, terraform"
2024,5,1,github_actions,github_actions
2024,6,13,"kafka, postgresql, spark, mysql, mongodb","cassandra, databricks, dbt, elasticsearch, kafka, mongodb, mysql, postgresql, redis, scala, shell, snowflake, spark"
2024,7,12,"tensorflow, pytorch, llm_token, pandas, numpy","anthropic, claude, fine_tuning, langchain, llm_token, numpy, openai, pandas, pytorch, rag, sklearn, tensorflow"
2024,8,1,langgraph,langgraph
2024,9,1,gemini,gemini
2024,10,1,mcp,mcp
2024,11,1,copilot,copilot
2024,12,1,cursor,cursor
2024,13,1,agent_framework,agent_framework
2024,14,4,"selenium, jest, cypress, playwright","cypress, jest, playwright, selenium"
2024,15,1,tdd,tdd
