tech1,tech2,phi_2024,phi_2026,phi_delta
html,css,0.8526776432991028,0.8433623313903809,-0.009315311908721924
tensorflow,pytorch,0.7879147529602051,0.7977426052093506,0.009827852249145508
pandas,numpy,0.7236467599868774,0.7270496487617493,0.003402888774871826
kubernetes,docker,0.6451550126075745,0.6336232423782349,-0.0115317702293396
langchain,langgraph,0.0,0.5707681775093079,0.5707681775093079
csharp,dotnet,0.6326479315757751,0.5125601887702942,-0.12008774280548096
ruby,rails,0.4942443072795868,0.4983121156692505,0.004067808389663696
javascript,react,0.47484689950942993,0.49709799885749817,0.022251099348068237
rag,llm_token,0.19163954257965088,0.48721134662628174,0.29557180404663086
tensorflow,sklearn,0.47098401188850403,0.4861833453178406,0.015199333429336548
langchain,rag,0.28011518716812134,0.4683866500854492,0.18827146291732788
claude,cursor,-7.590722088934854e-05,0.4673233926296234,0.4673992991447449
openai,anthropic,0.3223947286605835,0.44695907831192017,0.12456434965133667
agile,scrum,0.3977317214012146,0.4460727572441101,0.04834103584289551
pytorch,sklearn,0.4334590435028076,0.4450158178806305,0.011556774377822876
javascript,css,0.5423611998558044,0.4435187876224518,-0.09884241223335266
cypress,playwright,0.23849214613437653,0.4433732330799103,0.20488108694553375
javascript,nodejs,0.428576797246933,0.4376240670681,0.009047269821166992
flask,fastapi,0.1866014152765274,0.43751615285873413,0.2509147524833679
javascript,html,0.5448780655860901,0.4321626126766205,-0.1127154529094696
java,spring,0.4455104172229767,0.42687132954597473,-0.018639087677001953
azure,gcp,0.39671412110328674,0.4248025715351105,0.02808845043182373
cicd,devops,0.299360454082489,0.42254218459129333,0.12318173050880432
django,flask,0.46775028109550476,0.40090805292129517,-0.0668422281742096
terraform,ansible,0.44806280732154846,0.3896622955799103,-0.058400511741638184
typescript,react,0.2318839728832245,0.3845383822917938,0.15265440940856934
javascript,typescript,0.2720509469509125,0.38187146186828613,0.10982051491737366
langchain,llm_token,0.18922464549541473,0.38179802894592285,0.19257338345050812
aws,gcp,0.3489670157432556,0.37554800510406494,0.026580989360809326
aws,azure,0.36817577481269836,0.36368924379348755,-0.004486531019210815
jest,cypress,0.2829394042491913,0.3619159162044525,0.07897651195526123
copilot,cursor,-0.0001697783445706591,0.3611242175102234,0.3612940013408661
redux,jest,0.2287592887878418,0.35815781354904175,0.12939852476119995
kubernetes,terraform,0.2963625192642212,0.3561534881591797,0.059790968894958496
langgraph,rag,0.0,0.35368049144744873,0.35368049144744873
postgresql,mysql,0.3055677115917206,0.34862905740737915,0.04306134581565857
snowflake,dbt,0.2854625880718231,0.3475881814956665,0.062125593423843384
scala,spark,0.4290023148059845,0.3466225564479828,-0.08237975835800171
spark,databricks,0.26966139674186707,0.34622085094451904,0.07655945420265198
sklearn,pandas,0.2768910825252533,0.3431909382343292,0.06629985570907593
react,nodejs,0.3682935833930969,0.338317334651947,-0.029976248741149902
spring,microservices,0.31339800357818604,0.33605220913887024,0.022654205560684204
claude,copilot,-0.00029407761758193374,0.3341318964958191,0.33442598581314087
selenium,playwright,0.15613806247711182,0.33155521750450134,0.17541715502738953
terraform,devops,0.28036418557167053,0.32724717259407043,0.0468829870223999
selenium,cypress,0.19651108980178833,0.3239681124687195,0.12745702266693115
langgraph,mcp,0.0,0.3231840431690216,0.3231840431690216
langchain,openai,0.12045283615589142,0.32283374667167664,0.20238091051578522
kotlin,swift,0.35015925765037537,0.3193189203739166,-0.03084033727645874
bash,ansible,0.3225895166397095,0.31821054220199585,-0.004378974437713623
sklearn,numpy,0.3219236433506012,0.3147019147872925,-0.007221728563308716
aws,terraform,0.2713533043861389,0.3141675889492035,0.042814284563064575
docker,cicd,0.23756112158298492,0.31069570779800415,0.07313458621501923
