,2024ar_junior,2024ar_senior,2024ar_unknown,2024as_junior,2024as_mid,2024as_senior,2024as_unknown,2026_junior,2026_mid,2026_senior,2026_unknown
2024ar_junior,1.0,0.97284687,0.9719077,0.97924495,0.9336029,0.96851724,0.97042227,0.97169065,0.95482934,0.94212174,0.95649374
2024ar_senior,0.97284687,0.9999999,0.98903275,0.9664961,0.94717276,0.986428,0.9808899,0.96268225,0.9667053,0.97501075,0.9757082
2024ar_unknown,0.9719077,0.98903275,0.99999994,0.9730848,0.95731115,0.9784841,0.98907536,0.96143484,0.96530855,0.96034855,0.9775361
2024as_junior,0.97924495,0.9664961,0.9730848,1.0,0.9629799,0.9789624,0.9863378,0.96693486,0.96110773,0.94481146,0.9611299
2024as_mid,0.9336029,0.94717276,0.95731115,0.9629799,0.9999999,0.9606226,0.9712225,0.9261986,0.94300264,0.9266076,0.9421629
2024as_senior,0.96851724,0.986428,0.9784841,0.9789624,0.9606226,1.0,0.9904009,0.9628379,0.9678701,0.9722431,0.97251946
2024as_unknown,0.97042227,0.9808899,0.98907536,0.9863378,0.9712225,0.9904009,0.99999976,0.96335614,0.97182095,0.9610181,0.9767861
2026_junior,0.97169065,0.96268225,0.96143484,0.96693486,0.9261986,0.9628379,0.96335614,1.0,0.97204065,0.9733708,0.9832901
2026_mid,0.95482934,0.9667053,0.96530855,0.96110773,0.94300264,0.9678701,0.97182095,0.97204065,0.9999999,0.9770217,0.98629767
2026_senior,0.94212174,0.97501075,0.96034855,0.94481146,0.9266076,0.9722431,0.9610181,0.9733708,0.9770217,1.0,0.99019885
2026_unknown,0.95649374,0.9757082,0.9775361,0.9611299,0.9421629,0.97251946,0.9767861,0.9832901,0.98629767,0.99019885,0.99999976
