cluster,cluster_name,company,n_ar,n_sc,d_entry_share_j2,d_ai_strict,d_mean_desc_length_cleaned,d_mean_tech_count,d_mean_org_scope_per_1k,d_mean_breadth_resid
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,Google,15,757,0.009247027741083224,0.0944958168207838,-849.8487010127697,1.3747247908410392,-0.3310145856880515,-3.2030609241932577
2,desc_contracting_tech_stacking_scope_expanding,JPMorgan Chase & Co.,12,657,-0.08333333333333333,0.1232876712328767,-889.0106544901065,1.429223744292237,0.024806459380329576,1.3321276168144114
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,Microsoft,19,386,0.0051813471502590676,0.3963730569948187,-1350.1731660758112,1.2863376056722124,-0.10799234459843118,-0.1622328433665461
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,Amazon Web Services (AWS),12,339,0.0029498525073746312,0.032448377581120944,-847.4498525073747,1.000737463126844,-0.4880330443699643,0.2317284167716207
2,desc_contracting_tech_stacking_scope_expanding,Amazon,31,335,-0.08127106403466539,0.07164179104477612,-479.0658642272508,1.039865190178142,-0.2640145707288517,0.46445812645416673
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,Booz Allen Hamilton,9,303,0.006600660066006601,-0.028602860286028597,-1163.3685368536853,3.2376237623762387,0.1181644991408524,3.7855416094404606
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,Wells Fargo,16,288,0.0,0.24305555555555555,-1211.7430555555557,0.9270833333333339,-0.27982621096277127,0.08889056175375565
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,Anduril Industries,4,255,0.00784313725490196,0.01568627450980392,-1335.8166666666666,-0.6950980392156865,-0.8822611672261529,0.3387097672886119
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,Leidos,13,245,-0.03956043956043957,0.11020408163265306,-1329.2065934065934,2.2910518053375197,-0.058056114474202045,1.6372499934689826
2,desc_contracting_tech_stacking_scope_expanding,Actalent,23,238,0.008403361344537815,0.02100840336134454,-684.3361344537816,1.5957252466203873,0.024942632292723393,1.8904679144748053
2,desc_contracting_tech_stacking_scope_expanding,Motion Recruitment,40,229,0.008733624454148471,0.16593886462882096,-502.49486899563317,2.479366812227074,-0.23568347413137503,2.23038862497416
2,desc_contracting_tech_stacking_scope_expanding,Capital One,52,223,0.0,0.25112107623318386,-650.2468954812005,1.0058640910658845,-0.013851284995280377,-2.558927383617288
2,desc_contracting_tech_stacking_scope_expanding,hackajob,10,216,0.018518518518518517,0.1388888888888889,-316.4675925925926,0.8962962962962955,-0.21791343796386475,0.83377034427042
2,desc_contracting_tech_stacking_scope_expanding,Uber,6,187,0.0213903743315508,0.058823529411764705,-845.3048128342245,1.7415329768270946,0.020912221518621238,2.0785166936434973
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,General Motors,14,182,-0.01648351648351648,0.04945054945054945,-1078.7747252747254,-1.8351648351648349,-0.48484877144968436,-1.609060809392204
2,desc_contracting_tech_stacking_scope_expanding,Apex Systems,52,173,-0.03268119164072922,0.13683859493108047,-918.8922854602046,2.3659404179635395,-0.058989093384550356,2.643084605896343
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,Qualcomm,5,164,0.006097560975609756,0.024390243902439025,-559.9926829268293,0.48170731707317094,-0.37977869547007137,-1.4016521096943195
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,TikTok,14,150,0.49523809523809526,0.04,-653.2476190476191,0.3952380952380956,-0.16710418053384118,0.34972617897663527
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,Tata Consultancy Services,39,131,-0.02564102564102564,0.19083969465648856,-412.89430416911335,3.6494421608925425,-0.20435619399853805,4.397931589402248
4,ai_moderate_desc_contracting_tech_consolidating_entry_ramping,"BAE Systems, Inc.",14,128,-0.047991071428571425,0.015625,-1567.4787946428573,-0.9542410714285712,0.053040561969318396,-0.9855273208410291
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,Adobe,9,127,-0.19072615923009623,0.14085739282589677,-705.5398075240596,4.923009623797026,-0.1775185971506496,3.7979566136625236
2,desc_contracting_tech_stacking_scope_expanding,Insight Global,25,121,-0.015206611570247934,0.10876033057851239,-708.5090909090909,0.9550413223140497,-0.07082339130479948,1.3337592552724507
2,desc_contracting_tech_stacking_scope_expanding,Capgemini,4,121,0.03305785123966942,0.18181818181818182,-481.55785123966945,-0.45454545454545503,0.1679119681112065,0.47761416127630985
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,Randstad Digital Americas,7,100,0.0,0.16,-1434.1085714285714,3.33,-0.3036622866012794,3.0517638455871263
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,BLUE ORIGIN,7,86,0.023255813953488372,0.046511627906976744,-1397.518272425249,2.750830564784053,-0.33818772372452954,3.5625918817614193
0,ai_moderate_desc_contracting_entry_dropping,Boeing,8,84,-0.2916666666666667,0.011904761904761904,-1582.7738095238096,2.488095238095238,0.07482197684827685,-0.2734749160629395
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,CACI International Inc,10,82,-0.026829268292682937,0.13414634146341464,-1064.7878048780487,2.8634146341463413,0.10656405961181002,3.6423478276365118
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,General Dynamics Information Technology,3,73,0.0410958904109589,0.0821917808219178,-1286.6575342465753,5.744292237442924,0.006992664694735223,4.575385154253049
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,The Walt Disney Company,5,67,0.04477611940298507,0.22388059701492538,-870.0776119402984,4.188059701492537,-0.032693869780057644,4.834925652230008
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,Visa,5,67,0.029850746268656716,0.23880597014925373,-1688.1820895522387,6.080597014925373,-0.21279841735984428,2.3869840703345258
3,ai_moderate_desc_contracting_tech_stacking_scope_expanding,Esri,3,66,0.030303030303030304,0.045454545454545456,-624.7878787878788,4.818181818181818,0.06698005306749129,5.321533882484242
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,Deloitte,22,59,-0.045454545454545456,0.3220338983050847,-954.8875192604005,4.909861325115563,0.11797511842663902,5.966833136796387
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,ICE,26,51,-0.018099547511312222,0.29411764705882354,-876.2843137254902,1.791101055806938,-0.08063843912721298,1.8790294880167013
0,ai_moderate_desc_contracting_entry_dropping,Dexian,7,38,-0.14285714285714285,0.15789473684210525,-1203.0375939849623,-0.41353383458646675,0.0006197354303932728,0.34491408776668697
0,ai_moderate_desc_contracting_entry_dropping,Docusign,3,30,-0.3,0.2,-1075.4666666666667,-1.4333333333333336,0.17600906958153703,-0.6381721746571571
0,ai_moderate_desc_contracting_entry_dropping,Intel,4,29,-0.43103448275862066,0.034482758620689655,-1387.655172413793,-6.801724137931035,-0.027782483642603176,-11.227309758689731
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,Pinterest,3,27,0.0,0.4444444444444444,-836.1111111111112,1.8148148148148149,-0.055473266313557035,3.4881669452863875
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,ConsultNet Technology Services and Solutions,3,26,0.038461538461538464,0.23076923076923078,-146.01282051282044,8.076923076923077,0.22697998757164037,2.3432744414211317
0,ai_moderate_desc_contracting_entry_dropping,INSPYR Solutions,4,21,-0.5,0.23809523809523808,-1124.095238095238,-1.7380952380952381,0.22353837696676923,-2.187560912130734
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,VDart,7,21,0.0,0.3333333333333333,-931.1428571428571,3.238095238095238,0.07675908339901504,4.889033684753489
0,ai_moderate_desc_contracting_entry_dropping,Tesla,4,20,-0.4,0.1,-987.4,2.45,-0.285980254291066,2.2511797620352616
0,ai_moderate_desc_contracting_entry_dropping,General Atomics,3,20,-0.3333333333333333,0.0,-748.6833333333333,1.4,-0.12497541268964253,-0.6842786427252383
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,Unisys,3,19,0.05263157894736842,0.42105263157894735,-1060.4561403508774,2.035087719298245,-0.1064333505966318,2.3379549320736612
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,UST,6,19,0.05263157894736842,0.3157894736842105,-805.0087719298247,0.7719298245614032,-0.15180538447535008,2.249169962063562
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,Innova Solutions,3,18,0.0,0.3888888888888889,-485.6666666666667,2.5,-0.0706442765833587,2.052602428359117
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,American Express,6,18,0.0,0.5,-915.1111111111111,6.222222222222222,-0.29187825998319417,5.391535178822318
0,ai_moderate_desc_contracting_entry_dropping,Russell Tobin,5,17,-0.2,0.11764705882352941,-721.2941176470588,0.41176470588235325,-0.059590679363785024,1.1863471649892396
0,ai_moderate_desc_contracting_entry_dropping,Viasat,4,17,-0.4411764705882353,0.11764705882352941,-1225.9411764705883,-3.2794117647058822,-0.11586707192154624,-4.219564309084054
1,ai_forward_desc_contracting_tech_stacking_scope_expanding,Franklin Fitch,7,16,0.0,0.25,-329.88392857142856,2.544642857142857,-0.17426553038797937,3.0660481772830237
0,ai_moderate_desc_contracting_entry_dropping,eBay,4,16,-0.25,0.125,-1247.6875,0.5,-0.2643627426468327,0.5259869094028463
