metro_area,n_A,entry_j1_A,entry_j2_A,entry_j3_A,ai_strict_A,ai_broad_A,org_scope_per_1k_A,median_desc_length_A,median_tech_count_A,mean_tech_count_A,agg_rate_A,specialist_rate_A,period_A,n_B,entry_j1_B,entry_j2_B,entry_j3_B,ai_strict_B,ai_broad_B,org_scope_per_1k_B,median_desc_length_B,median_tech_count_B,mean_tech_count_B,agg_rate_B,specialist_rate_B,period_B,d_n,d_entry_j1,d_entry_j2,d_entry_j3,d_ai_strict,d_ai_broad,d_org_scope_per_1k,d_median_desc_length,d_mean_tech_count,d_agg_rate,d_specialist_rate
Atlanta Metro,581,0.01549053356282272,0.0189328743545611,0.07056798623063683,0.0051635111876075735,0.08605851979345955,0.2176692532291153,2975.0,5.0,5.9311531841652325,0.12736660929432014,0.055077452667814115,pooled_2024,1087,0.020239190432382703,0.022999080036798528,0.08463661453541858,0.19135234590616376,0.45722171113155474,0.11804424234589424,3960.0,8.0,8.133394664213432,0.23459061637534498,0.05887764489420423,scraped_2026,506,0.0047486568695599835,0.004066205682237426,0.014068628304781755,0.18618883471855618,0.37116319133809517,-0.09962501088322105,985.0,2.2022414800481993,0.10722400708102484,0.003800192226390116
Austin Metro,358,0.01675977653631285,0.019553072625698324,0.1005586592178771,0.013966480446927373,0.164804469273743,0.24133507202364662,3445.0,5.0,5.069832402234637,0.036312849162011177,0.0782122905027933,pooled_2024,1129,0.030115146147032774,0.03188662533215235,0.09477413640389726,0.14348981399468555,0.5367581930912312,0.13016135818423727,4390.0,6.0,6.928255093002657,0.17980513728963685,0.08237378210806023,scraped_2026,771,0.013355369610719925,0.012333552706454025,-0.005784522813979842,0.1295233335477582,0.37195372381748815,-0.11117371383940935,945.0,1.8584226907680206,0.14349228812762566,0.004161491605266937
Boston Metro,859,0.008149010477299184,0.008149010477299184,0.0779976717112922,0.006984866123399301,0.16414435389988358,0.22062702878417653,3677.0,4.0,4.917345750873109,0.1420256111757858,0.05238649592549476,pooled_2024,1541,0.03698896820246593,0.03763789746917586,0.10317975340687865,0.14471122647631407,0.48020765736534715,0.12627891446621323,4606.0,6.0,6.767683322517845,0.1745619727449708,0.06489292667099286,scraped_2026,682,0.028839957725166745,0.029488886991876677,0.02518208169558646,0.13772636035291477,0.3160633034654636,-0.0943481143179633,929.0,1.8503375716447366,0.03253636156918499,0.0125064307454981
Charlotte Metro,305,0.01639344262295082,0.01639344262295082,0.08524590163934426,0.0,0.05573770491803279,0.18888845069650192,2644.0,5.0,5.360655737704918,0.1737704918032787,0.013114754098360656,pooled_2024,1061,0.012252591894439209,0.013195098963242224,0.08576814326107446,0.17153628652214892,0.42695570216776624,0.10019402160410516,3505.0,7.0,7.72196041470311,0.4222431668237512,0.01413760603204524,scraped_2026,756,-0.004140850728511612,-0.003198343659708596,0.0005222416217302017,0.17153628652214892,0.3712179972497335,-0.08869442909239676,861.0,2.3613046769981922,0.2484726750204725,0.0010228519336845845
Chicago Metro,728,0.012362637362637362,0.013736263736263736,0.07142857142857142,0.004120879120879121,0.1043956043956044,0.1949161621169814,3647.5,6.0,6.21978021978022,0.15934065934065933,0.034340659340659344,pooled_2024,1032,0.035852713178294575,0.03682170542635659,0.0872093023255814,0.13275193798449614,0.40794573643410853,0.12519239584970115,4361.5,7.0,7.396317829457364,0.2063953488372093,0.04941860465116279,scraped_2026,304,0.023490075815657215,0.023085441690092856,0.015780730897009973,0.128631058863617,0.3035501320385041,-0.06972376626728025,714.0,1.176537609677144,0.04705468949654998,0.015077945310503445
Columbus Metro,140,0.04285714285714286,0.05,0.06428571428571428,0.007142857142857143,0.1,0.09926967921843416,3361.0,5.0,5.642857142857143,0.12142857142857143,0.007142857142857143,pooled_2024,507,0.03747534516765286,0.03944773175542406,0.10848126232741617,0.11045364891518737,0.4358974358974359,0.09896892910492085,4334.0,6.0,6.8619329388560155,0.3076923076923077,0.04142011834319527,scraped_2026,367,-0.0053817976894900005,-0.01055226824457594,0.04419554804170189,0.10331079177233023,0.3358974358974359,-0.00030075011351331227,973.0,1.2190757959988723,0.18626373626373627,0.034277261200338124
Dallas-Fort Worth Metro,851,0.021151586368977675,0.022326674500587545,0.08108108108108109,0.011750881316098707,0.14688601645123384,0.20129933315700183,2823.0,6.0,6.198589894242068,0.13748531139835488,0.04230317273795535,pooled_2024,2058,0.014577259475218658,0.017978620019436346,0.06316812439261418,0.17638483965014579,0.41788143828960156,0.10858933065952328,3843.5,8.0,8.601554907677357,0.2852283770651118,0.025267249757045675,scraped_2026,1207,-0.006574326893759017,-0.004348054481151199,-0.017912956688466902,0.1646339583340471,0.2709954218383677,-0.09271000249747854,1020.5,2.4029650134352893,0.1477430656667569,-0.017035922980909675
Denver Metro,557,0.012567324955116697,0.01436265709156194,0.07001795332136446,0.0017953321364452424,0.10053859964093358,0.20952277110025058,4670.0,4.0,5.479353680430879,0.16337522441651706,0.012567324955116697,pooled_2024,741,0.02834008097165992,0.029689608636977057,0.11605937921727395,0.06747638326585695,0.3427800269905533,0.11130711419991908,5138.0,5.0,6.348178137651822,0.19298245614035087,0.08232118758434548,scraped_2026,184,0.015772756016543224,0.015326951545415118,0.046041425895909496,0.06568105112941171,0.24224142734961973,-0.0982156569003315,468.0,0.8688244572209429,0.02960723172383381,0.06975386262922878
Detroit Metro,360,0.008333333333333333,0.008333333333333333,0.1388888888888889,0.002777777777777778,0.1111111111111111,0.1603928044280489,3223.5,2.0,3.566666666666667,0.06111111111111111,0.07222222222222222,pooled_2024,622,0.022508038585209004,0.022508038585209004,0.09646302250803858,0.08038585209003216,0.342443729903537,0.08802357187576866,4628.5,5.0,5.863344051446945,0.19614147909967847,0.0932475884244373,scraped_2026,262,0.01417470525187567,0.01417470525187567,-0.042425866380850316,0.07760807431225437,0.2313326187924259,-0.07236923255228024,1405.0,2.296677384780278,0.13503036798856735,0.02102536620221508
Houston Metro,233,0.030042918454935622,0.034334763948497854,0.12875536480686695,0.012875536480686695,0.09012875536480687,0.18835186795445535,2629.0,3.0,4.253218884120171,0.11158798283261803,0.07725321888412018,pooled_2024,526,0.02091254752851711,0.02091254752851711,0.06273764258555133,0.11406844106463879,0.39543726235741444,0.10634301010706394,3689.0,6.0,6.891634980988593,0.2737642585551331,0.057034220532319393,scraped_2026,293,-0.009130370926418514,-0.013422216419980745,-0.06601772222131562,0.1011929045839521,0.3053085069926076,-0.08200885784739141,1060.0,2.638416096868422,0.16217627572251506,-0.020218998351800785
