group,period,share_role_summary,share_responsibilities,share_requirements,share_preferred,share_benefits,share_about_company,share_legal,share_unclassified,chars_role_summary,chars_responsibilities,chars_requirements,chars_preferred,chars_benefits,chars_about_company,chars_legal,chars_unclassified,total_chars
SWE,2024-01,0.10666649392560155,0.14662714822953596,0.37412604086143125,0.04170430124055157,0.10206030276886414,0.036236228472910706,0.06210594705653145,0.13047353744457332,414.088,554.5183333333333,1399.2993333333334,152.25866666666667,484.51033333333334,161.613,300.6526666666667,406.873,3873.8133333333335
SWE,2024-04,0.11893365901123172,0.18519324120400632,0.29726732205113515,0.046484122637577924,0.10001822058419055,0.03626118088714388,0.051536588089344915,0.16430566553536954,374.1136666666667,626.017,875.9773333333334,141.03733333333332,430.9096666666667,131.16333333333333,253.22966666666667,407.5013333333333,3239.9493333333335
SWE,2026-03,0.11656102438995011,0.2015388259331313,0.22530254847368564,0.07041103597338318,0.15631265098272254,0.0408956640285349,0.07047854519824415,0.11849970502034815,540.736,969.817,1020.027,365.174,875.4573333333333,229.67466666666667,405.946,481.121,4887.953
SWE,2026-04,0.11180615594197169,0.20314935539517617,0.23186543858499575,0.0702967581461077,0.14800913151698514,0.039053613893949075,0.06196917736129803,0.13385036915951645,515.6293333333333,957.6576666666666,1010.5866666666667,344.637,819.44,208.178,350.13033333333334,487.0763333333333,4693.335333333333
adjacent,2024-01,0.09663581936638388,0.17704852812172991,0.38699598722838807,0.0368606823211652,0.09433152911701634,0.031526050314037976,0.06061283664433291,0.1159885668869457,375.77933333333334,701.697,1497.39,145.594,439.7393333333333,134.88966666666667,294.54833333333335,364.00233333333335,3953.64
adjacent,2024-04,0.12579833853725617,0.21525069772794042,0.28613376872318363,0.04647770161867758,0.0867593178261147,0.02998509607337798,0.04894316925421007,0.1606519102392394,440.81385642737894,802.5070951585976,977.1523372287145,156.6882303839733,408.8272120200334,134.23372287145241,252.65108514190317,447.14357262103505,3620.0171118530884
adjacent,2026-03,0.11033336495827074,0.22455024898411535,0.2320544491661265,0.06714450912247304,0.13978277365528732,0.03243817927717919,0.06629497749109474,0.12740149734545309,535.772,1117.3703333333333,1097.5223333333333,355.93333333333334,819.7266666666667,185.47933333333333,393.5366666666667,531.0123333333333,5036.353
adjacent,2026-04,0.11201409616333113,0.23070372944971157,0.23517212908254692,0.07040168235484531,0.13313157478325088,0.028282198538411477,0.06242036301291779,0.1278742266149849,550.2713333333334,1145.5733333333333,1096.1953333333333,358.5296666666667,766.7983333333333,158.55833333333334,359.06666666666666,508.83933333333334,4943.832333333334
control,2024-01,0.12095767782406933,0.15998347253901424,0.22890516767599298,0.02144123180200255,0.22950806409679383,0.029441483706433756,0.05363054438256863,0.1561323579731247,453.25233333333335,640.108,865.3123333333333,72.57433333333333,861.5456666666666,117.87433333333334,226.998,455.56966666666665,3693.2346666666667
control,2024-04,0.11533024638615408,0.1881355995882495,0.21433306340058045,0.02939027944674541,0.18085645797196617,0.038263767125185116,0.04923770556043387,0.1844528805206854,368.933,699.4796666666666,676.8176666666667,87.407,583.4013333333334,120.20866666666667,189.88233333333332,467.08633333333336,3193.216
control,2026-03,0.11409948642840152,0.19030505205737594,0.2278784961207177,0.031038752884136822,0.20470674218191967,0.043867922950515746,0.06663722368028342,0.12146632369664917,561.5506666666666,919.9493333333334,960.0303333333334,151.09066666666666,884.2586666666666,158.18533333333335,342.201,458.6193333333333,4435.885333333334
control,2026-04,0.10996734299519927,0.19013724145427652,0.2332182130344288,0.028743424259528805,0.21456005316624002,0.0460069915952771,0.06020931053495175,0.11715742296009779,504.6646666666667,873.04,924.2943333333334,143.738,905.8936666666667,163.06833333333333,309.5806666666667,415.8453333333333,4240.125
