archetype,period,boundary,n_pos,n_neg,auc_mean,auc_std,status
generic_software_engineer,2024,associate_vs_entry,115,10,,,insufficient_n
generic_software_engineer,2024,mid-senior_vs_associate,10,650,,,insufficient_n
generic_software_engineer,2024,director_vs_mid-senior,650,15,,,insufficient_n
generic_software_engineer,2026,associate_vs_entry,145,20,0.5327586206896553,0.06273588068503533,ok
generic_software_engineer,2026,mid-senior_vs_associate,20,279,0.8036688311688313,0.0846732829807235,ok
generic_software_engineer,2026,director_vs_mid-senior,279,12,,,insufficient_n
ai_ml_engineering,2024,associate_vs_entry,16,1,,,insufficient_n
ai_ml_engineering,2024,mid-senior_vs_associate,1,119,,,insufficient_n
ai_ml_engineering,2024,director_vs_mid-senior,119,2,,,insufficient_n
ai_ml_engineering,2026,associate_vs_entry,96,4,,,insufficient_n
ai_ml_engineering,2026,mid-senior_vs_associate,4,246,,,insufficient_n
ai_ml_engineering,2026,director_vs_mid-senior,246,24,0.7314897959183675,0.1716449023753795,ok
frontend_react,2024,associate_vs_entry,22,1,,,insufficient_n
frontend_react,2024,mid-senior_vs_associate,1,256,,,insufficient_n
frontend_react,2024,director_vs_mid-senior,256,3,,,insufficient_n
frontend_react,2026,associate_vs_entry,48,2,,,insufficient_n
frontend_react,2026,mid-senior_vs_associate,2,91,,,insufficient_n
frontend_react,2026,director_vs_mid-senior,91,7,,,insufficient_n
java_spring_backend,2024,associate_vs_entry,36,4,,,insufficient_n
java_spring_backend,2024,mid-senior_vs_associate,4,226,,,insufficient_n
java_spring_backend,2024,director_vs_mid-senior,226,3,,,insufficient_n
java_spring_backend,2026,associate_vs_entry,18,6,,,insufficient_n
java_spring_backend,2026,mid-senior_vs_associate,6,62,,,insufficient_n
java_spring_backend,2026,director_vs_mid-senior,62,17,,,insufficient_n
systems_engineering,2024,associate_vs_entry,14,4,,,insufficient_n
systems_engineering,2024,mid-senior_vs_associate,4,289,,,insufficient_n
systems_engineering,2024,director_vs_mid-senior,289,36,0.6511062138103881,0.09985230680396066,ok
systems_engineering,2026,associate_vs_entry,10,0,,,insufficient_n
systems_engineering,2026,mid-senior_vs_associate,0,36,,,insufficient_n
systems_engineering,2026,director_vs_mid-senior,36,1,,,insufficient_n
