period,seniority,n,mentor_binary_share,mentor_density_mean,mgmt_binary_share,mgmt_density_mean,subset
2024,entry,375,0.07466666666666667,0.0505603949125231,0.07466666666666667,0.0505603949125231,all
2024,associate,39,0.1282051282051282,0.07876363779172657,0.1282051282051282,0.07876363779172657,all
2024,mid-senior,12724,0.18783401446086137,0.1416967120424867,0.19812951901917636,0.15269812543498987,all
2024,director,99,0.21212121212121213,0.17003139010885618,0.21212121212121213,0.17003139010885618,all
2026,entry,601,0.07986688851913477,0.06438351867868566,0.09151414309484193,0.07110805274347859,all
2026,associate,51,0.0784313725490196,0.04883995503353306,0.11764705882352941,0.0712199724406892,all
2026,mid-senior,6052,0.3241903502974223,0.23123716099648906,0.33740912095175146,0.24356746971762064,all
2026,director,112,0.2767857142857143,0.15789998483320306,0.30357142857142855,0.16854274927816432,all
2024,entry,174,0.05747126436781609,0.03404178483156192,0.05747126436781609,0.03404178483156192,arshkon_only_2024
2024,associate,15,0.2,0.1274154642786456,0.2,0.1274154642786456,arshkon_only_2024
2024,mid-senior,2053,0.20944958597174865,0.15814993297380722,0.2201656113005358,0.17401294198107847,arshkon_only_2024
2024,director,13,0.38461538461538464,0.16202367969614187,0.38461538461538464,0.16202367969614187,arshkon_only_2024
