metric,metric_type,arshkon_value,asaniczka_value,scraped_value,within_2024_effect,within_2024_sd,cross_period_effect,cross_period_sd,calibration_ratio,snr_flag,notes
description_length_mean,continuous,3305.6419,3881.4462,4893.3544,0.2753,2091.8539,0.4969,2274.5811,1.805,near_noise,Cohen's d; mean reported
description_length_median,continuous,2974.0,3733.0,4842.0,0.2753,2091.8539,0.4969,2274.5811,1.805,near_noise,Median reported; Cohen's d (on underlying values)
yoe_min_years_llm_median,continuous,5.0,5.0,5.0,0.1851,3.0692,0.1993,2.9698,1.077,near_noise,Median reported; Cohen's d (on underlying values)
yoe_extracted_median,continuous,5.0,5.0,5.0,0.1855,3.1052,0.2245,2.887,1.21,near_noise,Median reported; Cohen's d (on underlying values)
tech_count_per_posting_mean,continuous,5.6621,5.3391,7.4649,0.0687,4.7031,0.3982,5.1716,5.798,above_noise,Cohen's d; mean reported
j3_yoe_le_2_share,proportion,0.13,0.0825,0.1419,0.0475,0.0062,0.0504,0.0032,1.062,near_noise,J3 YOE≤2 among labeled; denominator = labeled rows
j1_entry_share,proportion,0.0377,0.0131,0.0364,0.0246,0.0029,0.0182,0.0012,0.741,below_noise,seniority_final == 'entry'
j2_entry_or_associate_share,proportion,0.0409,0.0153,0.0391,0.0257,0.003,0.0185,0.0013,0.722,below_noise,seniority_final in entry/associate
s4_yoe_ge_5_share,proportion,0.6503,0.7212,0.6318,0.0709,0.0089,0.0759,0.0048,1.071,near_noise,S4 YOE≥5 among labeled
s1_midsen_or_director_share,proportion,0.433,0.6417,0.442,0.2088,0.0081,0.1569,0.004,0.751,below_noise,seniority_final in mid-senior/director
aggregator_share,proportion,0.0917,0.1623,0.1701,0.0707,0.005,0.0223,0.0029,0.315,below_noise,is_aggregator
ai_mention_strict,proportion,0.0139,0.0098,0.1436,0.004,0.0019,0.1329,0.0018,32.918,above_noise,"regex strict AI (copilot, cursor, claude, ...)"
ai_mention_broad,proportion,0.165,0.151,0.5099,0.014,0.006,0.356,0.0033,25.388,above_noise,AI strict OR (agent|ml|ai|llm|artificial intelligence|mcp)
mgmt_strict,proportion,0.2136,0.252,0.3238,0.0384,0.0068,0.0797,0.0036,2.074,above_noise,mentor|coach|hire|headcount|performance review|direct reports
mgmt_broad,proportion,0.7968,0.8589,0.8738,0.0621,0.0064,0.0277,0.0029,0.446,below_noise,mgmt strict OR (lead|team|stakeholder|coordinate|manage)
soft_skill_density,proportion,0.634,0.6714,0.7315,0.0374,0.0079,0.0678,0.0038,1.814,near_noise,collaborative|communication|teamwork|problem-solving|interpersonal|leadership
scope_term_rate,proportion,0.3281,0.3232,0.5337,0.0049,0.0077,0.2095,0.0039,42.827,above_noise,ownership|end-to-end|cross-functional|autonomous|initiative|stakeholder
edu_phd_mentioned,proportion,0.0347,0.0713,0.0712,0.0366,0.0033,0.0074,0.002,0.203,below_noise,PhD / doctorate mention
edu_ms_mentioned,proportion,0.1315,0.2193,0.2042,0.0877,0.0058,0.0029,0.0033,0.033,below_noise,Master's / MS mention
edu_bs_mentioned_floor,proportion,0.3756,0.5231,0.4764,0.1475,0.008,0.0164,0.0041,0.111,below_noise,Bachelor's / BS mention
distinct_techs_per_posting_mean,count,5.6621,5.3391,7.4649,0.323,4.7031,2.0594,5.1716,6.376,above_noise,sum over tech matrix
soft_skill_term_count_mean,count,1.5719,1.6353,1.9272,0.0633,1.7906,0.3049,1.8817,4.814,above_noise,count of soft-skill terms per posting
