source,is_aggregator,seniority_native,n_native,final_matches_native_n,final_matches_native_share
kaggle_arshkon,True,associate,5,0,0.0
kaggle_arshkon,True,director,0,0,
kaggle_arshkon,True,entry,30,7,0.23333333333333334
kaggle_arshkon,True,mid-senior,130,128,0.9846153846153847
kaggle_arshkon,False,associate,74,4,0.05405405405405406
kaggle_arshkon,False,director,22,6,0.2727272727272727
kaggle_arshkon,False,entry,110,66,0.6
kaggle_arshkon,False,mid-senior,1272,1241,0.97562893081761
scraped,True,associate,87,0,0.0
scraped,True,director,12,5,0.4166666666666667
scraped,True,entry,309,214,0.6925566343042071
scraped,True,mid-senior,2267,2236,0.9863255403617115
scraped,False,associate,378,23,0.06084656084656084
scraped,False,director,273,60,0.21978021978021978
scraped,False,entry,1274,1071,0.8406593406593407
scraped,False,mid-senior,13708,13405,0.9778961190545666
