boundary_class,source,total,swe_share,adj_share,ctrl_share
AI Engineer,kaggle_arshkon,56,0.6607142857142857,0.07142857142857142,0.0
AI Engineer,kaggle_asaniczka,66,0.6060606060606061,0.045454545454545456,0.0
AI Engineer,scraped,1928,0.8656639004149378,0.02437759336099585,0.0
Data Engineer,kaggle_arshkon,369,0.9159891598915989,0.03523035230352303,0.0
Data Engineer,kaggle_asaniczka,1076,0.8968401486988847,0.05111524163568773,0.0
Data Engineer,scraped,3609,0.9592684954280964,0.01884178442781934,0.0
DevOps/SRE/Platform,kaggle_arshkon,397,0.9370277078085643,0.017632241813602016,0.0
DevOps/SRE/Platform,kaggle_asaniczka,986,0.9462474645030426,0.014198782961460446,0.0
DevOps/SRE/Platform,scraped,3647,0.964080065807513,0.009048533040855497,0.0
ML Engineer,kaggle_arshkon,142,0.7816901408450704,0.02112676056338028,0.0
ML Engineer,kaggle_asaniczka,437,0.585812356979405,0.09382151029748284,0.0
ML Engineer,scraped,2568,0.8095794392523364,0.050623052959501556,0.0011682242990654205
Other,kaggle_arshkon,109396,0.035037844162492233,0.02165527075944276,0.07874145306958207
Other,kaggle_asaniczka,844961,0.01885885857453776,0.011014709554642167,0.12466965930971963
Other,scraped,269054,0.1285652694254685,0.04687534844306347,0.17308421357794346
