aggregator_mode,min_title_count,source_a,source_b,n_titles_a,n_titles_b,jaccard,intersection,union
all,1,kaggle_arshkon,kaggle_asaniczka,2162,7577,0.04833153928955867,449,9290
all,1,kaggle_arshkon,scraped,2162,19851,0.02462297523738596,529,21484
all,1,kaggle_asaniczka,scraped,7577,19851,0.03603535544307623,954,26474
all,3,kaggle_arshkon,kaggle_asaniczka,177,641,0.21185185185185185,143,675
all,3,kaggle_arshkon,scraped,177,1471,0.08994708994708994,136,1512
all,3,kaggle_asaniczka,scraped,641,1471,0.16749585406301823,303,1809
non_aggregator,1,kaggle_arshkon,kaggle_asaniczka,2017,6609,0.050797904738701424,417,8209
non_aggregator,1,kaggle_arshkon,scraped,2017,17324,0.02583006258618861,487,18854
non_aggregator,1,kaggle_asaniczka,scraped,6609,17324,0.037362923150275236,862,23071
non_aggregator,3,kaggle_arshkon,kaggle_asaniczka,166,514,0.2454212454212454,134,546
non_aggregator,3,kaggle_arshkon,scraped,166,1206,0.10200803212851406,127,1245
non_aggregator,3,kaggle_asaniczka,scraped,514,1206,0.18457300275482094,268,1452
