company_name_canonical,n_swe,n_j1,n_j2,n_llm,n_j3,n_j4,j1_share,j2_share,j3_share,j4_share,is_aggregator_any,specialist_category
Amazon,549,28,28,367,41,247,0.051001821493624776,0.051001821493624776,0.11171662125340599,0.6730245231607629,False,tech-giant-intern
Amazon Web Services (AWS),485,0,4,327,20,209,0.0,0.008247422680412371,0.06116207951070336,0.6391437308868502,False,tech-giant-intern
TikTok,176,107,107,22,6,12,0.6079545454545454,0.6079545454545454,0.2727272727272727,0.5454545454545454,False,direct-employer
PNC,135,2,3,75,9,50,0.014814814814814815,0.022222222222222223,0.12,0.6666666666666666,False,direct-employer
TikTok USDS Joint Venture,126,8,8,46,18,37,0.06349206349206349,0.06349206349206349,0.391304347826087,0.8043478260869565,False,direct-employer
Discover Financial Services,96,0,3,96,12,70,0.0,0.03125,0.125,0.7291666666666666,False,direct-employer
Jack & Jill,69,0,0,17,6,12,0.0,0.0,0.35294117647058826,0.7058823529411765,False,direct-employer
Bowman Williams,56,0,0,16,1,11,0.0,0.0,0.0625,0.6875,False,direct-employer
Stealth Startup,49,2,2,23,8,15,0.04081632653061224,0.04081632653061224,0.34782608695652173,0.6521739130434783,False,direct-employer
Applied Intuition,47,1,1,31,8,21,0.02127659574468085,0.02127659574468085,0.25806451612903225,0.6774193548387096,False,direct-employer
KLA,46,7,7,31,19,27,0.15217391304347827,0.15217391304347827,0.6129032258064516,0.8709677419354839,False,direct-employer
Goliath Partners,44,0,0,5,0,4,0.0,0.0,0.0,0.8,False,direct-employer
Turing,42,2,2,22,0,20,0.047619047619047616,0.047619047619047616,0.0,0.9090909090909091,True,aggregator
Intel,39,5,5,21,9,14,0.1282051282051282,0.1282051282051282,0.42857142857142855,0.6666666666666666,False,tech-giant-intern
General Atomics Aeronautical Systems,33,1,2,13,8,8,0.030303030303030304,0.06060606060606061,0.6153846153846154,0.6153846153846154,False,direct-employer
CrowdDoing,33,0,0,3,2,2,0.0,0.0,0.6666666666666666,0.6666666666666666,False,direct-employer
Torc Robotics,33,2,2,21,8,15,0.06060606060606061,0.06060606060606061,0.38095238095238093,0.7142857142857143,False,direct-employer
FieldAI,28,3,3,8,3,7,0.10714285714285714,0.10714285714285714,0.375,0.875,False,direct-employer
Ramp,26,5,5,14,6,10,0.19230769230769232,0.19230769230769232,0.42857142857142855,0.7142857142857143,False,direct-employer
DRW,25,0,0,14,6,10,0.0,0.0,0.42857142857142855,0.7142857142857143,False,direct-employer
Prudential Financial,25,1,1,3,1,2,0.04,0.04,0.3333333333333333,0.6666666666666666,False,direct-employer
SynergisticIT,25,25,25,0,0,0,1.0,1.0,,,False,direct-employer
Marvell Technology,24,3,3,9,4,6,0.125,0.125,0.4444444444444444,0.6666666666666666,False,direct-employer
SGS Consulting,22,0,0,8,2,6,0.0,0.0,0.25,0.75,False,staffing
WayUp,21,20,20,4,4,4,0.9523809523809523,0.9523809523809523,1.0,1.0,False,direct-employer
Air Apps,21,0,0,12,0,9,0.0,0.0,0.0,0.75,False,direct-employer
AaraTechnologies Inc,21,10,10,10,10,10,0.47619047619047616,0.47619047619047616,1.0,1.0,True,aggregator
Tech Consulting,20,9,9,9,7,9,0.45,0.45,0.7777777777777778,1.0,False,staffing
FanDuel,20,0,0,8,2,6,0.0,0.0,0.25,0.75,False,direct-employer
Waystar,19,1,1,12,4,9,0.05263157894736842,0.05263157894736842,0.3333333333333333,0.75,False,direct-employer
VolunteerMatch,18,2,2,3,3,3,0.1111111111111111,0.1111111111111111,1.0,1.0,False,direct-employer
Innovation Works,18,4,4,10,3,7,0.2222222222222222,0.2222222222222222,0.3,0.7,False,direct-employer
BeaconFire Inc.,18,4,4,7,5,5,0.2222222222222222,0.2222222222222222,0.7142857142857143,0.7142857142857143,False,direct-employer
Steampunk,18,0,0,9,1,6,0.0,0.0,0.1111111111111111,0.6666666666666666,False,direct-employer
Forward,18,1,1,7,4,6,0.05555555555555555,0.05555555555555555,0.5714285714285714,0.8571428571428571,False,direct-employer
Rise Technical,18,2,2,1,1,1,0.1111111111111111,0.1111111111111111,1.0,1.0,False,direct-employer
Delta Electronics Americas,18,0,0,12,2,8,0.0,0.0,0.16666666666666666,0.6666666666666666,False,direct-employer
Prime Video & Amazon MGM Studios,17,0,0,11,1,9,0.0,0.0,0.09090909090909091,0.8181818181818182,False,tech-giant-intern
Foxconn Industrial Internet - FII,17,1,1,9,7,9,0.058823529411764705,0.058823529411764705,0.7777777777777778,1.0,False,direct-employer
Overland AI,17,0,0,6,4,4,0.0,0.0,0.6666666666666666,0.6666666666666666,False,direct-employer
Peraton Labs,17,0,0,9,3,7,0.0,0.0,0.3333333333333333,0.7777777777777778,False,direct-employer
Radley James,17,3,3,6,2,5,0.17647058823529413,0.17647058823529413,0.3333333333333333,0.8333333333333334,False,direct-employer
Glean,16,1,1,7,2,5,0.0625,0.0625,0.2857142857142857,0.7142857142857143,False,direct-employer
Molex,15,0,0,7,1,5,0.0,0.0,0.14285714285714285,0.7142857142857143,False,direct-employer
Revature,15,5,5,6,3,4,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,True,aggregator
Twitch,15,1,1,7,4,6,0.06666666666666667,0.06666666666666667,0.5714285714285714,0.8571428571428571,False,direct-employer
SkyWater Search Partners,14,1,1,6,1,4,0.07142857142857142,0.07142857142857142,0.16666666666666666,0.6666666666666666,False,direct-employer
Mastercard,13,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
City of New York,13,1,1,11,6,7,0.07692307692307693,0.07692307692307693,0.5454545454545454,0.6363636363636364,False,direct-employer
24-MAG,13,0,0,3,2,3,0.0,0.0,0.6666666666666666,1.0,False,direct-employer
Delta Air Lines,13,0,0,8,3,5,0.0,0.0,0.375,0.625,False,direct-employer
ImpetusIT,13,0,0,8,8,8,0.0,0.0,1.0,1.0,False,direct-employer
Benchling,13,3,3,6,3,4,0.23076923076923078,0.23076923076923078,0.5,0.6666666666666666,False,direct-employer
Ring,13,0,0,9,1,7,0.0,0.0,0.1111111111111111,0.7777777777777778,False,direct-employer
LangChain,13,0,0,2,0,2,0.0,0.0,0.0,1.0,False,direct-employer
Hopper,13,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
Sam's Club,12,0,0,8,5,6,0.0,0.0,0.625,0.75,False,direct-employer
Global Payments Inc.,12,0,1,7,4,6,0.0,0.08333333333333333,0.5714285714285714,0.8571428571428571,False,direct-employer
Skyrocket Ventures,12,0,0,1,1,1,0.0,0.0,1.0,1.0,False,direct-employer
Avride,12,0,0,4,0,4,0.0,0.0,0.0,1.0,False,direct-employer
RTX,12,0,0,7,4,5,0.0,0.0,0.5714285714285714,0.7142857142857143,False,direct-employer
AARATECH,12,1,1,6,5,6,0.08333333333333333,0.08333333333333333,0.8333333333333334,1.0,False,direct-employer
Lawrence Livermore National Laboratory,12,0,0,1,1,1,0.0,0.0,1.0,1.0,False,direct-employer
MeeBoss,11,1,1,3,1,2,0.09090909090909091,0.09090909090909091,0.3333333333333333,0.6666666666666666,False,direct-employer
Blackhawk Network,11,1,1,8,3,5,0.09090909090909091,0.09090909090909091,0.375,0.625,False,direct-employer
Flexton Inc.,11,1,1,4,2,3,0.09090909090909091,0.09090909090909091,0.5,0.75,False,direct-employer
HIRECLOUT,10,1,1,8,1,6,0.1,0.1,0.125,0.75,False,direct-employer
Tinder,10,5,5,3,2,2,0.5,0.5,0.6666666666666666,0.6666666666666666,False,direct-employer
Eli Lilly and Company,10,0,0,7,1,5,0.0,0.0,0.14285714285714285,0.7142857142857143,False,direct-employer
Indotronix Avani Group,10,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Kastle Systems,10,1,1,6,2,5,0.1,0.1,0.3333333333333333,0.8333333333333334,False,direct-employer
Macquarie Group,10,0,0,5,3,4,0.0,0.0,0.6,0.8,False,direct-employer
InfiCare Technologies,10,0,0,2,0,2,0.0,0.0,0.0,1.0,True,aggregator
"Sabre Systems, LLC",10,0,0,6,0,5,0.0,0.0,0.0,0.8333333333333334,False,direct-employer
Fusion Technology LLC,10,0,0,6,4,4,0.0,0.0,0.6666666666666666,0.6666666666666666,False,direct-employer
Fintal Partners,9,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
ConsultAdd Inc,9,2,2,2,2,2,0.2222222222222222,0.2222222222222222,1.0,1.0,False,staffing
edkey,9,2,2,3,3,3,0.2222222222222222,0.2222222222222222,1.0,1.0,False,direct-employer
Swift,9,1,1,6,3,6,0.1111111111111111,0.1111111111111111,0.5,1.0,False,direct-employer
Bosch USA,9,0,0,7,0,6,0.0,0.0,0.0,0.8571428571428571,False,direct-employer
