metro_area,n_2024,n_2026,share_2024,share_2026,delta_pp
San Francisco Bay Area,1730.0,5483.0,0.11045843442727621,0.161564074608834,5.11056401815578
Washington DC Metro,2108.0,3389.0,0.13459328310560592,0.09986150808851696,-3.4731775017088964
Seattle Metro,762.0,2428.0,0.0486527901928234,0.07154433214485664,2.2891541952033245
Dallas-Fort Worth Metro,852.0,2315.0,0.05439918273528285,0.06821463299643457,1.3815450261151718
New York City Metro,67.0,2220.0,0.004277870003830928,0.0654153284026284,6.113745839879748
Salt Lake City Metro,329.0,1898.0,0.02100625718299068,0.05592715914783275,3.4920901964842073
Los Angeles Metro,1008.0,1818.0,0.06435959647554591,0.053569850016206504,-1.0789746459339409
Boston Metro,859.0,1736.0,0.05484612437747414,0.051153608156289596,-0.3692516221184543
Austin Metro,358.0,1269.0,0.022857872557783168,0.03739281610042137,1.45349435426382
Charlotte Metro,305.0,1231.0,0.01947388583833482,0.0362730942628989,1.679920842456408
Atlanta Metro,585.0,1189.0,0.037351551525986466,0.03503550696879512,-0.2316044557191345
Chicago Metro,728.0,1157.0,0.04648193078789427,0.03409258331614462,-1.2389347471749648
Philadelphia Metro,497.0,929.0,0.031732856595581664,0.02737425229100981,-0.43586043045718526
Denver Metro,557.0,814.0,0.0355637849572213,0.02398562041429708,-1.1578164542924225
Phoenix Metro,353.0,803.0,0.022538628527646532,0.02366149040869847,0.1122861881051939
Detroit Metro,360.0,723.0,0.022985570169837825,0.02130418127707222,-0.16813888927656034
Minneapolis-Saint Paul,260.0,622.0,0.016600689567105094,0.018328078498394084,0.172738893128899
Raleigh-Durham-Chapel Hill,243.0,617.0,0.015515259864640531,0.018180746677667444,0.2665486813026913
Houston Metro,233.0,589.0,0.014876771804367259,0.017355688481598255,0.24789166772309965
Columbus Metro,140.0,557.0,0.00893883284382582,0.016412764828947757,0.7473931985121937
