primary_labels,noise_treatment,target,target_description,nmi
bert_label,noise=-1 own cluster,title_archetype,regex title-archetype,0.2156275711858417
bert_label,noise=-1 own cluster,tech_domain,tech-stack argmax assignment,0.18040127717752905
bert_label,noise=-1 own cluster,seniority_3level,T30 coarse (junior/mid/senior/unknown),0.024512770645464
bert_label,noise=-1 own cluster,meta_period_str,2024 vs 2026-03 vs 2026-04,0.015898848881566938
bert_label_assigned,noise reassigned to nearest,title_archetype,regex title-archetype,0.21356522153632918
bert_label_assigned,noise reassigned to nearest,tech_domain,tech-stack argmax assignment,0.20405490682679614
bert_label_assigned,noise reassigned to nearest,seniority_3level,T30 coarse (junior/mid/senior/unknown),0.022127678741803363
bert_label_assigned,noise reassigned to nearest,meta_period_str,2024 vs 2026-03 vs 2026-04,0.01948753748160952
nmf_k12,n/a,title_archetype,title regex,0.20038697277151973
nmf_k12,n/a,tech_domain,tech-stack argmax,0.15556208847918168
nmf_k12,n/a,meta_period_str,period,0.027739244511726026
nmf_k12,n/a,seniority_3level,T30 coarse,0.008642136270139803
