title_normalized,arshkon_n,asaniczka_n,source_n,scraped_n,top_employers_2024
senior dotnet developer,19,12,19,2,"[""Infosys"", ""ACL Digital"", ""SSi People"", ""Amtex Systems Inc."", ""INSPYR Solutions""]"
java architect,15,24,15,1,"[""Photon"", ""Quantum World Technologies Inc."", ""Fixity Technologies"", ""TechMatrix Inc"", ""Zodiac Solutions, Inc""]"
drupal developer,9,5,9,0,"[""Apetan Consulting LLC"", ""SKILL BIRD"", ""Esteemed Inc."", ""Aimic Inc"", ""Zodiac Solutions, Inc""]"
database developer,9,10,9,2,"[""Ria Money Transfer"", ""tCognition"", ""Mitchell Martin Inc."", ""Kavaliro"", ""Russell Tobin""]"
senior php developer,6,9,6,2,"[""RadGov Inc."", ""Anveta, Inc"", ""VYZE INC"", ""Perr&Knight"", ""4 Corner Resources""]"
devops architect,6,7,6,0,"[""Quantum World Technologies Inc."", ""Ascentt"", ""Zodiac Solutions, Inc"", ""Sapphire Software Solutions Inc"", ""Salesforce""]"
software development engineer aws marketplace,5,0,5,0,"[""Amazon Web Services (AWS)""]"
java application developer,5,0,5,1,"[""LOGIXtech Solutions LLC"", ""SP Software Solutions"", ""Infotech Spectrum Inc,"", ""Canopus IT Solutions LLC"", ""RD DIGITAL SOLUTIONS""]"
senior database developer,5,11,5,0,"[""Next Talent Solutions"", ""Epsilon"", ""Apex Systems"", ""Healthmap Solutions"", ""Sherwin-Williams""]"
scala developer,5,2,5,2,"[""CodeForce 360"", ""Dexian"", ""Empower Professionals"", ""Open Systems Technologies"", ""TEKsystems""]"
product engineer i,5,1,5,1,"[""ML OUTSOURCING SERVICES PRIVATE LIMITED"", ""Astrix"", ""Aequor Information Technologies Pvt. Ltd."", ""Abiomed"", ""Johnson & Johnson""]"
