title_norm,arshkon_n,scraped_n
senior software engineer,155,1090
software engineer,118,1047
data engineer,77,601
senior data engineer,41,405
devops engineer,51,340
full stack engineer,55,312
machine learning engineer,21,219
principal software engineer,16,220
staff software engineer,16,205
test engineer,17,171
full stack developer,20,168
java developer,33,153
quality assurance engineer,18,159
senior devops engineer,21,152
embedded software engineer,30,142
site reliability engineer,24,144
cloud engineer,26,136
software developer,18,142
lead software engineer,16,125
system engineer,39,98
android developer,16,115
senior machine learning engineer,19,108
java full stack developer,12,114
application engineer,21,103
frontend developer,27,92
senior site reliability engineer,17,98
java software engineer,16,87
systems engineer,17,82
lead data engineer,11,79
ios developer,18,65
software engineer in test,19,61
senior salesforce developer,20,59
servicenow developer,14,64
quality assurance automation engineer,10,66
automation engineer,25,42
senior systems engineer,16,51
reliability engineer,12,53
senior java software engineer,10,54
software engineer intern,11,49
python developer,35,22
web developer,14,42
product engineer,13,43
backend developer,14,42
senior infrastructure engineer,11,18
azure cloud engineer,10,18
azure devops engineer,10,17
software engineering manager,10,10
