title_norm,arshkon_n,scraped_n
software engineer,149,1545
senior software engineer,171,1444
data engineer,86,764
senior data engineer,47,476
devops engineer,57,464
full stack engineer,58,382
principal software engineer,21,329
staff software engineer,18,271
machine learning engineer,23,265
software engineer 2,16,266
full stack developer,21,233
test engineer,20,224
lead software engineer,18,223
embedded software engineer,32,200
cloud engineer,30,198
java developer,41,179
software developer,22,187
site reliability engineer,28,174
senior devops engineer,22,178
quality assurance engineer,19,179
software engineer 3,10,160
senior machine learning engineer,20,147
system engineer,42,118
java full stack developer,14,141
systems engineer,23,126
android developer,18,129
frontend developer,30,111
application engineer,22,114
senior site reliability engineer,18,115
software development engineer,13,118
lead data engineer,12,110
java software engineer,16,105
developer,28,79
ios developer,18,73
servicenow developer,16,75
automation engineer,31,56
quality assurance automation engineer,11,76
senior salesforce developer,22,64
software engineer in test,19,66
senior systems engineer,18,66
devsecops engineer,10,73
backend developer,17,57
reliability engineer,13,61
web developer,14,59
python developer,39,32
senior java software engineer,11,58
software engineer intern,11,53
senior software developer,11,52
product engineer,14,43
react developer,10,34
senior infrastructure engineer,11,27
infrastructure engineer,11,23
azure devops engineer,11,22
azure cloud engineer,10,21
senior java developer,19,11
.net developer,18,10
software engineering manager,10,13
senior automation engineer,11,10
