title_norm,n
data engineer,518
senior data engineer,361
machine learning engineer,188
ai engineer,183
artificial intelligence engineer,109
senior machine learning engineer,98
senior ai engineer,89
ai/machine learning engineer,80
lead data engineer,71
generative ai engineer,35
senior ai/machine learning engineer,28
applied ai engineer,28
data engineer 2,25
data engineer 3,23
staff data engineer,23
principal ai engineer,23
staff machine learning engineer,22
data platform engineer,22
lead ai engineer,22
ai software engineer,21
agentic ai engineer,20
principal data engineer,18
ai developer,18
azure data engineer,18
aws data engineer,17
ai automation engineer,16
ai platform engineer,16
staff ai engineer,14
senior ai software engineer,14
full stack ai engineer,14
