title_norm,n,category
ai engineer,240,ai_engineering
artificial intelligence engineer,138,ai_engineering
senior ai engineer,107,ai_engineering
generative ai engineer,47,ai_engineering
lead ai engineer,43,ai_engineering
applied ai engineer,29,ai_engineering
principal ai engineer,26,ai_engineering
agentic ai engineer,22,ai_engineering
gen ai engineer,19,ai_engineering
ai agent engineer,19,ai_engineering
mlops engineer,22,ml_infrastructure
machine learning platform engineer,4,ml_infrastructure
senior machine learning platform engineer,2,ml_infrastructure
staff mlops engineer,2,ml_infrastructure
devops/mlops engineer,2,ml_infrastructure
machine learning engineer/mlops,2,ml_infrastructure
senior ai/machine learning platform engineer,2,ml_infrastructure
machine learning engineer | mlops & scalable systems,2,ml_infrastructure
lead machine learning engineer (mlops kserve + building kubernetes clusters pytorch tensorflow on aws),2,ml_infrastructure
staff software engineer machine learning platform,2,ml_infrastructure
data engineer,764,data_engineering
senior data engineer,476,data_engineering
lead data engineer,110,data_engineering
staff data engineer,35,data_engineering
data engineer 3,31,data_engineering
data engineer 2,30,data_engineering
principal data engineer,29,data_engineering
aws data engineer,29,data_engineering
data platform engineer,26,data_engineering
azure data engineer,19,data_engineering
platform engineer,39,platform_engineering
data platform engineer,26,platform_engineering
ai platform engineer,24,platform_engineering
senior platform engineer,21,platform_engineering
cloud platform engineer,19,platform_engineering
senior ai platform engineer,11,platform_engineering
senior cloud platform engineer,11,platform_engineering
staff platform engineer,10,platform_engineering
senior data platform engineer,8,platform_engineering
power platform engineer,6,platform_engineering
site reliability engineer,174,reliability_engineering
senior site reliability engineer,115,reliability_engineering
reliability engineer,61,reliability_engineering
senior reliability engineer,33,reliability_engineering
lead site reliability engineer,16,reliability_engineering
site reliability engineer (site reliability engineer),16,reliability_engineering
site reliability engineer 2,15,reliability_engineering
staff site reliability engineer,14,reliability_engineering
site reliability engineer 3,14,reliability_engineering
senior site reliability engineer (site reliability engineer),9,reliability_engineering
devsecops engineer,73,security_engineering
senior devsecops engineer,31,security_engineering
ai security engineer,11,security_engineering
senior devsecops software engineer,4,security_engineering
senior software security engineer full stack,4,security_engineering
lead devsecops engineer,3,security_engineering
principal ai security engineer,3,security_engineering
junior devsecops engineer,3,security_engineering
senior software engineer - application security,3,security_engineering
devsecops engineer senior,2,security_engineering
cloud engineer,198,cloud_engineering
senior cloud engineer,65,cloud_engineering
cloud infrastructure engineer,31,cloud_engineering
aws cloud engineer,22,cloud_engineering
azure cloud engineer,21,cloud_engineering
senior azure cloud engineer,12,cloud_engineering
principal cloud engineer,11,cloud_engineering
staff cloud engineer,10,cloud_engineering
azure engineer,8,cloud_engineering
devops cloud engineer,6,cloud_engineering
full stack engineer,382,frontend_fullstack
full stack developer,233,frontend_fullstack
java full stack developer,141,frontend_fullstack
senior full stack engineer,139,frontend_fullstack
full stack software engineer,121,frontend_fullstack
frontend developer,111,frontend_fullstack
senior full stack developer,73,frontend_fullstack
full stack java developer,58,frontend_fullstack
senior full stack software engineer,46,frontend_fullstack
frontend engineer,46,frontend_fullstack
senior backend engineer,91,backend
backend developer,57,backend
backend engineer,50,backend
java backend developer,41,backend
senior software engineer backend,33,backend
backend software engineer,29,backend
senior software engineer - backend,27,backend
software engineer backend,23,backend
software engineer - backend,20,backend
staff software engineer - backend,14,backend
mobile engineer,46,mobile
senior ios engineer,25,mobile
senior android engineer,25,mobile
android engineer,16,mobile
ios engineer,15,mobile
senior mobile engineer,14,mobile
staff ios engineer,8,mobile
staff android engineer,7,mobile
hvac mobile engineer,6,mobile
react native engineer,4,mobile
embedded software engineer,200,embedded_firmware
senior embedded software engineer,92,embedded_firmware
principal embedded software engineer,19,embedded_firmware
staff embedded software engineer,17,embedded_firmware
firmware engineer,15,embedded_firmware
senior firmware engineer,13,embedded_firmware
engineer embedded software 3,10,embedded_firmware
embedded software engineer - viasat government,6,embedded_firmware
autosar embedded software engineer,5,embedded_firmware
embedded software engineer 2,5,embedded_firmware
test engineer,224,qa_testing
quality assurance engineer,179,qa_testing
quality assurance automation engineer,76,qa_testing
senior quality assurance engineer,64,qa_testing
software test engineer,59,qa_testing
automation engineer,56,qa_testing
senior test engineer,48,qa_testing
mobile apps test automation engineer,31,qa_testing
software development engineer in test (sdet),31,qa_testing
test engineer 2,29,qa_testing
ai research engineer,5,data_science
forward deployed ai engineer/data scientist,5,data_science
machine learning research engineer,5,data_science
senior machine learning research engineer,2,data_science
senior data scientist full stack,2,data_science
machine learning engineer / data scientist (databricks & snowflake),2,data_science
data scientist / machine learning engineer,2,data_science
it software engineer - senior data scientist,2,data_science
data scientist + machine learning engineer - gen ai,1,data_science
senior machine learning engineer - fraud (research scientist),1,data_science
lead software engineer - blockchain (public or permissioned blockchain platforms),2,blockchain_crypto
software engineer 3 - blockchain,2,blockchain_crypto
software engineer - smart contract bridge,1,blockchain_crypto
staff full stack engineer - web3,1,blockchain_crypto
lead software engineer - blockchain developer,1,blockchain_crypto
staff software engineer web3,1,blockchain_crypto
senior full stack engineer - web3,1,blockchain_crypto
software engineer google cloud web3,1,blockchain_crypto
lead software engineer - machine learning / blockchain,1,blockchain_crypto
blockchain java backend engineer,1,blockchain_crypto
c++ robotics engineer/ software engineer i,1,robotics
