period,uid,title,company_name_canonical,requirement_breadth,credential_stack_depth,tech_count,description_cleaned_length
pooled_2024,arshkon_3902862505,Software Engineer (On-Site),Agilysys,27,6,17,3167
pooled_2024,arshkon_3895251457,Staff Software Engineer,NAVEX,26,5,20,3186
pooled_2024,asaniczka_b513b3363440a68e,DevOps Lead/Manager with Java exp,Zortech Solutions,26,2,24,2876
pooled_2024,asaniczka_3861adb8487c4c9e,"Senior Engineer, Site Reliability Engineering (SRE)",Balyasny Asset Management L.P.,29,6,21,4737
pooled_2024,asaniczka_fad1d6b584b2415f,Sr. Software Engineer (Hybrid),Constellation,32,6,21,5279
pooled_2024,asaniczka_2fc15f381e95b7e1,Software Development Lead,RAINN,29,6,16,3738
pooled_2024,asaniczka_bb24806d4a21cddb,Senior Full Stack Engineer (Java),"Verticalmove, Inc",26,5,20,2699
pooled_2024,asaniczka_30e56a14243192d6,Senior Site Reliability Engineer,Sandata Technologies,33,5,25,4222
pooled_2024,arshkon_3899525953,DevOps Tech Lead,PSI (Proteam Solutions),27,4,23,3517
pooled_2024,asaniczka_07cd5ad5f6299032,Senior Software Engineer - Full Stack,Guardian Life,30,5,20,2852
pooled_2024,arshkon_3906250673,"Associate, Java/J2EE Backend Developer",BlackRock,30,4,23,3933
pooled_2024,asaniczka_b4155e63675f5af4,Senior Front-End Developer with Security Clearance,ClearanceJobs,26,6,16,3435
pooled_2024,asaniczka_4cbad71b728481c1,AI - Application Developer,HTC Global Services,28,7,14,4606
pooled_2024,asaniczka_f2fcb667e6a2c889,Senior Java Developer,Onbe,29,6,20,2817
pooled_2024,asaniczka_8f93ca5233aaae10,Staff Software Engineer,Demand.io,29,4,19,4691
pooled_2024,asaniczka_dc93ae9ccadf3bf4,Senior Data Engineer,What If Media Group,31,6,23,4313
pooled_2024,asaniczka_3a4829b0b7a76080,Senior Software Engineer,Braven,31,6,16,4508
pooled_2024,arshkon_3901378179,Senior Software Engineer (NodeJS +.Net),Capillary Technologies,28,5,18,3846
pooled_2024,asaniczka_5107e0ea6c7b754b,Site Reliability Engineer - Contract,ConocoPhillips,29,6,21,3878
pooled_2024,asaniczka_558db06a5f82c583,Principal Software Engineer,Advantage Solutions,29,6,13,9633
scraped_2026,linkedin_li-4399859686,Full Stack Engineer - Python / Angular,CGI,37,7,29,2886
scraped_2026,linkedin_li-4402780449,Sr. Software Engineer,Jobs via Dice,36,5,25,5362
scraped_2026,linkedin_li-4385855120,Senior Software Engineer,Ahold Delhaize USA,41,6,28,6691
scraped_2026,linkedin_li-4401332060,Full Stack Developer,Apex Systems,37,6,25,3579
scraped_2026,linkedin_li-4392138748,Junior Software Engineer,Jobs via Dice,34,6,24,3188
scraped_2026,linkedin_li-4382853204,Senior Staff Machine Learning Engineer,GEICO,33,6,23,10053
scraped_2026,linkedin_li-4397402846,Software Engineer,Cisco,33,6,21,4016
scraped_2026,linkedin_li-4397577047,Staff AI/ML Engineer (LLMs),CACI International Inc,34,6,25,6468
scraped_2026,linkedin_li-4403446211,Sr. Software Engineer,Robert Half,37,6,25,3795
scraped_2026,linkedin_li-4389760753,Principal Software Engineer,NetApp,32,6,22,7032
scraped_2026,linkedin_li-4321956842,Senior AI Developer,EBizCharge,34,6,24,5983
scraped_2026,linkedin_li-4385727434,Full Stack Software Engineer (Mid-Level or Senior),Boeing,42,5,31,8166
scraped_2026,linkedin_li-4403113495,"Staff Software Engineer, Backend",PayPal,34,5,23,9986
scraped_2026,linkedin_li-4393039309,Cloud Engineer,Solution Design Group,34,3,32,5299
scraped_2026,linkedin_li-4388572945,"Software Engineer III - Plano, TX",VetJobs,34,6,26,2392
scraped_2026,linkedin_li-4400259789,DevOps Engineer,GRVTY,32,5,27,4897
scraped_2026,linkedin_li-4374098185,Senior Software Engineer - Product Owner for AI Projects,Siemens Digital Industries Software,36,6,26,7771
scraped_2026,linkedin_li-4350792565,Quality Assurance Engineer,Candescent,32,5,23,6094
scraped_2026,linkedin_li-4389915419,Systems Engineer (TS/SCI with Poly Required),GCI Incorporated,41,4,34,5988
scraped_2026,linkedin_li-4374835809,"(USA) Senior, Data Engineer - Full Stack",Sam's Club,32,5,25,10387
