term,count_a,count_b,rate_a,rate_b,ratio_a_over_b,log_odds,z,category,direction
qualifications,14792,595,0.005890833207222563,0.0018403105330714628,3.2009995603246435,1.019080653164674,27.214183615573315,other,up_in_2026_scraped_reqresp
workflows,7706,187,0.003068872410414891,0.0005783833103938883,5.305949108948077,1.4007118894691448,22.46149715407951,other,up_in_2026_scraped_reqresp
pipelines,11716,685,0.004665833008100294,0.002118676832191516,2.202239122648097,0.7074827569461446,19.4688544991926,other,up_in_2026_scraped_reqresp
environments,9668,495,0.0038502281941203177,0.0015310146451602926,2.5148212698626473,0.8195780953684917,19.434389187511456,other,up_in_2026_scraped_reqresp
systems,36509,3495,0.014539509840622536,0.010809891282495399,1.3450190626955294,0.27392860530758156,16.2595277224372,credential,up_in_2026_scraped_reqresp
hands-on,8309,518,0.003309013866874816,0.0016021526993798617,2.065354861715504,0.6516078879361489,15.494650397474768,other,up_in_2026_scraped_reqresp
observability,3475,109,0.001383899769814657,0.00033713251782317553,4.104913340161705,1.2106386548296495,14.278422449142308,credential,up_in_2026_scraped_reqresp
backend,7002,438,0.0027885082556092745,0.0013547159890509256,2.05837111110117,0.6484323091609321,14.173882882909329,other,up_in_2026_scraped_reqresp
apis,7900,544,0.0031461318508016665,0.001682569630236766,1.869837535555038,0.5650543724062871,13.638612251345057,other,up_in_2026_scraped_reqresp
contribute,6242,390,0.0024858424066713926,0.0012062539628535638,2.060795224905029,0.6493042574230063,13.394222701446148,other,up_in_2026_scraped_reqresp
tooling,3041,107,0.0012110616402896035,0.00033094660006495214,3.6593868619647956,1.1220173910279794,12.915766960747721,other,up_in_2026_scraped_reqresp
cd,9049,698,0.0036037148250511746,0.0021588852976199683,1.669247935045015,0.4652177480358679,12.585178093481854,other,up_in_2026_scraped_reqresp
models,6749,487,0.0026877523874760056,0.001506270974127399,1.7843750783507284,0.5238034908995859,11.909683270853966,other,up_in_2026_scraped_reqresp
operational,5212,339,0.0020756505324529472,0.001048513060018867,1.979613427433701,0.6143078088049867,11.768795835977329,other,up_in_2026_scraped_reqresp
evaluation,2692,104,0.0010720742965010235,0.00032166772342761705,3.3328625112810424,1.0482561428757542,11.759833117503675,other,up_in_2026_scraped_reqresp
llm,1903,38,0.0007578593559589331,0.00011753243740624469,6.448086780838485,1.5333968640180782,11.448761257170862,ai_concept,up_in_2026_scraped_reqresp
frameworks,9794,834,0.003900407005917914,0.0025795277051791597,1.5120624593745209,0.3770527991877195,11.049144380841133,other,up_in_2026_scraped_reqresp
agent,1620,12,0.0006451561516833796,3.711550654934043e-05,17.382388431792656,2.07888740327453,10.968608824271286,ai_concept,up_in_2026_scraped_reqresp
end-to-end,3204,170,0.0012759754999960176,0.0005258030094489894,2.4267177575365437,0.7881683574073834,10.912028874649053,other,up_in_2026_scraped_reqresp
distributed,6229,476,0.0024806652276764024,0.0014722484264571701,1.6849501640466304,0.473098031860939,10.578051023915238,other,up_in_2026_scraped_reqresp
llms,1670,39,0.0006650683785871876,0.00012062539628535638,5.513502123664527,1.4259943743840733,10.506511508684405,ai_concept,up_in_2026_scraped_reqresp
rag,1442,11,0.0005742686239058231,3.402254767022872e-05,16.879060012555566,2.06614560455675,10.349351924023837,ai_concept,up_in_2026_scraped_reqresp
governance,2435,113,0.0009697254502154503,0.00034950435333962237,2.7745733091717546,0.8996474720424565,10.30091997532551,other,up_in_2026_scraped_reqresp
