term,count_a,count_b,rate_a,rate_b,ratio_a_over_b,log_odds,z,category,direction
pipelines,9538,2346,0.00564403077766081,0.0015547286349071703,3.6302353034089476,1.2584767392204839,55.766792967792995,other,up_in_yoe_ge5_2026
workflows,5760,817,0.0034084312517641295,0.0005414378920371518,6.2951472401385855,1.7787114490663791,49.24837940633597,other,up_in_yoe_ge5_2026
cd,7454,2460,0.004410841415043372,0.0016302781082146798,2.7055760565132605,0.9739396914500125,42.58124073919422,other,up_in_yoe_ge5_2026
backend,5771,1585,0.00341494040866854,0.001050402764845637,3.251077132465836,1.1507981388050421,41.36373136589016,other,up_in_yoe_ge5_2026
environments,8448,3193,0.00499903250258739,0.0021160479672884037,2.362438177142727,0.8425951520799009,41.16685957073801,other,up_in_yoe_ge5_2026
hands-on,7376,2699,0.004364685575175733,0.0017886669162891955,2.440189134951295,0.8737146161636407,39.43329284985894,other,up_in_yoe_ge5_2026
observability,3190,350,0.0018876555022790925,0.00023195013734761703,8.1381952339615,2.015068564690189,37.38830329987491,credential,up_in_yoe_ge5_2026
role,12345,6434,0.007305049271359059,0.004263906239127337,1.713229339877354,0.5298947836671957,34.87907112654139,other,up_in_yoe_ge5_2026
frameworks,8131,3829,0.00481145043543301,0.0025375345025829303,1.8961123210484367,0.6280755357838608,32.45716165941136,other,up_in_yoe_ge5_2026
apis,5638,2293,0.0033362387842788476,0.0015196047569659597,2.1954648200364786,0.770332689321438,31.542481503632967,other,up_in_yoe_ge5_2026
tooling,2764,624,0.0016355736076173705,0.00041353395915689437,3.9551131688240275,1.3377070407107787,30.87287751921387,other,up_in_yoe_ge5_2026
teams,15599,9484,0.009230576231991087,0.006285186007442286,1.468624193629459,0.37927195872802866,29.45353321393605,credential,up_in_yoe_ge5_2026
governance,2422,532,0.0014331980020438752,0.0003525642087683779,4.065069472169352,1.363762044950695,29.150305371515046,other,up_in_yoe_ge5_2026
optimization,3541,1195,0.0020953567816834693,0.0007919440403725782,2.6458394468095086,0.9508751934103694,28.886127133594062,other,up_in_yoe_ge5_2026
proficiency,5575,2532,0.0032989590674626776,0.0016779935650404754,1.9660141350918128,0.6627097199442016,28.017286931079298,other,up_in_yoe_ge5_2026
models,5086,2272,0.0030095974559847852,0.0015056877487251027,1.9988191167345781,0.6787132591837812,27.254527432969795,other,up_in_yoe_ge5_2026
cloud-native,1697,231,0.0010041853878895361,0.00015308709064942725,6.5595693512076885,1.815081985768285,26.825621332779924,other,up_in_yoe_ge5_2026
large-scale,2689,819,0.001591192992360025,0.0005427633213934238,2.931651660386689,1.0498031108223334,26.76931030587169,other,up_in_yoe_ge5_2026
distributed,5500,2617,0.003254578452205332,0.0017343243126820395,1.876568545113861,0.6172318603661147,26.323749949064272,other,up_in_yoe_ge5_2026
end-to-end,2602,857,0.0015397114786615043,0.0005679464791625938,2.7110150958796773,0.9741019799396744,25.143918127987533,other,up_in_yoe_ge5_2026
llm,1459,75,0.0008633509021395599,4.9703600860203655e-05,17.369987027053043,2.6820963818001387,24.7457420729787,ai_concept,up_in_yoe_ge5_2026
ensuring,4175,1912,0.002470520915992229,0.0012671104645961251,1.9497281294884383,0.654194400980546,24.00079525077828,other,up_in_yoe_ge5_2026
llms,1223,135,0.0007236998994631129,8.946648154836657e-05,8.089061813299015,2.0085162062974513,23.13218492504202,ai_concept,up_in_yoe_ge5_2026
contribute,4019,1872,0.0023782092362569507,0.0012406018774706832,1.9169802008567012,0.6376234939240062,23.081793305078754,other,up_in_yoe_ge5_2026
familiarity,6589,3644,0.0038989849857419875,0.0024149322871277615,1.6145318055187825,0.4704085144700221,23.053286118052608,other,up_in_yoe_ge5_2026
agent,1282,59,0.0007586126501322246,3.9100166010026874e-05,19.401775683962196,2.7738567257057047,22.97060569132325,ai_concept,up_in_yoe_ge5_2026
terraform,2769,1081,0.0016385323153011934,0.0007163945670650686,2.2871925481148563,0.809230312593491,22.893575368376602,tech_stack,up_in_yoe_ge5_2026
kubernetes,4763,2385,0.0028184649396098176,0.001580574507354476,1.7831901795805183,0.5671734067552157,22.890485403680916,tech_stack,up_in_yoe_ge5_2026
workloads,1237,178,0.0007319842809778174,0.00011796321270821666,6.205191128427375,1.7630572286405028,22.7542742603877,other,up_in_yoe_ge5_2026
scalability,2913,1181,0.0017237430965952967,0.0007826660348786735,2.202399260704479,0.7725368359457683,22.712815190600836,tech_stack,up_in_yoe_ge5_2026
practices,11872,7602,0.0070251555244694,0.0050379569831902424,1.3944453173994316,0.32762025852470344,22.547302086878076,other,up_in_yoe_ge5_2026
influence,1911,590,0.0011308180767571616,0.00039100166010026875,2.892105564122602,1.0363846833941714,22.390249912108892,org_scope,up_in_yoe_ge5_2026
generative,1194,180,0.0007065393948969393,0.00011928864206448876,5.922939373515345,1.7194779389527506,22.217722020317485,ai_concept,up_in_yoe_ge5_2026
ownership,2329,867,0.001378166039124767,0.0005745736259439542,2.3985891048525048,0.8552865823830453,21.823413736634503,org_scope,up_in_yoe_ge5_2026
translate,2309,865,0.0013663312083894749,0.0005732481965876822,2.383489763287001,0.8491476391412531,21.621684151684352,metrics_perf,up_in_yoe_ge5_2026
