term,count_a,count_b,rate_a,rate_b,ratio_a_over_b,log_odds,z,category,direction
workflows,1074,102,0.0029635843366013705,0.0005339391623436788,5.550415750725192,1.6309014802214712,16.54953100307143,other,up_in_yoe_le2_2026
backend,984,157,0.0027152392804615905,0.0008218475341956625,3.3038236016841975,1.151185254469346,13.816156615995421,other,up_in_yoe_le2_2026
environments,1422,349,0.003923851887008519,0.0018269094868425873,2.147808588913749,0.7422586303985828,12.689507787952394,other,up_in_yoe_le2_2026
pipelines,1350,325,0.0037251758420966947,0.0017012767427617217,2.189635435825409,0.7606726301332607,12.577348694329435,other,up_in_yoe_le2_2026
contribute,1304,312,0.0035982439245141407,0.0016332256730512528,2.203151703947788,0.7665102597881575,12.426628485599695,other,up_in_yoe_le2_2026
features,1405,384,0.0038769422652932266,0.00201012390529385,1.928708103556669,0.6386744207498349,11.30611842735576,other,up_in_yoe_le2_2026
familiarity,1658,486,0.004575067811997274,0.0025440630676375284,1.7983311303071507,0.5714065822585175,11.279954765870249,other,up_in_yoe_le2_2026
frameworks,1346,380,0.0037141382840460376,0.0019891851146137053,1.8671657337267547,0.6073115848780004,10.651673585476319,other,up_in_yoe_le2_2026
role,2412,826,0.006655647504546094,0.004323860275449791,1.5392836679612034,0.42136768375753597,10.62054669461017,other,up_in_yoe_le2_2026
hands-on,875,207,0.002414465823581191,0.0010835824176974658,2.22822536075452,0.7767260694613061,10.270126266819869,other,up_in_yoe_le2_2026
practical,494,74,0.0013631384192561238,0.00038736762758266894,3.5189786708885826,1.2094826032315282,10.026422896393823,other,up_in_yoe_le2_2026
feedback,653,133,0.0018018813517697344,0.000696214790114797,2.5881112802453208,0.9194361080318094,9.907378875253952,other,up_in_yoe_le2_2026
models,1141,321,0.0031484634339498728,0.0016803379520815775,1.8737084584976513,0.6104290025311467,9.84448107843603,other,up_in_yoe_le2_2026
improve,1177,350,0.003247801456405785,0.0018321441845126235,1.7726778732044752,0.5569425314217469,9.312903235965502,other,up_in_yoe_le2_2026
llm,320,29,0.0008830046440525498,0.00015180623243104594,5.816656074734164,1.6715298954981952,9.08252568451315,ai_concept,up_in_yoe_le2_2026
