period,seniority,n,imperative_density,inclusive_density,marketing_density,passive_density
2024,all,22820,0.7510952203446124,0.470477189879058,0.18666712220366716,0.5786576520448043
2024,J3_yoe_le2,1667,0.7486872771351156,0.5009201853355335,0.1904367459793449,0.6328606893400694
2024,S4_yoe_ge5,12894,0.7346533576571819,0.4282913596342244,0.17900914211628322,0.5915772072697746
2024,J1_entry_label,415,0.7733582396676284,0.6009598979553928,0.2321049180401819,0.632796219551776
2024,S1_midsenior_label,13574,0.727652727090272,0.49812234316505355,0.196989270816644,0.5923836286302753
2026,all,45317,0.6066010744979673,0.5389437094464876,0.17402441442986333,0.5326888097755217
2026,J3_yoe_le2,2911,0.6625496309212952,0.5744445110732654,0.18963385140342215,0.6545946618996984
2026,S4_yoe_ge5,12959,0.5904740138164026,0.5327713393129697,0.17411770022536072,0.5255250358939149
2026,J1_entry_label,1650,0.7286441686227376,0.7648194261605569,0.23857993247663653,0.6966803961627066
2026,S1_midsenior_label,19703,0.6114111348823398,0.5704631206066759,0.1791654129596421,0.5461788581213259
