skill,n_postings,share_of_asaniczka_swe,total_uids
python,5629,0.31075411284089655,18114
java,4679,0.25830849067019984,18114
sql,3656,0.20183283648007067,18114
aws,3441,0.1899635640940709,18114
javascript,3129,0.1727393176548526,18114
software engineering,2827,0.15606713039637848,18114
software development,2775,0.1531964226565088,18114
communication,2466,0.13613779397151374,18114
git,2454,0.13547532295462072,18114
agile,2400,0.13249420337860218,18114
linux,2285,0.12614552280004415,18114
kubernetes,2229,0.12305399138787677,18114
docker,2130,0.11758860549850944,18114
computer science,2042,0.1127304847079607,18114
devops,2031,0.1121232196091421,18114
c++,2010,0.11096389532957933,18114
communication skills,1835,0.10130285966655625,18114
c#,1826,0.1008060064038865,18114
troubleshooting,1755,0.09688638622060285,18114
systems engineering,1598,0.08821905708291929,18114
azure,1578,0.08711493872143093,18114
problem solving,1539,0.08496190791652865,18114
project management,1525,0.0841890250634868,18114
cloud computing,1507,0.0831953185381473,18114
jira,1499,0.08275367119355195,18114
react,1466,0.08093187589709618,18114
jenkins,1452,0.08015899304405433,18114
teamwork,1420,0.07839240366567296,18114
unit testing,1404,0.07750910897648228,18114
collaboration,1349,0.07447278348238931,18114
problemsolving,1318,0.07276140002208237,18114
typescript,1312,0.07243016451363586,18114
bachelor's degree,1309,0.07226454675941262,18114
css,1305,0.07204372308711494,18114
html,1297,0.0716020757425196,18114
angular,1263,0.0697250745279894,18114
testing,1240,0.0684553384122778,18114
machine learning,1239,0.06840013249420338,18114
microservices,1193,0.06586066026278017,18114
agile development,1172,0.0647013359832174,18114
ci/cd,1097,0.06056089212763608,18114
electrical engineering,1053,0.05813183173236171,18114
leadership,1052,0.05807662581428729,18114
scrum,1050,0.057966213978138455,18114
analytical skills,1020,0.05631003643590593,18114
data analysis,999,0.05515071215634316,18114
nosql,956,0.0527768576791432,18114
terraform,947,0.052280004416473444,18114
go,946,0.052224798498399026,18114
debugging,944,0.05211438666225019,18114
automation,901,0.049740532185050236,18114
software design,885,0.04885723749585956,18114
.net,882,0.048691619741636306,18114
engineering,857,0.047311471789775864,18114
node.js,851,0.04698023628132936,18114
kafka,827,0.04565529424754334,18114
documentation,824,0.045489676493320086,18114
windows,772,0.04261896875345037,18114
mentoring,770,0.042508556917301536,18114
gcp,762,0.042066909572706195,18114
security,754,0.04162526222811085,18114
mysql,753,0.041570056310036435,18114
software testing,753,0.041570056310036435,18114
oracle,744,0.041073203047366676,18114
ansible,740,0.040852379375069005,18114
scala,732,0.04041073203047367,18114
attention to detail,720,0.03974826101358066,18114
design,713,0.03936181958705973,18114
sql server,710,0.03919620183283648,18114
continuous integration,699,0.038588936734017885,18114
networking,695,0.038368113061720215,18114
software architecture,671,0.037043171027934196,18114
c/c++,644,0.03555261123992492,18114
design patterns,639,0.03527658164955283,18114
github,637,0.035166169813403994,18114
data structures,632,0.03489014022303191,18114
confluence,629,0.03472452246880866,18114
algorithms,628,0.03466931655073424,18114
json,612,0.03378602186154356,18114
spark,610,0.03367561002539472,18114
postgresql,605,0.033399580435022634,18114
rest,603,0.0332891685988738,18114
distributed systems,600,0.033123550844650546,18114
data engineering,599,0.03306834492657613,18114
interpersonal skills,586,0.0323506679916087,18114
c,582,0.03212984431931103,18114
code reviews,579,0.03196422656508778,18114
xml,573,0.031632991056641274,18114
problemsolving skills,572,0.031577785138566856,18114
spring boot,565,0.031191343712045932,18114
bash,564,0.031136137793971515,18114
mongodb,544,0.03003201943248316,18114
computer engineering,531,0.029314342497515734,18114
mechanical engineering,527,0.029093518825218063,18114
technical writing,524,0.02892790107099481,18114
u.s. citizenship,522,0.028817489234845974,18114
data modeling,515,0.028431047808325054,18114
system design,510,0.028155018217952965,18114
scalability,501,0.027658164955283206,18114
quality assurance,497,0.027437341282985535,18114
