panel,seniority,metric,within_co_delta,n_both_eras_cos,mean_2024,mean_2026,total_delta
arshkon_min5,J3,scope_term_count,0.4182078457598736,45,0.5925925925925926,0.9381443298969072,0.34555173730431465
arshkon_min5,S4,scope_term_count,0.5488805823926823,114,0.5853314527503526,1.1672740524781342,0.5819425997277816
arshkon_min5,J3,mgmt_rebuilt,0.006584629746728131,45,0.009259259259259259,0.007363770250368188,-0.0018954890088910704
arshkon_min5,S4,mgmt_rebuilt,-0.012758688835492141,114,0.03385049365303244,0.03206997084548105,-0.0017805228075513935
arshkon_min5,J3,requirement_breadth_resid,1.9358041216966846,45,-1.1022520892983552,-0.8697153796668387,0.2325367096315165
arshkon_min5,S4,requirement_breadth_resid,2.177172131932975,114,0.38512661458299113,1.9468363529205526,1.5617097383375613
pooled_min5,J3,scope_term_count,0.3410782721909397,113,0.810204081632653,0.9270298047276464,0.1168257230949934
pooled_min5,S4,scope_term_count,0.4893538822039417,326,0.5677966101694916,1.1897018970189701,0.6219052868494785
pooled_min5,J3,mgmt_rebuilt,0.005020721261300057,113,0.0163265306122449,0.011305241521068859,-0.005021289091176041
pooled_min5,S4,mgmt_rebuilt,0.005862049675249884,326,0.024977698483496878,0.03952122854561879,0.014543530062121914
pooled_min5,J3,requirement_breadth_resid,1.4263004538913995,113,-1.0481074454412687,-0.6337922842142155,0.41431516122705314
pooled_min5,S4,requirement_breadth_resid,2.3174218398550384,326,-0.34684445017456517,1.8297233756789064,2.1765678258534717
