metro_area,j3_share_labeled_delta,rank,metric,ai_strict_delta,scope_term_count_delta,desc_length_median_delta,tech_count_median_delta
San Diego Metro,0.14863123993558774,1,j3_share_labeled_delta,,,,
Seattle Metro,0.13617972210902685,2,j3_share_labeled_delta,,,,
Portland Metro,0.11648351648351649,3,j3_share_labeled_delta,,,,
Philadelphia Metro,0.11546268656716419,4,j3_share_labeled_delta,,,,
Los Angeles Metro,0.10903401774569388,5,j3_share_labeled_delta,,,,
Nashville Metro,0.08560447239692523,6,j3_share_labeled_delta,,,,
Phoenix Metro,0.07925864796093804,7,j3_share_labeled_delta,,,,
New York City Metro,0.07539026629935722,8,j3_share_labeled_delta,,,,
Boston Metro,0.06353725878575073,9,j3_share_labeled_delta,,,,
San Francisco Bay Area,0.04875416986451264,10,j3_share_labeled_delta,,,,
Minneapolis-Saint Paul,0.046296296296296294,11,j3_share_labeled_delta,,,,
Washington DC Metro,0.04249025144547533,12,j3_share_labeled_delta,,,,
Salt Lake City Metro,0.04061523672194184,13,j3_share_labeled_delta,,,,
Miami Metro,0.04040164452877926,14,j3_share_labeled_delta,,,,
Denver Metro,0.03818588744153298,15,j3_share_labeled_delta,,,,
Columbus Metro,0.02457404980340759,16,j3_share_labeled_delta,,,,
Pittsburgh Metro,0.017460317460317454,17,j3_share_labeled_delta,,,,
Chicago Metro,0.013273451161830277,18,j3_share_labeled_delta,,,,
Raleigh-Durham-Chapel Hill,0.012058374902090122,19,j3_share_labeled_delta,,,,
Austin Metro,0.006954887218045103,20,j3_share_labeled_delta,,,,
Tampa Bay Metro,0.006408655846858097,21,j3_share_labeled_delta,,,,
Atlanta Metro,0.003972082472480154,22,j3_share_labeled_delta,,,,
Dallas-Fort Worth Metro,-0.0028540760162582557,23,j3_share_labeled_delta,,,,
Houston Metro,-0.013500482160077154,24,j3_share_labeled_delta,,,,
Charlotte Metro,-0.026551226551226548,25,j3_share_labeled_delta,,,,
Detroit Metro,-0.05134719602220067,26,j3_share_labeled_delta,,,,
Tampa Bay Metro,,1,ai_strict_delta,0.1452283380995902,,,
Atlanta Metro,,2,ai_strict_delta,0.1411313105173492,,,
Miami Metro,,3,ai_strict_delta,0.12903707018721564,,,
Salt Lake City Metro,,4,ai_strict_delta,0.12405795894574675,,,
New York City Metro,,5,ai_strict_delta,0.11615570794675271,,,
Raleigh-Durham-Chapel Hill,,6,ai_strict_delta,0.11507293354943274,,,
San Francisco Bay Area,,7,ai_strict_delta,0.11184417627158667,,,
Dallas-Fort Worth Metro,,8,ai_strict_delta,0.11026475628428599,,,
Boston Metro,,9,ai_strict_delta,0.10361421221761453,,,
Minneapolis-Saint Paul,,10,ai_strict_delta,0.09904773682908731,,,
Charlotte Metro,,11,ai_strict_delta,0.09579843123676605,,,
Austin Metro,,12,ai_strict_delta,0.09513935663941607,,,
Chicago Metro,,13,ai_strict_delta,0.09339115940239535,,,
Philadelphia Metro,,14,ai_strict_delta,0.08129509024004089,,,
Nashville Metro,,15,ai_strict_delta,0.07468879668049792,,,
Phoenix Metro,,16,ai_strict_delta,0.07313226956984961,,,
Portland Metro,,17,ai_strict_delta,0.0692236217220731,,,
Seattle Metro,,18,ai_strict_delta,0.06863495440335197,,,
Los Angeles Metro,,19,ai_strict_delta,0.06641914191419143,,,
Houston Metro,,20,ai_strict_delta,0.06102581665294345,,,
Washington DC Metro,,21,ai_strict_delta,0.060224282937934595,,,
San Diego Metro,,22,ai_strict_delta,0.059813084112149535,,,
Denver Metro,,23,ai_strict_delta,0.05660589592366971,,,
Columbus Metro,,24,ai_strict_delta,0.05397537830212875,,,
Detroit Metro,,25,ai_strict_delta,0.052512678653757486,,,
Pittsburgh Metro,,26,ai_strict_delta,0.046633620930622594,,,
New York City Metro,,1,scope_term_count_delta,,1.0020908968670164,,
Chicago Metro,,2,scope_term_count_delta,,0.8229411038399803,,
Charlotte Metro,,3,scope_term_count_delta,,0.7405281591668776,,
Houston Metro,,4,scope_term_count_delta,,0.7276244744493103,,
Salt Lake City Metro,,5,scope_term_count_delta,,0.721107805048347,,
Atlanta Metro,,6,scope_term_count_delta,,0.6900016533321831,,
Detroit Metro,,7,scope_term_count_delta,,0.6647187644075611,,
San Francisco Bay Area,,8,scope_term_count_delta,,0.6012581188940277,,
Tampa Bay Metro,,9,scope_term_count_delta,,0.5986172941419264,,
Austin Metro,,10,scope_term_count_delta,,0.5969531280954079,,
Miami Metro,,11,scope_term_count_delta,,0.5835633126973472,,
San Diego Metro,,12,scope_term_count_delta,,0.5822848374947691,,
Pittsburgh Metro,,13,scope_term_count_delta,,0.57925386206511,,
Seattle Metro,,14,scope_term_count_delta,,0.5645822793567609,,
Portland Metro,,15,scope_term_count_delta,,0.5529630394383646,,
