family,n_2024,n_2026,ai_strict_2024,ai_strict_2026,ai_strict_delta,length_mean_2024,length_mean_2026,length_delta,tech_count_2024,tech_count_2026,tech_count_delta
data_engineer,1286,3388,0.0038880248833592537,0.0947461629279811,0.09085813804462185,3542.3211508553654,4469.798701298701,927.477550443336,6.120528771384137,6.141676505312869,0.021147733928732038
network_engineer,1384,1419,0.0,0.011980267794221282,0.011980267794221282,3609.610549132948,4701.22903453136,1091.6184853984123,0.7716763005780347,1.4552501761804086,0.6835738756023739
data_scientist,831,2828,0.036101083032490974,0.19413012729844414,0.15802904426595316,4293.321299638989,5382.140735502122,1088.8194358631326,3.9241877256317688,4.103606789250354,0.17941906361858528
ml_engineer,349,3167,0.12034383954154727,0.5487843384906852,0.42844049894913794,3903.5501432664755,4901.991790337859,998.4416470713836,4.495702005730659,4.676981370382065,0.18127936465140593
devops_sre,1116,3021,0.002688172043010753,0.05263157894736842,0.04994340690435767,3833.609318996416,4780.059913935783,946.450594939367,6.075268817204301,6.427010923535253,0.3517421063309518
security_engineer,613,1872,0.0016313213703099511,0.06143162393162393,0.059800302561313974,4378.014681892333,5427.431623931624,1049.416942039291,1.928221859706362,2.796474358974359,0.868252499267997
solutions_architect,447,503,0.006711409395973154,0.16302186878727634,0.1563104593913032,4158.6510067114095,5076.349900596421,917.6988938850118,2.8456375838926173,3.4433399602385686,0.5977023763459512
systems_administrator,1340,96,0.0,0.010416666666666666,0.010416666666666666,4465.129850746269,5428.822916666667,963.6930659203981,1.326865671641791,2.7395833333333335,1.4127176616915424
qa_quality_engineer,1137,1180,0.0,0.025423728813559324,0.025423728813559324,3703.193491644679,4463.724576271186,760.5310846265074,0.5391380826737028,1.2805084745762711,0.7413703919025684
data_analyst,557,837,0.0017953321364452424,0.02031063321385902,0.018515301077413775,3516.585278276481,4117.439665471924,600.854387195443,2.4775583482944343,2.812425328554361,0.33486698025992645
