metric,swe_2024,swe_2026,swe_delta,adj_2024,adj_2026,adj_delta,control_2024,control_2026,control_delta,did_swe_minus_control,did_swe_minus_adjacent,ci95_swe_minus_control_lo,ci95_swe_minus_control_hi,swe_direction_flips_under_control_did,did_as_pct_of_swe_delta
ai_strict_prev,0.007449605609114811,0.1493258600525189,0.1418762544434041,0.005839539607312119,0.11427463149728471,0.10843509188997259,0.001719977183976131,0.003414068539036331,0.0016940913550602,0.1401821630883439,0.033441162553431505,0.136667672797495,0.14369665337919277,False,98.80593735596818
length_mean,3763.080806310254,4893.354370324602,1130.2735640143483,3920.8266756939743,5109.981923972071,1189.1552482780967,3708.784177964986,4410.965709009705,702.1815310447191,428.09203296962914,-58.88168426374841,,,False,37.87508144923707
length_median,3593.5,4842.0,1248.5,3639.0,5028.0,1389.0,3188.0,3960.0,772.0,476.5,-140.5,,,False,38.1657989587505
scope_prev,0.43071866783523227,0.6377077035108237,0.20698903567559146,0.4437203791469194,0.682699767261443,0.23897938811452357,0.16359966653503577,0.335136992184145,0.17153732564910923,0.03545171002648223,-0.03199035243893211,0.026294418806314626,0.044609001246649835,False,17.127337161010196
tech_count_mean,3.878878177037686,4.881920692014035,1.0030425149763484,1.8832092078537577,3.0592707525213343,1.1760615446675766,0.03674257382300031,0.09619513870995448,0.059452564886954176,0.9435899500893943,-0.17301902969122818,,,False,94.07277717551624
tech_count_median,3.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,,,False,100.0
reqs_share_t13,0.24646957183793325,0.2192985097264818,-0.027171062111451455,0.22769790918570848,0.22772062820990566,2.271902419717642e-05,0.2250819150403907,0.27347280057068385,0.04839088553029314,-0.07556194764174459,-0.02719378113564863,,,False,278.09714368838905
reqs_share_simple,0.041752400289274,0.15680449558190135,0.11505209529262735,0.040218938791683534,0.06257342369723426,0.022354484905550726,0.1374196830263594,0.20289246689670487,0.06547278387034547,0.04957931142228188,0.09269761038707662,,,False,43.09292351102359
sen_entry_share,0.018185801928133218,0.03641017719619569,0.01822437526806247,0.021073121191604604,0.04460822342901474,0.02353510223741014,0.031214075731648458,0.04116207163102293,0.009947995899374472,0.008276379368687997,-0.00531072696934767,0.005074039939536669,0.011478718797839325,False,45.41378920786404
sen_mid-senior_share,0.594829097283085,0.4347816492706931,-0.16004744801239185,0.5091401489505755,0.4373933281613654,-0.07174682078921008,0.2121188188319951,0.2743064502276046,0.06218763139560948,-0.22223507940800133,-0.08830062722318177,-0.23137064513812583,-0.21309951367787683,False,138.8557469474893
