domain,2024,2026,pct_2024,pct_2026,delta_pp
unknown,106,19808,0.4645048203330412,43.70986605468147,43.24536123434843
backend,4206,5482,18.431200701139353,12.097005538760289,-6.334195162379064
generic_swe,4522,4545,19.8159509202454,10.029348809497538,-9.786602110747861
cloud_devops,2613,3825,11.450482033304118,8.44054107729991,-3.0099409560042076
ai_ml,601,3262,2.6336546888694126,7.198181697817596,4.564527008948183
clearance_defense,2864,1726,12.550394390885188,3.808725202462652,-8.741669188422536
data_eng,821,1410,3.5977212971078005,3.1114151422203586,-0.4863061548874419
other,2182,1153,9.561787905346188,2.544299048922038,-7.0174888564241495
embedded_firmware,1280,910,5.6091148115688,2.008076439305338,-3.601038372263462
intern_early,626,816,2.743207712532866,1.8006487631573138,-0.9425589493755522
mobile,427,620,1.871165644171779,1.3681399916146257,-0.5030256525571533
customer_apps,646,401,2.8308501314636287,0.8848776397378468,-1.945972491725782
qa_test,390,398,1.7090271691498686,0.8782576075203565,-0.8307695616295121
process_scrum,522,344,2.287467134092901,0.7590970276055343,-1.5283701064873667
research_academic,155,321,0.6792287467134093,0.7083434472714434,0.029114700558034112
dotnet_legacy,859,296,3.764241893076249,0.6531765121256923,-3.111065380950557
