domain,w0,w1,m0,m1,delta_w,delta_m,within_contrib,between_contrib,interaction_contrib
backend,0.18517214053006956,0.21490454349445293,0.3340513000421073,0.5795494615768058,0.02973240296438337,0.24549816153469844,0.045459420067576896,0.00993214786362807,0.007299250265764935
generic_swe,0.19908426521088315,0.17817240973773962,0.3181656394885753,0.41662548640008007,-0.02091185547314353,0.09845984691150478,0.019601806275152973,-0.006653433869505375,-0.0020589780885212254
cloud_devops,0.11503918288280356,0.1499470775020581,0.2882155263797863,0.40937137352762504,0.034907894619254545,0.12115584714783872,0.013937669657361212,0.01006099722249856,0.004229295544743265
other,0.09606410143523818,0.045199733427417774,0.22971742216667318,0.33647176954430386,-0.050864368007820404,0.10675434737763068,0.010255260455137366,-0.011684431498893505,-0.005429992411450504
clearance_defense,0.12608963634762702,0.06766239366498099,0.20478980033967778,0.27734023619780884,-0.05842724268264603,0.07255043585813106,0.009147858074213585,-0.01196530336337698,-0.004238921922614768
embedded_firmware,0.05635291009949811,0.03567368379787526,0.20233217486461527,0.32747238936231793,-0.020679226301622854,0.12514021449770266,0.007052015257420948,-0.004184072832124907,-0.0025878028150316183
dotnet_legacy,0.037818085762085056,0.011603747696891294,0.24396374529334802,0.35423158421784184,-0.026214338065193764,0.11026783892449382,0.0041701185892462885,-0.006395348094770649,-0.002890598407285013
intern_early,0.027560095095535794,0.031988709867105725,0.4238791066710969,0.5682682152314029,0.00442861477156993,0.144389108560306,0.003979377562681675,0.001877197273163486,0.0006394437390239855
data_eng,0.03614510874350621,0.05527460896154299,0.45166758442304267,0.5299465351218741,0.019129500218036777,0.0782789506988314,0.0028294011853368223,0.008640175154700738,0.0014974372044609854
ai_ml,0.02645945232015497,0.12787643576776825,0.4439602434693493,0.5465943315130998,0.10141698344761328,0.10263408804375046,0.0027156417590162027,0.045025108663329365,0.010408839608293925
customer_apps,0.02844060931584045,0.015719941981261514,0.2926326027783183,0.3543784273187817,-0.012720667334578935,0.0617458245404634,0.0017560888726397533,-0.003722481991194967,-0.0007854480932785152
process_scrum,0.02298142114995157,0.013485436512603395,0.4242327928225288,0.48881949432358945,-0.009495984637348175,0.06458670150106066,0.0014842941878820844,-0.004028508083302044,-0.0006133143252310643
qa_test,0.01717002729594083,0.01560233643027951,0.3701856243435458,0.4237038355377969,-0.0015676908656613187,0.0535182111942511,0.0009189091470352173,-0.000580336621882509,-8.390001083576078e-05
research_academic,0.006823985207361099,0.01258379395507468,0.32809986451114526,0.46156531160886527,0.005759808747713581,0.13346544709772,0.0009107662366886767,0.0018897924697349351,0.000768735449710952
mobile,0.018798978603504445,0.02430514720294798,0.44348143975041826,0.47865681123182857,0.005506168599443535,0.03517537148141031,0.0006612610558493529,0.002441883577989763,0.00019368152592470308
