baseline,definition,delta_pp,within_pp,between_pp,interaction_pp,n_2024,n_2026
pooled-2024 (primary),J3,5.07,6.84,-0.02,-1.75,18170,20261
pooled-2024 (primary),S4,-7.58,-9.1,-0.58,2.1,18170,20261
pooled-2024 (primary),J1,2.81,3.4,0.01,-0.6,22714,25509
pooled-2024 (primary),J2,2.81,3.4,0.01,-0.6,22714,25509
arshkon-only,J3,1.17,1.55,0.29,-0.66,3437,20261
arshkon-only,S4,-1.71,-1.84,-0.48,0.61,3437,20261
arshkon-only,J1,0.85,1.07,-0.14,-0.07,4653,25509
arshkon-only,J2,0.85,1.07,-0.14,-0.07,4653,25509
non-aggregator,J3,4.77,5.97,0.02,-1.23,15330,17249
non-aggregator,S4,-7.65,-8.56,-0.37,1.27,15330,17249
non-aggregator,J1,2.78,3.02,0.03,-0.26,19362,21126
non-aggregator,J2,2.78,3.02,0.03,-0.26,19362,21126
